fit_index,packet,mode,population,family,view,outer_fold,inner_fold,fit_stage,neural,reserved_index,C,window,n_fit_groups,n_validation_groups,lam,penalty,record_index,world_index,mechanism
89,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,89.0,,,,,,,,,
90,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,90.0,,,,,,,,,
91,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,91.0,,,,,,,,,
92,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,92.0,,,,,,,,,
93,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,93.0,,,,,,,,,
94,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,94.0,,,,,,,,,
95,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,95.0,,,,,,,,,
96,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,96.0,,,,,,,,,
97,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,97.0,,,,,,,,,
98,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,98.0,,,,,,,,,
99,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,99.0,,,,,,,,,
100,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,100.0,,,,,,,,,
101,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,101.0,,,,,,,,,
102,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,102.0,,,,,,,,,
103,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,103.0,,,,,,,,,
104,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,104.0,,,,,,,,,
105,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,105.0,,,,,,,,,
106,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,106.0,,,,,,,,,
107,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,107.0,,,,,,,,,
108,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,108.0,,,,,,,,,
109,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,109.0,,,,,,,,,
110,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,110.0,,,,,,,,,
111,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,111.0,,,,,,,,,
112,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,112.0,,,,,,,,,
113,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,113.0,,,,,,,,,
114,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,114.0,,,,,,,,,
115,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,115.0,,,,,,,,,
116,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,116.0,,,,,,,,,
117,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,117.0,,,,,,,,,
118,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,118.0,,,,,,,,,
119,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,119.0,,,,,,,,,
120,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,120.0,,,,,,,,,
121,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,121.0,,,,,,,,,
122,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,122.0,,,,,,,,,
123,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,123.0,,,,,,,,,
124,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,124.0,,,,,,,,,
125,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,125.0,,,,,,,,,
126,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,126.0,,,,,,,,,
127,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,127.0,,,,,,,,,
128,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,128.0,,,,,,,,,
129,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,129.0,,,,,,,,,
130,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,130.0,,,,,,,,,
131,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,131.0,,,,,,,,,
132,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,132.0,,,,,,,,,
133,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,133.0,,,,,,,,,
134,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,134.0,,,,,,,,,
135,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,135.0,,,,,,,,,
136,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,136.0,,,,,,,,,
137,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,137.0,,,,,,,,,
138,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,138.0,,,,,,,,,
139,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,139.0,,,,,,,,,
140,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,140.0,,,,,,,,,
141,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,141.0,,,,,,,,,
142,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,142.0,,,,,,,,,
143,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,143.0,,,,,,,,,
144,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,144.0,,,,,,,,,
145,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,145.0,,,,,,,,,
146,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,146.0,,,,,,,,,
147,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,147.0,,,,,,,,,
148,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,148.0,,,,,,,,,
149,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,149.0,,,,,,,,,
150,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,150.0,,,,,,,,,
151,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,151.0,,,,,,,,,
152,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,152.0,,,,,,,,,
153,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,153.0,,,,,,,,,
154,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,154.0,,,,,,,,,
155,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,155.0,,,,,,,,,
156,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,156.0,,,,,,,,,
157,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,157.0,,,,,,,,,
158,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,158.0,,,,,,,,,
159,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,159.0,,,,,,,,,
160,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,160.0,,,,,,,,,
161,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,161.0,,,,,,,,,
162,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,162.0,,,,,,,,,
163,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,163.0,,,,,,,,,
164,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,164.0,,,,,,,,,
165,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,165.0,,,,,,,,,
166,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,166.0,,,,,,,,,
167,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,167.0,,,,,,,,,
168,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,168.0,,,,,,,,,
169,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,169.0,,,,,,,,,
170,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,170.0,,,,,,,,,
171,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,171.0,,,,,,,,,
172,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,172.0,,,,,,,,,
173,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,173.0,,,,,,,,,
174,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,174.0,,,,,,,,,
175,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,175.0,,,,,,,,,
176,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,176.0,,,,,,,,,
177,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,177.0,,,,,,,,,
178,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,178.0,,,,,,,,,
179,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,179.0,,,,,,,,,
180,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,180.0,,,,,,,,,
181,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,181.0,,,,,,,,,
182,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,182.0,,,,,,,,,
183,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,183.0,,,,,,,,,
184,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,184.0,,,,,,,,,
185,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,185.0,,,,,,,,,
186,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,186.0,,,,,,,,,
187,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,187.0,,,,,,,,,
188,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,188.0,,,,,,,,,
189,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,189.0,,,,,,,,,
190,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,190.0,,,,,,,,,
191,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,191.0,,,,,,,,,
192,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,192.0,,,,,,,,,
193,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,193.0,,,,,,,,,
194,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,194.0,,,,,,,,,
195,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,195.0,,,,,,,,,
196,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,196.0,,,,,,,,,
197,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,197.0,,,,,,,,,
198,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,198.0,,,,,,,,,
199,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,199.0,,,,,,,,,
200,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,200.0,,,,,,,,,
201,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,201.0,,,,,,,,,
202,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,202.0,,,,,,,,,
203,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,203.0,,,,,,,,,
204,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,204.0,,,,,,,,,
205,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,205.0,,,,,,,,,
206,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,206.0,,,,,,,,,
207,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,207.0,,,,,,,,,
208,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,208.0,,,,,,,,,
209,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,209.0,,,,,,,,,
210,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,210.0,,,,,,,,,
211,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,211.0,,,,,,,,,
212,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,212.0,,,,,,,,,
213,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,213.0,,,,,,,,,
214,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,214.0,,,,,,,,,
215,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,215.0,,,,,,,,,
216,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,216.0,,,,,,,,,
217,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,217.0,,,,,,,,,
218,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,218.0,,,,,,,,,
219,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,219.0,,,,,,,,,
220,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,220.0,,,,,,,,,
221,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,221.0,,,,,,,,,
222,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,222.0,,,,,,,,,
223,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,223.0,,,,,,,,,
224,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,224.0,,,,,,,,,
225,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,225.0,,,,,,,,,
226,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,226.0,,,,,,,,,
227,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,227.0,,,,,,,,,
228,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,228.0,,,,,,,,,
229,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,229.0,,,,,,,,,
230,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,230.0,,,,,,,,,
231,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,231.0,,,,,,,,,
232,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,232.0,,,,,,,,,
233,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,233.0,,,,,,,,,
234,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,234.0,,,,,,,,,
235,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,235.0,,,,,,,,,
236,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,236.0,,,,,,,,,
237,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,237.0,,,,,,,,,
238,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,238.0,,,,,,,,,
239,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,239.0,,,,,,,,,
240,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,240.0,,,,,,,,,
241,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,241.0,,,,,,,,,
242,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,242.0,,,,,,,,,
243,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,243.0,,,,,,,,,
244,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,244.0,,,,,,,,,
245,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,245.0,,,,,,,,,
246,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,246.0,,,,,,,,,
247,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,247.0,,,,,,,,,
248,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,248.0,,,,,,,,,
249,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,249.0,,,,,,,,,
250,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,250.0,,,,,,,,,
251,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,251.0,,,,,,,,,
252,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,252.0,,,,,,,,,
253,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,253.0,,,,,,,,,
254,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,254.0,,,,,,,,,
255,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,255.0,,,,,,,,,
256,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,256.0,,,,,,,,,
257,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,257.0,,,,,,,,,
258,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,258.0,,,,,,,,,
259,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,259.0,,,,,,,,,
260,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,260.0,,,,,,,,,
261,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,261.0,,,,,,,,,
262,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,262.0,,,,,,,,,
263,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,263.0,,,,,,,,,
264,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,264.0,,,,,,,,,
265,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,265.0,,,,,,,,,
266,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,266.0,,,,,,,,,
267,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,267.0,,,,,,,,,
268,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,268.0,,,,,,,,,
269,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,269.0,,,,,,,,,
270,GATES,synthetic,P_bal,nonneural_test,contract_test_allowance,,,test,False,270.0,,,,,,,,,
