child,all,even,first200,first400,first800,odd,rec:B018a1ddd7825,rec:B1329b9cb691b,rec:B3d0ede4734d3,rec:B3f16ac6256e6,rec:B4a77825e7c06,rec:B4c144b0e31ac,rec:B4cb60380085a,rec:B6274c7e6938f,rec:B7116e2ba0693,rec:B7e5c5fda0c76,rec:B95c11b9630b5,rec:Babd62bd011f9,rec:Bc8698b5fd4ea,rec:Bcf04c678c557,rec:Bd007dc424ddc,rec:Bd25987f72256,rec:Bd2980aa79f71,rec:Bd3b249797b57,rec:Bdc61b92b5207,rec:Bf01015be23f4,rec:Bf454d333d715,rec:Bf9d7dd3adf2b
20,0.6954723016826583,0.9634853213009098,0.31263620728885405,0.35269788008503655,0.7283122050945197,0.24719703336685397,,,,0.4780313986081839,,,,,,,,,,,,0.8404668298726765,,,,,,
21,0.7275246219200268,0.8484153801216209,0.6260695752789456,0.5748781612786267,0.6773478263700097,0.6383150391603356,,,,,,,,,,,,,,,,,,,,,,
22,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0
23,0.9862723433220064,0.9780306346141826,1.0,0.998951023415956,0.9907381912715606,0.9932005319494503,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.9930624029891267,0.9980503601398494,1.0,0.9999852126975393,1.0,,,,,,1.0,,,,,,,,,,,,,,,0.9725710619693865,
25,0.8924538676205725,0.9019413051384112,0.7703816657907209,0.9325885356751751,0.8232601630456438,0.8811288520751238,,,,,,,0.9475403430831958,,0.776303024642827,,,,,,,,,,,,,
26,0.925584743351726,0.9062618986816016,0.9857347078834855,0.9414938407207121,0.9371559886074451,0.9403573148725655,,,,,,,,,,,,,,,,,,,,,,
27,0.6324008486654928,0.09919555848948872,0.10250328273517338,0.060746888739967184,0.34106731984429767,1.0,,,,,,,,,,,,,,,,,,,,,,
28,0.885636649880944,0.0,0.46912578291452134,0.9584661839413502,0.885636649880944,1.0,,,,,,,,,,,,,,,,,,,,,,
29,0.09718518909609977,0.005407744948469895,0.0,0.01904946163058178,0.09718518909609977,0.3298507599329281,,,,,,,,,,,,,,,,,,,,,,
30,0.5428638496544577,0.4520561939973202,0.6852457143695486,0.6896628902145209,0.5470440331682244,0.6290866742048064,,,,,,,,,,,,,,,,,,,,,,
31,0.5434686293420419,0.4229533688416695,0.5237163693525065,0.5421810918906167,0.5810353580267625,0.6262157196804786,,,,,,,,0.3617173166861988,,,,,,,,,0.6609612718000013,,,,,
32,0.2158586470711885,0.446722294460464,0.5477896207588925,0.1669600883916575,0.17813421314494962,0.0,,,,,,,,,,,,,,,,,,,,,,
33,0.45974295198318976,0.651663756902096,0.0,0.2972031075688046,0.586750897598387,0.14112285209958259,,,,,,,,,,,,,,,,,,,,,,
34,0.0,0.0,0.0,0.0,0.0,0.07966123955550121,,,,,,,,,,,,,,,,,,,,,,
35,0.4677721780812562,0.026414564886758505,0.081245512875274,0.04612628380756719,0.1992114578227646,0.8848145392201671,,,,,,,,,,,,,,,,,,,,,,
36,0.0,0.0,0.0,0.037800058466479644,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
37,0.06881299124569286,0.0,0.9811209655070303,0.9642414225434803,0.06881299124569286,0.9944623925641549,,,,,,,,,,,,,,,,,,,,,,
38,0.35795743411370945,0.31810453163002567,0.4690865027952478,0.3890374634378799,0.3920572589936414,0.3967749099208546,,,,,,,,,,0.6679632494956448,,,,,,,,,,0.0,,
39,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
40,0.9947959776527665,0.9652453300095631,0.8258743441923051,0.9926127002877015,0.9947959776527665,0.8966317283667323,,,,,,,,,,,,,,,,,,,,,,
41,0.2784046061937819,0.49746180905664605,0.5780767943289526,0.25846689422170255,0.20646168745883045,0.09526350872888469,,,,,,,,,,,,,,,,,,,,,,
42,0.25976308446996144,0.21547376742697588,0.0,0.0,0.1245554193497462,0.2787805455096737,,,,,,,,,,,,,,,,,,,,,,
43,0.4954998334620641,0.6365042703450157,0.943774856691828,0.5092181807023329,0.409382530495637,0.09323376988753312,,,,,,,,,,,,,,,,,,,,,,
44,0.0,0.04815155931682719,0.13057167485990132,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
45,0.3708265310788607,0.3836288565806377,1.0,0.6812439476137806,0.46553812300551256,0.35214100732765746,,,,,,,,,,,0.30697233390519113,,,,,,,0.49640000080857155,,,,
46,0.9565903821050505,0.7230500642556819,0.07518607599796653,0.5404787303037145,0.9690860168504776,0.9870893060891739,,,,,,,,,,,,,,,,,,,,,,
