all_folds_records,candidate_records,deviant_literal_code,median,n,protocol_task,q25,q75,source_cohort_evidence,variant,window
1,1,devt,0.5424007174564206,1,unknown,0.5424007174564206,0.5424007174564206,NH,primary,prestim
22,24,devt,0.511443145458722,22,bapa,0.49045598173665256,0.5508371688697045,unknown,primary,late
22,24,devt,0.5061084622134262,22,bapa,0.48659210121363033,0.5451626405987056,unknown,primary,poststim
22,24,devt,0.5023791893446683,22,bapa,0.48947038993632025,0.5194531438386323,unknown,primary,prestim
14,20,devt,0.5096229607631166,14,bapa,0.490962825954707,0.5342113861282674,unknown,strict,late
14,20,devt,0.5114454905398349,14,bapa,0.49578089398600234,0.5310920663886083,unknown,strict,poststim
14,20,devt,0.501739379151202,14,bapa,0.4761244202285695,0.5579898887036001,unknown,strict,prestim
35,35,devt,0.5111195245791706,35,puretone,0.4858356032840494,0.5438223451892775,unknown,primary,late
35,35,devt,0.530936512428828,35,puretone,0.4915390447686344,0.5549508981550083,unknown,primary,poststim
35,35,devt,0.5099205084113121,35,puretone,0.484788824876477,0.5339553197208853,unknown,primary,prestim
15,19,devt,0.5188553277568669,15,puretone,0.47890088178688783,0.539678069564298,unknown,strict,late
15,19,devt,0.4934309211694944,15,puretone,0.4795866637154437,0.5431853169911426,unknown,strict,poststim
15,19,devt,0.4786730262615438,15,puretone,0.4551692678608314,0.5068477486468854,unknown,strict,prestim
1,1,devt,0.5175566467883185,1,tone,0.5175566467883185,0.5175566467883185,unknown,primary,late
1,1,devt,0.5489947637375177,1,tone,0.5489947637375177,0.5489947637375177,unknown,primary,poststim
1,1,devt,0.5417379564423916,1,tone,0.5417379564423916,0.5417379564423916,unknown,primary,prestim
1,1,devt,0.5780844125809435,1,tone,0.5780844125809435,0.5780844125809435,unknown,strict,late
1,1,devt,0.5641981661356084,1,tone,0.5641981661356084,0.5641981661356084,unknown,strict,poststim
1,1,devt,0.5218063307294344,1,tone,0.5218063307294344,0.5218063307294344,unknown,strict,prestim
31,31,devt,0.5373777388741072,31,unknown,0.5139839583736396,0.5942163074327154,unknown,primary,late
31,31,devt,0.5406752524887019,31,unknown,0.5065690224165964,0.5928570042625692,unknown,primary,poststim
31,31,devt,0.508490437226323,31,unknown,0.47305950060211854,0.5255483700081187,unknown,primary,prestim
52,55,hdev,0.526740462067615,52,unknown,0.5039316717071668,0.5525991386472664,unknown,primary,late
52,55,hdev,0.5187007367785036,52,unknown,0.4939844302186971,0.5481165118084625,unknown,primary,poststim
52,55,hdev,0.5062615771657877,52,unknown,0.4861852976310448,0.5250011028056271,unknown,primary,prestim
53,55,ldev,0.5629501283211655,53,unknown,0.540723829899912,0.5979144102980973,unknown,primary,late
53,55,ldev,0.5765807818829385,53,unknown,0.5412675180778629,0.6139177619251637,unknown,primary,poststim
53,55,ldev,0.4970236463516381,53,unknown,0.4754521333901524,0.5358812407287458,unknown,primary,prestim
15,16,devt,0.5372237506539566,15,unknown,0.496819206502987,0.5810284709164842,unknown,strict,late
15,16,devt,0.5297138632517892,15,unknown,0.5070180692135342,0.5706792270434806,unknown,strict,poststim
15,16,devt,0.5103318041556758,15,unknown,0.4860165535510992,0.5283147920562044,unknown,strict,prestim
47,51,hdev,0.5306845863091209,47,unknown,0.4932488391536496,0.55659265787777,unknown,strict,late
47,51,hdev,0.5343233980769329,47,unknown,0.48354757443400276,0.5641176786842093,unknown,strict,poststim
47,51,hdev,0.5061983831685086,47,unknown,0.4641927507175188,0.5338524048795621,unknown,strict,prestim
46,51,ldev,0.5509124419601106,46,unknown,0.5227701697012556,0.5861609902911724,unknown,strict,late
46,51,ldev,0.5779839800796751,46,unknown,0.5500371985868984,0.6158276182643715,unknown,strict,poststim
46,51,ldev,0.5077829070270428,46,unknown,0.4786799505206633,0.5318929453795422,unknown,strict,prestim
