mode,seed,fold,child,eval_half,shift_samples,auc_shifted,auc_unshifted_input
aligned,11,3,22,odd,0,0.5565297283108019,0.5565297283108019
aligned,11,3,36,even,0,0.48746565934065933,0.48746565934065933
aligned,11,3,36,odd,-10,0.49511695808302847,0.4928684095714334
aligned,11,3,41,even,10,0.48767088607594933,0.49546835443037973
aligned,11,3,41,odd,60,0.5056932092736339,0.5170667763326994
aligned,11,3,44,even,0,0.5182089846315513,0.5182089846315513
aligned,11,3,44,odd,0,0.4881650495788463,0.4881650495788463
aligned,11,3,53,even,60,0.4785218253968254,0.49046378968253973
aligned,11,3,53,odd,30,0.4406143905377286,0.5434508816120907
aligned,11,3,60,even,40,0.5438196555217831,0.5510385005065856
aligned,11,3,60,odd,0,0.4250999273255814,0.4250999273255814
aligned,11,3,61,even,30,0.47223029528016736,0.5370553359683795
aligned,11,3,61,odd,10,0.4959105467856325,0.47025852207732777
aligned,11,3,64,even,0,0.4994417862838915,0.4994417862838915
aligned,11,3,64,odd,0,0.5640666060238528,0.5640666060238528
aligned,11,3,71,even,30,0.5571642889492754,0.5322265625
aligned,11,3,71,odd,-20,0.5375954095165917,0.5326287013479132
aligned,11,4,13,even,0,0.6277241009125067,0.6277241009125067
aligned,11,4,13,odd,0,0.5540521191294387,0.5540521191294387
aligned,11,4,15,even,20,0.6422297297297297,0.4978322072072072
aligned,11,4,15,odd,-20,0.4712842368789676,0.5579977945340208
aligned,11,4,17,even,40,0.48556721343776166,0.4093394414068272
aligned,11,4,17,odd,30,0.5021706050841389,0.40993107769423553
aligned,11,4,18,even,30,0.43346291866028697,0.5395933014354066
aligned,11,4,18,odd,30,0.444706046252438,0.513207021454444
aligned,11,4,26,even,100,0.5471668982553652,0.4530003602490865
aligned,11,4,26,odd,100,0.4995715509854327,0.4377919672720237
aligned,11,4,28,even,30,0.539906103286385,0.4899530516431925
aligned,11,4,28,odd,10,0.5301932367149759,0.503968253968254
aligned,11,4,34,even,0,0.5895215386227858,0.5895215386227858
aligned,11,4,34,odd,0,0.6461784051082625,0.6461784051082625
aligned,11,4,35,even,30,0.4422940070146901,0.5285924871651502
aligned,11,4,35,odd,0,0.5048663487133984,0.5048663487133984
aligned,11,4,38,even,0,0.6411051212938006,0.6411051212938006
aligned,11,4,38,odd,0,0.6487067067570799,0.6487067067570799
aligned,11,4,39,even,0,0.5246108427267848,0.5246108427267848
aligned,11,4,39,odd,0,0.4760204081632653,0.4760204081632653
aligned,11,4,51,even,30,0.5162696029362697,0.5122222222222222
aligned,11,4,51,odd,20,0.5789370506200839,0.5279067943830527
aligned,11,4,52,even,40,0.47279107657601205,0.5472490287003384
aligned,11,4,52,odd,0,0.49571310159042636,0.49571310159042636
aligned,11,4,54,even,30,0.48035770071852546,0.5128996147037383
aligned,11,4,54,odd,30,0.4867376050582157,0.5035212172616753
aligned,11,4,72,even,0,0.5117816091954023,0.5117816091954023
aligned,11,4,72,odd,-10,0.5711382113821137,0.5568435629411238
aligned,22,0,4,even,10,0.5578559822556933,0.556730843628298
aligned,22,0,4,odd,10,0.6003565062388592,0.5525606746194982
aligned,22,0,21,even,30,0.48289716064282534,0.48524741154798967
aligned,22,0,21,odd,30,0.40441426723844526,0.5322646518276496
aligned,22,0,28,even,30,0.5225352112676057,0.5161971830985915
aligned,22,0,28,odd,10,0.4959886128364389,0.47105762594893036
aligned,22,0,29,even,0,0.5909838311866265,0.5909838311866265
aligned,22,0,29,odd,0,0.5482293868921776,0.5482293868921776
aligned,22,0,31,even,30,0.4419847150017122,0.5635603772997541
aligned,22,0,31,odd,0,0.525744775455758,0.525744775455758
aligned,22,0,36,even,0,0.5106924325674326,0.5106924325674326
aligned,22,0,36,odd,-10,0.5113266436218411,0.5282075376715776
aligned,22,0,37,even,30,0.5640247678018576,0.4931062951496389
aligned,22,0,37,odd,-10,0.44968200523756074,0.3950383464272353
aligned,22,0,42,even,0,0.545423781757601,0.545423781757601
aligned,22,0,42,odd,0,0.5033312182741116,0.5033312182741116
aligned,22,0,43,even,0,0.5965034965034965,0.5965034965034965
aligned,22,0,43,odd,30,0.5071185517898462,0.5712807948822648
aligned,22,0,48,even,0,0.5975957049486461,0.5975957049486461
aligned,22,0,48,odd,30,0.4619447033240137,0.5253184218701461
aligned,22,0,54,even,30,0.4840414453816515,0.44018796209517863
aligned,22,0,54,odd,30,0.4968900197907832,0.5544375048191842
aligned,22,0,57,even,30,0.5364912280701755,0.5109147869674185
aligned,22,0,57,odd,30,0.5024310776942356,0.5589598997493734
aligned,22,0,60,even,40,0.5812225599459642,0.555597771023303
aligned,22,0,60,odd,0,0.4972292877906977,0.4972292877906977
aligned,22,0,61,even,30,0.4575098814229249,0.5077452917926064
aligned,22,0,61,odd,10,0.5353180050331732,0.4985272248913292
aligned,22,0,72,even,0,0.4758359456635318,0.4758359456635318
aligned,22,0,72,odd,-10,0.5725453408380238,0.5460332350576252
aligned,22,1,0,even,0,0.530909330435069,0.530909330435069
aligned,22,1,0,odd,0,0.5927573932092004,0.5927573932092004
aligned,22,1,2,even,30,0.5192672865374541,0.48315544787847037
aligned,22,1,2,odd,30,0.510112973760933,0.5323432944606414
aligned,22,1,5,even,-20,0.5365156066344521,0.5710461016063733
aligned,22,1,5,odd,0,0.5183551992225461,0.5183551992225461
aligned,22,1,16,even,0,0.5364450127877238,0.5364450127877238
aligned,22,1,16,odd,30,0.44461673027989823,0.4968723494486853
aligned,22,1,18,even,30,0.44798145933014355,0.5520783492822966
aligned,22,1,18,odd,30,0.45041794371691274,0.523725271663416
aligned,22,1,20,even,0,0.5296811723390684,0.5296811723390684
aligned,22,1,20,odd,30,0.4584623207262178,0.5122257615864328
aligned,22,1,32,even,0,0.6262869580103201,0.6262869580103201
aligned,22,1,32,odd,0,0.6413624619477629,0.6413624619477629
aligned,22,1,33,even,-20,0.4990092116538132,0.5727158311910883
aligned,22,1,33,odd,-20,0.4710250823679456,0.5231028802210649
aligned,22,1,35,even,30,0.48312407868652474,0.5549992375336756
aligned,22,1,35,odd,0,0.5234860248447205,0.5234860248447205
aligned,22,1,39,even,0,0.5405126140633387,0.5405126140633387
aligned,22,1,39,odd,0,0.45642614188532554,0.45642614188532554
aligned,22,1,44,even,0,0.4596906607119401,0.4596906607119401
aligned,22,1,44,odd,0,0.5060418665813697,0.5060418665813697
aligned,22,1,46,even,30,0.5063433701016926,0.5542581735069065
aligned,22,1,46,odd,70,0.4761744103849368,0.6048936443673286
aligned,22,1,56,even,30,0.4238712144752253,0.5262327604751774
aligned,22,1,56,odd,30,0.4320589406610912,0.5402628434886498
aligned,22,1,58,even,0,0.4916460396039604,0.4916460396039604
aligned,22,1,58,odd,40,0.461620294599018,0.5228041462084015
aligned,22,1,68,even,30,0.39614478572075745,0.6413880583491891
aligned,22,1,68,odd,30,0.4093116554054054,0.6149440456081081
aligned,22,2,10,even,0,0.6249141483516484,0.6249141483516484
aligned,22,2,10,odd,0,0.555645460816045,0.555645460816045
aligned,22,2,11,even,-20,0.5039836211274759,0.5454545454545455
aligned,22,2,11,odd,-20,0.48432966634429403,0.5497310203094777
aligned,22,2,12,even,0,0.5624667729930888,0.5624667729930888
aligned,22,2,12,odd,30,0.4969516133198998,0.5635640290371747
aligned,22,2,14,even,40,0.493527339162208,0.47337857236069425
aligned,22,2,14,odd,40,0.5150160796130764,0.4936061381074169
aligned,22,2,24,even,30,0.4937765281779596,0.5177835610496639
aligned,22,2,24,odd,30,0.47918467611802673,0.4942549850161364
aligned,22,2,25,even,30,0.5064370615445885,0.5430605336519314
aligned,22,2,25,odd,30,0.48760855317057183,0.5498320498115681
aligned,22,2,30,even,30,0.45585106382978724,0.539561170212766
aligned,22,2,30,odd,0,0.5739329079035582,0.5739329079035582
aligned,22,2,47,even,30,0.4665662730178859,0.5446223349449155
aligned,22,2,47,odd,30,0.46396385657066563,0.5050781995041007
aligned,22,2,49,even,0,0.5306926952141058,0.5306926952141058
aligned,22,2,49,odd,-10,0.5434071072319202,0.5229244596841229
aligned,22,2,50,even,0,0.6184126984126983,0.6184126984126983
aligned,22,2,50,odd,0,0.5804375804375805,0.5804375804375805
aligned,22,2,52,even,40,0.5072941471362327,0.5609600200526382
aligned,22,2,52,odd,0,0.46315339584520543,0.46315339584520543
aligned,22,2,63,even,0,0.4277411910390634,0.4277411910390634
aligned,22,2,63,odd,10,0.5658212046415297,0.5711833631231027
aligned,22,2,64,even,0,0.5796517809675704,0.5796517809675704
aligned,22,2,64,odd,0,0.6331615120274914,0.6331615120274914
aligned,22,2,65,even,0,0.6146564885496183,0.6146564885496183
aligned,22,2,65,odd,0,0.5710687720214016,0.5710687720214016
aligned,22,2,70,even,0,0.523883696780893,0.523883696780893
aligned,22,2,70,odd,-20,0.4997201074787282,0.569525302283923
aligned,22,3,6,even,0,0.5108038585209004,0.5108038585209004
aligned,22,3,6,odd,30,0.5155433006535948,0.4903186274509804
aligned,22,3,9,even,40,0.463870606357653,0.4983195630864025
aligned,22,3,9,odd,0,0.5191941624365483,0.5191941624365483
aligned,22,3,17,even,40,0.4583764346583912,0.4487463671740308
aligned,22,3,17,odd,30,0.5087271750805585,0.42308897243107774
aligned,22,3,19,even,30,0.4096262886597938,0.6467010309278349
aligned,22,3,19,odd,0,0.6126633563082092,0.6126633563082092
aligned,22,3,23,even,30,0.4473716882278449,0.6243885481588162
aligned,22,3,23,odd,30,0.4973123166013139,0.5210600119452595
aligned,22,3,26,even,100,0.5055452627245123,0.4609001080747259
aligned,22,3,26,odd,100,0.5033861293086768,0.4800011056748763
aligned,22,3,34,even,0,0.5635808615449114,0.5635808615449114
aligned,22,3,34,odd,0,0.6366004128858802,0.6366004128858802
aligned,22,3,38,even,0,0.6244962135797716,0.6244962135797716
aligned,22,3,38,odd,0,0.60449821983469,0.60449821983469
aligned,22,3,41,even,10,0.4641772151898734,0.45022784810126587
aligned,22,3,41,odd,60,0.46710019020202537,0.5372821672749704
aligned,22,3,45,even,0,0.5798666798666798,0.5798666798666798
aligned,22,3,45,odd,0,0.5631177337481579,0.5631177337481579
aligned,22,3,53,even,60,0.5077752976190476,0.4814112103174603
aligned,22,3,53,odd,30,0.40760869565217395,0.543163399408608
aligned,22,3,62,even,30,0.5256727158948686,0.5724030037546933
aligned,22,3,62,odd,30,0.5183788121990369,0.5883895131086142
aligned,22,3,67,even,60,0.4962962962962963,0.49011158594491927
aligned,22,3,67,odd,0,0.5189012636538873,0.5189012636538873
aligned,22,3,71,even,30,0.5502151268115941,0.4730100769927536
aligned,22,3,71,odd,-20,0.4741108645049532,0.5272153954419965
aligned,22,4,1,even,60,0.5289964219000762,0.48055394774921734
aligned,22,4,1,odd,30,0.45792649893540627,0.5389553122598365
aligned,22,4,3,even,0,0.5724696756342795,0.5724696756342795
aligned,22,4,3,odd,0,0.5426958918493241,0.5426958918493241
aligned,22,4,7,even,30,0.5170905483405484,0.4213564213564214
aligned,22,4,7,odd,30,0.48642699926632427,0.5087123991195892
aligned,22,4,8,even,10,0.52602023796286,0.576629044812632
aligned,22,4,8,odd,30,0.4522100153295861,0.5178461931527849
aligned,22,4,13,even,0,0.5568303811057435,0.5568303811057435
aligned,22,4,13,odd,0,0.5454491218022146,0.5454491218022146
aligned,22,4,15,even,20,0.5763795045045044,0.40118243243243246
aligned,22,4,15,odd,-20,0.4628200160939409,0.5501296456352636
aligned,22,4,22,even,0,0.5150693898926421,0.5150693898926421
aligned,22,4,22,odd,0,0.5768342302139389,0.5768342302139389
aligned,22,4,27,even,40,0.5037109375,0.48897135416666665
aligned,22,4,27,odd,0,0.43067663958787405,0.43067663958787405
aligned,22,4,40,even,30,0.47876064128602913,0.5126399032021088
aligned,22,4,40,odd,30,0.4540307253721888,0.5673701298701299
aligned,22,4,51,even,30,0.5025558892225559,0.5401167834501168
aligned,22,4,51,odd,20,0.551835520918786,0.5292066785697052
aligned,22,4,55,even,-20,0.47820273631840804,0.5164179104477612
aligned,22,4,55,odd,30,0.5099856954225352,0.5585937500000001
aligned,22,4,59,even,0,0.5821857279622947,0.5821857279622947
aligned,22,4,59,odd,0,0.5339510011192637,0.5339510011192637
aligned,22,4,66,even,30,0.4575098814229249,0.6134769858472523
aligned,22,4,66,odd,30,0.4945455173128043,0.5298615666102806
aligned,22,4,69,even,0,0.4897713085915332,0.4897713085915332
aligned,22,4,69,odd,40,0.5167106420404574,0.561201155924111
aligned,33,0,1,even,60,0.4684877265910706,0.4812544397379568
aligned,33,0,1,odd,30,0.4922801204439796,0.5261360916180565
aligned,33,0,3,even,0,0.5917759826082659,0.5917759826082659
aligned,33,0,3,odd,0,0.6208820055125344,0.6208820055125344
aligned,33,0,15,even,20,0.5743665540540541,0.4960726351351351
aligned,33,0,15,odd,-20,0.4748159628051143,0.550561797752809
aligned,33,0,21,even,30,0.5137839039573144,0.570126405386521
aligned,33,0,21,odd,30,0.4048567149955755,0.5031141515213395
aligned,33,0,26,even,100,0.5446580206885905,0.4407776233853121
aligned,33,0,26,odd,100,0.4825579788263261,0.4443292699781629
aligned,33,0,44,even,0,0.4871765401287272,0.4871765401287272
aligned,33,0,44,odd,0,0.4897643672033266,0.4897643672033266
aligned,33,0,50,even,0,0.5763038548752835,0.5763038548752835
aligned,33,0,50,odd,0,0.5329564258135686,0.5329564258135686
aligned,33,0,51,even,30,0.49948281614948287,0.5611544878211545
aligned,33,0,51,odd,20,0.5947799546397723,0.5478091975100131
aligned,33,0,55,even,-20,0.47988184079601987,0.47907338308457714
aligned,33,0,55,odd,30,0.48542033450704225,0.5232999559859155
aligned,33,0,56,even,30,0.42945239859454554,0.5407055955254918
aligned,33,0,56,odd,30,0.4788264967476437,0.5179078720297359
aligned,33,0,58,even,0,0.5120281559405939,0.5120281559405939
aligned,33,0,58,odd,40,0.4629432624113475,0.5288325150027278
aligned,33,0,61,even,30,0.4299000232504069,0.5399616368286445
aligned,33,0,61,odd,10,0.572938114847861,0.538077671013498
aligned,33,0,64,even,0,0.5935406698564594,0.5935406698564594
aligned,33,0,64,odd,0,0.6068071558520315,0.6068071558520315
aligned,33,0,69,even,0,0.5141584383157417,0.5141584383157417
aligned,33,0,69,odd,40,0.49638145495665287,0.5067345143862294
aligned,33,0,71,even,30,0.5646795742753623,0.4944378396739131
aligned,33,0,71,odd,-20,0.47036215016510585,0.4810669625940562
aligned,33,1,7,even,30,0.5997474747474747,0.32665945165945165
aligned,33,1,7,odd,30,0.5331071166544388,0.47326669112252384
aligned,33,1,8,even,10,0.5144000889580785,0.5052123874124319
aligned,33,1,8,odd,30,0.42773377618804287,0.5487097598364844
aligned,33,1,13,even,0,0.6342860976918947,0.6342860976918947
aligned,33,1,13,odd,0,0.5774269759450172,0.5774269759450172
aligned,33,1,17,even,40,0.533003300330033,0.47990246785872614
aligned,33,1,17,odd,30,0.5083020050125313,0.436000716075904
aligned,33,1,18,even,30,0.4257177033492823,0.582819976076555
aligned,33,1,18,odd,30,0.44972137085539143,0.5495959877403176
aligned,33,1,19,even,30,0.43318298969072166,0.6173453608247422
aligned,33,1,19,odd,0,0.5615133773067517,0.5615133773067517
aligned,33,1,20,even,0,0.5190881636479602,0.5190881636479602
aligned,33,1,20,odd,30,0.49334125951515695,0.4796872896944681
aligned,33,1,32,even,0,0.6206622484165221,0.6206622484165221
aligned,33,1,32,odd,0,0.5967230308766723,0.5967230308766723
aligned,33,1,33,even,-20,0.4980585904027421,0.5422825621251072
aligned,33,1,33,odd,-20,0.4486263152300988,0.4969178446168562
aligned,33,1,34,even,0,0.6331359396289697,0.6331359396289697
aligned,33,1,34,odd,0,0.6529118056555763,0.6529118056555763
aligned,33,1,35,even,30,0.4672266558227012,0.48081126416916586
aligned,33,1,35,odd,0,0.5331216725820763,0.5331216725820763
aligned,33,1,38,even,0,0.6021659607239123,0.6021659607239123
aligned,33,1,38,odd,0,0.6118956558934165,0.6118956558934165
aligned,33,1,53,even,60,0.5328497023809524,0.5080605158730159
aligned,33,1,53,odd,30,0.42410469828058267,0.5199320994414631
aligned,33,1,54,even,30,0.5252395084869311,0.5043606164740185
aligned,33,1,54,odd,30,0.5290564679877656,0.5257280180944303
aligned,33,1,68,even,30,0.3759626710156745,0.6261891818428921
aligned,33,1,68,odd,30,0.4350190033783784,0.6068412162162162
aligned,33,2,9,even,40,0.5095924940484526,0.51365354992298
aligned,33,2,9,odd,0,0.5447335025380711,0.5447335025380711
aligned,33,2,11,even,-20,0.5099035043169122,0.5754031234129
aligned,33,2,11,odd,-20,0.4678735493230174,0.5709320599613152
aligned,33,2,23,even,30,0.41757505028182657,0.6101482382737814
aligned,33,2,23,odd,30,0.4359889895868498,0.5441844763561765
aligned,33,2,24,even,30,0.4789401121541655,0.5204712333860024
aligned,33,2,24,odd,30,0.49729498040571696,0.529535500230521
aligned,33,2,27,even,40,0.4701953125,0.4795052083333333
aligned,33,2,27,odd,0,0.4632950267485635,0.4632950267485635
aligned,33,2,28,even,30,0.5093896713615024,0.4930516431924883
aligned,33,2,28,odd,10,0.5214371980676329,0.4706694271911664
aligned,33,2,30,even,30,0.44001329787234045,0.5248670212765958
aligned,33,2,30,odd,0,0.5968887343878032,0.5968887343878032
aligned,33,2,36,even,0,0.48120629370629375,0.48120629370629375
aligned,33,2,36,odd,-10,0.4356143235896231,0.47592039467060443
aligned,33,2,37,even,30,0.5079876160990712,0.511826625386997
aligned,33,2,37,odd,-10,0.4708660680882903,0.4640852974186308
aligned,33,2,39,even,0,0.5324476650563608,0.5324476650563608
aligned,33,2,39,odd,0,0.48556851311953353,0.48556851311953353
aligned,33,2,43,even,0,0.5649313649313649,0.5649313649313649
aligned,33,2,43,odd,30,0.45078263236695254,0.5972641894650877
aligned,33,2,45,even,0,0.5377025377025377,0.5377025377025377
aligned,33,2,45,odd,0,0.5368789913214345,0.5368789913214345
aligned,33,2,59,even,0,0.6055416451874218,0.6055416451874218
aligned,33,2,59,odd,0,0.5708940210831255,0.5708940210831255
aligned,33,2,62,even,30,0.46234355444305375,0.597950563204005
aligned,33,2,62,odd,30,0.5219368646334939,0.600334403424291
aligned,33,2,66,even,30,0.3896468188193294,0.6480460283054954
aligned,33,2,66,odd,30,0.48313598232471433,0.6212414126419719
aligned,33,3,0,even,0,0.456937720251622,0.456937720251622
aligned,33,3,0,odd,0,0.5276389649507119,0.5276389649507119
aligned,33,3,4,even,10,0.5195432388517783,0.5100359786449333
aligned,33,3,4,odd,10,0.5631324557795145,0.5287535993418346
aligned,33,3,6,even,0,0.5118971061093247,0.5118971061093247
aligned,33,3,6,odd,30,0.5014093137254902,0.5394199346405228
aligned,33,3,12,even,0,0.5092238171185539,0.5092238171185539
aligned,33,3,12,odd,30,0.4347051073393785,0.4605130589785321
aligned,33,3,14,even,40,0.49500195745791464,0.4697768497977294
aligned,33,3,14,odd,40,0.5195867412828239,0.48216049226406016
aligned,33,3,16,even,0,0.4918054178193016,0.4918054178193016
aligned,33,3,16,odd,30,0.45609361747243427,0.5019349024597116
aligned,33,3,22,even,0,0.4988871432312124,0.4988871432312124
aligned,33,3,22,odd,0,0.5725423283895525,0.5725423283895525
aligned,33,3,40,even,30,0.536255995851519,0.5489607190700488
aligned,33,3,40,odd,30,0.46674057649667405,0.5334771935381691
aligned,33,3,41,even,10,0.5112151898734176,0.5160632911392405
aligned,33,3,41,odd,60,0.4615740502750218,0.5803346527527888
aligned,33,3,42,even,0,0.42905299875052066,0.42905299875052066
aligned,33,3,42,odd,0,0.543385152284264,0.543385152284264
aligned,33,3,46,even,30,0.48612077246679253,0.49103978270230875
aligned,33,3,46,odd,70,0.4467739862476705,0.5418032260137523
aligned,33,3,48,even,0,0.5157796451914098,0.5157796451914098
aligned,33,3,48,odd,30,0.4592264678471575,0.5370068344206276
aligned,33,3,57,even,30,0.45571428571428574,0.5526817042606517
aligned,33,3,57,odd,30,0.48565162907268167,0.5215413533834585
aligned,33,3,70,even,0,0.5615576323987539,0.5615576323987539
aligned,33,3,70,odd,-20,0.5183049708911778,0.49018510225406775
aligned,33,4,2,even,30,0.5248493975903614,0.4790957307490833
aligned,33,4,2,odd,30,0.4811953352769679,0.4926931486880467
aligned,33,4,5,even,-20,0.5184145226590048,0.5177354055112968
aligned,33,4,5,odd,0,0.5820456754130223,0.5820456754130223
aligned,33,4,10,even,0,0.5392955259026687,0.5392955259026687
aligned,33,4,10,odd,0,0.5494508409826497,0.5494508409826497
aligned,33,4,25,even,30,0.48938516680452165,0.5648109855099102
aligned,33,4,25,odd,30,0.4955636572177618,0.584659184007865
aligned,33,4,29,even,0,0.5607700739928748,0.5607700739928748
aligned,33,4,29,odd,0,0.5608483086680761,0.5608483086680761
aligned,33,4,31,even,30,0.47460931419854924,0.5780710083118016
aligned,33,4,31,odd,0,0.5464812644003396,0.5464812644003396
aligned,33,4,47,even,30,0.4634619957200603,0.5619006102877071
aligned,33,4,47,odd,30,0.46776654587068467,0.5305884035857333
aligned,33,4,49,even,0,0.5454534005037783,0.5454534005037783
aligned,33,4,49,odd,-10,0.5708255403158768,0.5812941604322528
aligned,33,4,52,even,40,0.48363203408948496,0.5487905752600577
aligned,33,4,52,odd,0,0.5049733202092939,0.5049733202092939
aligned,33,4,60,even,40,0.6019081391421818,0.4654255319148936
