model,seed,fold,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
shared,11,3,41,1,993,200,0.5261664564943254,0.5252269861286254,0.9992046356201172,0.0007953643798828125
shared,11,3,44,1,841,169,0.5040724499859115,0.49827416173570016,1.000650405883789,-0.0006504058837890625
shared,11,3,53,1,978,196,0.5338711571585156,0.5356620909233258,0.998753547668457,0.0012464523315429688
shared,11,3,60,1,598,90,0.45670384951881016,0.48834208223972003,1.0065274238586426,-0.006527423858642578
shared,11,3,61,1,933,184,0.4905272247054043,0.49551213211818657,1.0013911724090576,-0.0013911724090576172
shared,11,3,64,1,983,197,0.5098099998708361,0.5106883145399828,1.0002822875976562,-0.00028228759765625
shared,11,3,71,1,956,191,0.5277760667967012,0.5102008691783868,0.9989312291145325,0.0010687708854675293
shared,11,4,13,1,993,200,0.5179571248423707,0.49918663303909205,1.0020617246627808,-0.0020617246627807617
shared,11,4,15,1,940,188,0.4691637901765505,0.4827127659574468,1.0034135580062866,-0.003413558006286621
shared,11,4,17,1,732,146,0.5064402262845388,0.5050259479171537,1.0004642009735107,-0.0004642009735107422
shared,11,4,18,1,937,186,0.4853743395902238,0.49196769898200254,1.00215482711792,-0.002154827117919922
shared,11,4,26,1,966,195,0.5109614553194319,0.5082609997006884,0.9994627237319946,0.0005372762680053711
shared,11,4,28,1,528,106,0.537679960654565,0.5059018152552982,0.9966893792152405,0.0033106207847595215
shared,11,4,34,1,999,200,0.5035419274092615,0.523976846057572,1.0010486841201782,-0.0010486841201782227
shared,11,4,35,1,972,195,0.4988581988581989,0.5098901098901099,1.0043469667434692,-0.004346966743469238
shared,11,4,38,2,1980,397,0.5100174874413438,0.511490951561856,0.9998700618743896,0.00012993812561035156
shared,11,4,39,1,996,198,0.48706045416571736,0.49456975772765244,1.0016167163848877,-0.0016167163848876953
shared,11,4,51,2,1989,397,0.5155832689897852,0.5092267065807627,0.9995738863945007,0.0004261136054992676
shared,11,4,52,1,991,198,0.5044359101736151,0.48322124141796274,1.0002307891845703,-0.0002307891845703125
shared,11,4,54,1,990,197,0.510350721093835,0.4957176051875228,1.002108097076416,-0.0021080970764160156
shared,11,4,72,1,710,146,0.505792771786651,0.5233653939570582,1.0008940696716309,-0.0008940696716308594
shared,22,0,4,2,1931,389,0.5122649782107835,0.5083847638862493,1.000227928161621,-0.00022792816162109375
shared,22,0,21,1,874,173,0.5018553181664509,0.5109546230405779,1.0058517456054688,-0.00585174560546875
shared,22,0,28,1,528,106,0.44942099615487796,0.43829920414915496,1.006202220916748,-0.006202220916748047
shared,22,0,29,1,446,84,0.5455307813733228,0.538706919231781,0.998475193977356,0.001524806022644043
shared,22,0,31,2,1776,356,0.47999683494223766,0.4941129925621143,1.005427360534668,-0.005427360534667969
shared,22,0,36,1,875,173,0.5016879930174728,0.4842975478813629,1.0029895305633545,-0.002989530563354492
shared,22,0,37,1,737,156,0.5037292025243832,0.5058641158038748,1.0007219314575195,-0.0007219314575195312
shared,22,0,42,1,978,195,0.493817336346072,0.49232734060320266,1.002652883529663,-0.002652883529663086
shared,22,0,43,1,972,191,0.5142722110866054,0.4940336928759611,1.0016875267028809,-0.0016875267028808594
shared,22,0,48,1,764,151,0.46471052148266584,0.4933936886228839,1.0044809579849243,-0.004480957984924316
shared,22,0,54,1,990,197,0.48706639952375164,0.5128791903777341,1.0034208297729492,-0.0034208297729492188
shared,22,0,57,1,998,200,0.5159022556390978,0.5298057644110276,1.0010161399841309,-0.0010161399841308594
shared,22,0,60,1,598,90,0.49978127734033245,0.4772309711286089,1.0011060237884521,-0.0011060237884521484
shared,22,0,61,1,933,184,0.4788123294827886,0.5098537180008127,1.0038578510284424,-0.003857851028442383
shared,22,0,72,1,710,146,0.48452224812979694,0.4958831244535121,1.0042005777359009,-0.004200577735900879
shared,22,1,0,1,871,170,0.4993622556012419,0.49659729797767893,1.0025545358657837,-0.0025545358657836914
shared,22,1,2,1,849,173,0.48399288572698973,0.493749358689332,1.0030993223190308,-0.0030993223190307617
shared,22,1,5,1,995,200,0.5053459119496855,0.5192138364779875,1.0032689571380615,-0.0032689571380615234
shared,22,1,16,1,978,194,0.4973503576688407,0.48620608037029245,1.003594160079956,-0.0035941600799560547
shared,22,1,18,1,937,186,0.5111106338502068,0.5201165471128102,1.0009644031524658,-0.0009644031524658203
shared,22,1,20,2,1813,365,0.47523083327026416,0.4857961855748127,1.0088953971862793,-0.008895397186279297
shared,22,1,32,1,1000,200,0.5423156250000001,0.5387500000000001,0.9964768886566162,0.003523111343383789
shared,22,1,33,1,967,193,0.4939417064974361,0.48721064117497426,1.001523733139038,-0.001523733139038086
shared,22,1,35,1,972,195,0.508042108042108,0.5136224136224137,1.0003582239151,-0.00035822391510009766
shared,22,1,39,1,996,198,0.5389990126832231,0.5074998101313891,0.9978485107421875,0.0021514892578125
shared,22,1,44,1,841,169,0.479602528881375,0.4803641870949563,1.0024712085723877,-0.0024712085723876953
shared,22,1,46,1,865,176,0.519041100409025,0.5216387386198706,0.999360978603363,0.0006390213966369629
shared,22,1,56,1,996,200,0.48109924623115574,0.46537688442211056,1.0034465789794922,-0.0034465789794921875
shared,22,1,58,1,975,195,0.5220479947403024,0.5230769230769231,0.9992940425872803,0.0007059574127197266
shared,22,1,68,1,727,152,0.5018020594965675,0.46905606407322653,0.9992300868034363,0.0007699131965637207
shared,22,2,10,1,991,198,0.48683556880278195,0.48578152266676855,1.0053441524505615,-0.0053441524505615234
shared,22,2,11,1,893,181,0.5259365882425974,0.5235737786330623,1.0003728866577148,-0.00037288665771484375
shared,22,2,12,1,977,194,0.5061256599649774,0.49142539268739055,1.0015919208526611,-0.0015919208526611328
shared,22,2,14,1,986,197,0.5244703505690556,0.507282880726744,0.9991835355758667,0.0008164644241333008
shared,22,2,24,2,1832,366,0.5091304542303133,0.5178602047130215,1.000321865081787,-0.0003218650817871094
shared,22,2,25,2,1779,355,0.5124772511473334,0.5126226459882892,0.999966561794281,3.343820571899414e-05
shared,22,2,30,1,989,196,0.4787297012121368,0.4813997477931904,1.0039896965026855,-0.003989696502685547
shared,22,2,47,1,999,200,0.4941520650813517,0.48528160200250314,1.0020393133163452,-0.002039313316345215
