child,seed,train_record,test_record,same_day,within_record_auc,across_record_auc,across_j_bits,n_test
25,22,B4cb60380085a,B7116e2ba0693,False,0.531522633744856,0.5284313725490196,-0.03448176383972168,854
25,22,B7116e2ba0693,B4cb60380085a,False,0.49465312724658517,0.46524368863955123,-0.005024433135986328,922
25,33,B4cb60380085a,B7116e2ba0693,False,0.6002057613168725,0.4950163398692811,-0.003931760787963867,854
25,33,B7116e2ba0693,B4cb60380085a,False,0.5407979870596693,0.4969319775596074,-0.0005536079406738281,922
31,11,B6274c7e6938f,Bd2980aa79f71,False,0.5538646375650781,0.529902015992792,-0.03012549877166748,852
31,11,Bd2980aa79f71,B6274c7e6938f,False,0.4876098220319892,0.5534465425299414,0.0043402910232543945,924
31,22,B6274c7e6938f,Bd2980aa79f71,False,0.5603524229074889,0.5180547012397446,-0.11545729637145996,852
31,22,Bd2980aa79f71,B6274c7e6938f,False,0.48090786213111064,0.4839838855377801,-0.0020900964736938477,924
31,33,B6274c7e6938f,Bd2980aa79f71,False,0.49126952342811375,0.5340604884472436,-0.024821996688842773,852
31,33,Bd2980aa79f71,B6274c7e6938f,False,0.5469700382969137,0.5194655709997961,0.0015791654586791992,924
38,11,B7e5c5fda0c76,Bf01015be23f4,False,0.5513991590546614,0.4535840707964602,-0.006367921829223633,991
38,11,Bf01015be23f4,B7e5c5fda0c76,False,0.5245998814463545,0.48535928181945887,-0.0015096664428710938,989
38,22,B7e5c5fda0c76,Bf01015be23f4,False,0.4644410613310134,0.4209544879898862,-0.013130784034729004,991
38,22,Bf01015be23f4,B7e5c5fda0c76,False,0.6535640189685833,0.5592173313412252,-0.012307882308959961,989
38,33,B7e5c5fda0c76,Bf01015be23f4,False,0.4439973901696389,0.554453223767383,0.0064934492111206055,991
38,33,Bf01015be23f4,B7e5c5fda0c76,False,0.6913900414937759,0.5754734449424715,-0.012191295623779297,989
45,11,B95c11b9630b5,Bd3b249797b57,False,0.5516569200779726,0.5198222179968626,0.0002627372741699219,956
45,11,Bd3b249797b57,B95c11b9630b5,False,0.49566874566874564,0.513285693359064,-0.0009095668792724609,988
45,22,B95c11b9630b5,Bd3b249797b57,False,0.46177171323370153,0.4790233534113365,-0.0022771358489990234,956
45,22,Bd3b249797b57,B95c11b9630b5,False,0.4733627858627859,0.48091853437020343,-0.002789139747619629,988
45,33,B95c11b9630b5,Bd3b249797b57,False,0.5250162443144899,0.5481532537909398,0.003826916217803955,956
45,33,Bd3b249797b57,B95c11b9630b5,False,0.5241250866250866,0.5317812127812701,0.0005127191543579102,988
51,11,Babd62bd011f9,Bc8698b5fd4ea,False,0.51657824933687,0.5593197304711698,-0.0005190372467041016,997
51,11,Bc8698b5fd4ea,Babd62bd011f9,False,0.42898658718330845,0.500320011152864,-0.0018680095672607422,992
51,22,Babd62bd011f9,Bc8698b5fd4ea,False,0.46366745776909113,0.5461340564594632,-0.0052225589752197266,997
51,22,Bc8698b5fd4ea,Babd62bd011f9,False,0.5058122205663189,0.5222170119196233,-0.00969851016998291,992
51,33,Babd62bd011f9,Bc8698b5fd4ea,False,0.46077062683233283,0.4576269579398491,-0.00883340835571289,997
51,33,Bc8698b5fd4ea,Babd62bd011f9,False,0.5502980625931445,0.5374539785941055,0.002942800521850586,992
59,11,Bcf04c678c557,Bdc61b92b5207,False,0.5154662554426706,0.572327718996995,0.00512242317199707,995
59,11,Bdc61b92b5207,Bcf04c678c557,False,0.5991982507288629,0.5329583452137173,-0.03518557548522949,842
59,22,Bcf04c678c557,Bdc61b92b5207,False,0.506848693759071,0.42985972576450093,-0.007869720458984375,995
59,22,Bdc61b92b5207,Bcf04c678c557,False,0.5684402332361516,0.541685027260081,0.002103090286254883,842
59,33,Bcf04c678c557,Bdc61b92b5207,False,0.4907928156748911,0.5903480972702709,0.008624076843261719,995
59,33,Bdc61b92b5207,Bcf04c678c557,False,0.5754737609329447,0.5543387162273085,-0.009227991104125977,842
