seed,stratum,child,n,n_dev,dev_rate,auc
11,after_standard_run4plus,37,191,96,0.5026178010471204,0.4608552631578947
11,after_standard_run4plus,42,226,112,0.49557522123893805,0.5495770676691729
11,after_standard_run4plus,48,171,88,0.5146198830409356,0.6588855421686748
11,after_standard_run4plus,49,230,115,0.5,0.5980340264650283
11,after_standard_run4plus,57,237,118,0.4978902953586498,0.6511180743483833
11,after_standard_run4plus,66,208,107,0.5144230769230769,0.6403719811233459
11,all,7,558,95,0.17025089605734767,0.4047516198704104
11,all,12,981,194,0.19775739041794088,0.5547066374985263
11,all,14,984,198,0.20121951219512196,0.5205747037808106
11,all,21,874,174,0.19908466819221968,0.5858128078817735
11,all,23,988,200,0.20242914979757085,0.5671986040609137
11,all,24,1831,366,0.19989077007099945,0.49697122288740936
11,all,29,438,84,0.1917808219178082,0.5805421038471885
11,all,30,988,197,0.19939271255060728,0.606749793039717
11,all,33,970,193,0.19896907216494844,0.5181013730236528
11,all,37,739,157,0.2124492557510149,0.5096198043207039
11,all,42,980,194,0.19795918367346937,0.5259305894388919
11,all,48,766,155,0.20234986945169714,0.6004012459743413
11,all,49,994,196,0.19718309859154928,0.5575354201831109
11,all,57,998,200,0.20040080160320642,0.6095708020050125
11,all,66,865,175,0.2023121387283237,0.6163726708074534
11,after_standard_run2,5,196,38,0.19387755102040816,0.6084277148567621
11,after_standard_run2,8,191,37,0.193717277486911,0.637943137943138
11,after_standard_run2,10,197,38,0.19289340101522842,0.6623634558093346
11,after_standard_run2,11,179,36,0.2011173184357542,0.4767871017871018
11,after_standard_run2,20,352,70,0.19886363636363635,0.5453647416413374
11,after_standard_run2,25,352,72,0.20454545454545456,0.49570932539682544
11,after_standard_run2,27,196,38,0.19387755102040816,0.5702031978680879
11,after_standard_run2,40,154,29,0.18831168831168832,0.5746206896551724
11,after_standard_run2,43,192,38,0.19791666666666666,0.5616028708133972
11,after_standard_run2,45,386,77,0.19948186528497408,0.5696843609464969
11,after_standard_run2,50,147,29,0.19727891156462585,0.5347749853886616
11,after_standard_run2,56,196,39,0.1989795918367347,0.5237628613424793
11,after_standard_run2,58,192,38,0.19791666666666666,0.526144907723855
11,after_standard_run2,62,179,35,0.19553072625698323,0.5801587301587301
11,after_standard_run2,69,184,36,0.1956521739130435,0.5508633633633633
11,after_standard_run3,5,158,40,0.25316455696202533,0.55
11,after_standard_run3,8,155,40,0.25806451612903225,0.4991304347826087
11,after_standard_run3,10,158,40,0.25316455696202533,0.6608050847457627
11,after_standard_run3,11,141,38,0.2695035460992908,0.5189064895247828
11,after_standard_run3,20,289,75,0.25951557093425603,0.5620249221183801
11,after_standard_run3,25,286,72,0.2517482517482518,0.6640706126687436
11,after_standard_run3,27,157,39,0.2484076433121019,0.46762277270751845
11,after_standard_run3,40,126,33,0.2619047619047619,0.43483219289670905
11,after_standard_run3,43,152,35,0.23026315789473684,0.5581196581196581
11,after_standard_run3,45,309,78,0.2524271844660194,0.5328282828282829
11,after_standard_run3,50,114,33,0.2894736842105263,0.6429105873550319
11,after_standard_run3,56,157,39,0.2484076433121019,0.573554976097349
11,after_standard_run3,58,154,39,0.2532467532467532,0.6442586399108138
11,after_standard_run3,62,153,40,0.26143790849673204,0.7022123893805309
11,after_standard_run3,69,153,39,0.2549019607843137,0.5713000449842555
11,after_standard_run4plus,5,236,118,0.5,0.4920999712726228
11,after_standard_run4plus,8,220,112,0.509090909090909,0.5874669312169313
11,after_standard_run4plus,10,236,118,0.5,0.6276213731686298
11,after_standard_run4plus,11,207,107,0.5169082125603864,0.5381308411214953
11,after_standard_run4plus,20,435,216,0.496551724137931,0.5237717740571621
11,after_standard_run4plus,25,421,211,0.501187648456057,0.618381855111713
11,after_standard_run4plus,27,237,119,0.5021097046413502,0.4491525423728814
11,after_standard_run4plus,40,188,92,0.48936170212765956,0.5605751811594203
11,after_standard_run4plus,43,227,114,0.5022026431718062,0.5821689178698959
11,after_standard_run4plus,45,460,232,0.5043478260869565,0.5410238959467635
11,after_standard_run4plus,50,170,83,0.48823529411764705,0.6017864561695057
11,after_standard_run4plus,56,235,117,0.4978723404255319,0.5553020425901782
11,after_standard_run4plus,58,226,113,0.5,0.5928420393139635
11,after_standard_run4plus,62,229,113,0.49344978165938863,0.6373970094598719
11,after_standard_run4plus,69,225,113,0.5022222222222222,0.5331858407079646
11,all,5,995,200,0.20100502512562815,0.5433679245283018
11,all,8,966,195,0.20186335403726707,0.55193721108118
11,all,10,991,198,0.19979818365287588,0.6506680932910442
11,all,11,892,182,0.2040358744394619,0.5248800495279369
11,all,20,1811,365,0.2015461071231364,0.542834271206351
11,all,25,1776,356,0.20045045045045046,0.5937806614970723
11,all,27,991,199,0.20080726538849647,0.47406540277143294
11,all,40,780,155,0.1987179487179487,0.5328929032258065
11,all,43,977,192,0.19651995905834185,0.566646762208068
11,all,45,1944,392,0.20164609053497942,0.5591452109194194
11,all,50,737,149,0.2021709633649932,0.6058759074099438
11,all,56,996,200,0.20080321285140562,0.5678329145728643
11,all,58,969,195,0.20123839009287925,0.571307891075333
11,all,62,922,190,0.20607375271149675,0.6247411561691114
11,all,69,969,194,0.2002063983488132,0.5374393082806784
11,after_standard_run2,4,380,75,0.19736842105263158,0.6003497267759563
11,after_standard_run2,6,155,33,0.2129032258064516,0.5809736711376057
11,after_standard_run2,16,194,38,0.1958762886597938,0.6216261808367072
11,after_standard_run2,31,351,73,0.20797720797720798,0.537966886764561
11,after_standard_run2,32,199,39,0.19597989949748743,0.6794871794871795
11,after_standard_run2,46,175,38,0.21714285714285714,0.4679216288897426
11,after_standard_run2,47,198,39,0.19696969696969696,0.47629414610546683
11,after_standard_run2,55,127,24,0.1889763779527559,0.6217637540453075
11,after_standard_run2,59,364,72,0.1978021978021978,0.5809075342465754
11,after_standard_run2,63,189,35,0.18518518518518517,0.5492578849721707
11,after_standard_run2,65,194,38,0.1958762886597938,0.6501349527665317
11,after_standard_run2,67,199,39,0.19597989949748743,0.4989583333333334
11,after_standard_run2,68,149,30,0.20134228187919462,0.5868347338935574
11,after_standard_run2,70,162,35,0.21604938271604937,0.5167604049493814
11,after_standard_run3,4,304,77,0.2532894736842105,0.49876995251444595
11,after_standard_run3,6,121,30,0.24793388429752067,0.5404761904761906
11,after_standard_run3,16,156,39,0.25,0.4583607275914968
11,after_standard_run3,31,279,69,0.24731182795698925,0.6110766045548653
11,after_standard_run3,32,160,40,0.25,0.69875
11,after_standard_run3,46,134,37,0.27611940298507465,0.6320702145444413
11,after_standard_run3,47,160,40,0.25,0.5302083333333333
11,after_standard_run3,55,103,25,0.24271844660194175,0.44333333333333336
11,after_standard_run3,59,281,74,0.26334519572953735,0.5307807807807808
11,after_standard_run3,63,152,37,0.24342105263157895,0.5951821386603995
11,after_standard_run3,65,155,40,0.25806451612903225,0.7503260869565217
11,after_standard_run3,67,157,40,0.25477707006369427,0.4579059829059829
11,after_standard_run3,68,111,26,0.23423423423423423,0.6615384615384616
11,after_standard_run3,70,129,30,0.23255813953488372,0.46329966329966327
11,after_standard_run4plus,4,459,231,0.5032679738562091,0.5555935292777399
11,after_standard_run4plus,6,178,91,0.5112359550561798,0.5786282682834407
11,after_standard_run4plus,9,239,38,0.1589958158995816,0.4662215239591516
11,after_standard_run4plus,16,229,114,0.4978165938864629,0.575209763539283
11,after_standard_run4plus,31,403,202,0.5012406947890818,0.5482119107433132
11,after_standard_run4plus,32,240,120,0.5,0.7327083333333333
11,after_standard_run4plus,46,202,100,0.49504950495049505,0.5325490196078431
11,after_standard_run4plus,47,240,120,0.5,0.48215277777777776
11,after_standard_run4plus,55,167,81,0.48502994011976047,0.47767728969279355
11,after_standard_run4plus,59,432,218,0.5046296296296297,0.571476035325388
11,after_standard_run4plus,63,227,113,0.4977973568281938,0.4842027635460332
11,after_standard_run4plus,65,223,113,0.5067264573991032,0.5868463395012068
11,after_standard_run4plus,67,234,117,0.5,0.49068595222441386
11,after_standard_run4plus,68,162,83,0.5123456790123457,0.762848863809669
11,after_standard_run4plus,70,184,93,0.5054347826086957,0.5561266690298948
11,after_deviant,9,68,11,0.16176470588235295,0.6507177033492824
11,all,4,1934,390,0.20165460186142709,0.555440414507772
11,all,6,772,155,0.20077720207253885,0.5616667538035238
11,all,9,459,69,0.1503267973856209,0.5164808621330361
11,all,16,978,194,0.1983640081799591,0.5656493267410057
11,all,31,1776,355,0.1998873873873874,0.5729956091227166
11,all,32,1000,200,0.2,0.6873875
11,all,46,867,178,0.20530565167243367,0.5304830319140262
11,all,47,999,200,0.2002002002002002,0.5081946182728411
11,all,55,655,131,0.2,0.5339286754851116
11,all,59,1837,372,0.2025040827436037,0.5729457961760065
11,all,63,944,187,0.19809322033898305,0.5125742623217174
11,all,65,985,197,0.2,0.6439550104357237
11,all,67,996,200,0.20080321285140562,0.49802763819095475
11,all,68,721,142,0.19694868238557559,0.6939964484662726
11,all,70,791,162,0.20480404551201012,0.5273852283656205
11,after_standard_run2,0,171,32,0.1871345029239766,0.6391636690647482
11,after_standard_run2,1,385,76,0.1974025974025974,0.48618208141713504
11,after_standard_run2,2,169,35,0.20710059171597633,0.4468017057569297
11,after_standard_run2,3,196,38,0.19387755102040816,0.5643737508327782
11,after_standard_run2,19,197,39,0.19796954314720813,0.6056475170399221
11,after_standard_run2,22,205,35,0.17073170731707318,0.4931932773109244
11,after_standard_run2,36,177,34,0.192090395480226,0.537227478403949
11,after_standard_run2,41,196,38,0.19387755102040816,0.5465522984676883
11,after_standard_run2,44,165,34,0.20606060606060606,0.44185002245172883
11,after_standard_run2,53,197,39,0.19796954314720813,0.5173644920480364
11,after_standard_run2,61,187,36,0.1925133689839572,0.4607247976453275
11,after_standard_run2,64,189,37,0.19576719576719576,0.6390469416785206
11,after_standard_run2,71,187,35,0.18716577540106952,0.47744360902255634
11,after_standard_run3,0,142,34,0.23943661971830985,0.6228213507625272
11,after_standard_run3,1,309,78,0.2524271844660194,0.5217837717837718
11,after_standard_run3,2,135,35,0.25925925925925924,0.5745714285714286
11,after_standard_run3,3,158,40,0.25316455696202533,0.6269067796610169
11,after_standard_run3,19,159,40,0.25157232704402516,0.6391806722689076
11,after_standard_run3,22,162,40,0.24691358024691357,0.5923155737704918
11,after_standard_run3,36,142,32,0.22535211267605634,0.4875000000000001
11,after_standard_run3,41,157,40,0.25477707006369427,0.4825854700854701
11,after_standard_run3,44,136,34,0.25,0.48904267589388695
11,after_standard_run3,53,154,38,0.24675324675324675,0.5553539019963702
11,after_standard_run3,61,151,37,0.24503311258278146,0.5969653864390707
11,after_standard_run3,64,153,38,0.24836601307189543,0.5680778032036613
11,after_standard_run3,71,153,38,0.24836601307189543,0.5021739130434784
11,after_standard_run4plus,0,211,102,0.4834123222748815,0.6171973376506567
11,after_standard_run4plus,1,456,226,0.4956140350877193,0.5396594844170836
11,after_standard_run4plus,2,195,99,0.5076923076923077,0.5506102693602694
11,after_standard_run4plus,3,237,119,0.5021097046413502,0.61839481555334
11,after_standard_run4plus,19,239,120,0.502092050209205,0.6973039215686274
11,after_standard_run4plus,22,219,111,0.5068493150684932,0.5289456122789457
11,after_standard_run4plus,36,214,106,0.4953271028037383,0.4923567435359888
11,after_standard_run4plus,41,237,117,0.4936708860759494,0.46100427350427353
11,after_standard_run4plus,44,205,103,0.5024390243902439,0.5109461260232249
11,after_standard_run4plus,53,225,116,0.5155555555555555,0.531002847200253
11,after_standard_run4plus,60,309,44,0.1423948220064725,0.5270154373927959
11,after_standard_run4plus,61,222,112,0.5045045045045045,0.5723214285714285
11,after_standard_run4plus,64,229,115,0.5021834061135371,0.6543096872616324
11,after_standard_run4plus,71,231,116,0.5021645021645021,0.5073088455772113
11,after_deviant,60,90,16,0.17777777777777778,0.4932432432432432
11,all,0,871,170,0.19517795637198623,0.6194595955357891
11,all,1,1972,394,0.1997971602434077,0.5293430288291417
11,all,2,847,172,0.20306965761511217,0.5266279069767441
11,all,3,992,198,0.19959677419354838,0.6264248276213011
11,all,19,993,200,0.2014098690835851,0.6577238335435056
11,all,22,993,190,0.19133937562940584,0.5313757619453365
11,all,36,885,174,0.19661016949152543,0.5066605234654121
11,all,41,990,198,0.2,0.48835896847260485
11,all,44,845,175,0.20710059171597633,0.49996588486140725
11,all,53,978,197,0.20143149284253578,0.5418537993071488
11,all,60,598,90,0.1505016722408027,0.49842519685039377
11,all,61,932,186,0.19957081545064378,0.5344958055867854
11,all,64,981,197,0.20081549439347604,0.6261945768154977
11,all,71,951,190,0.19978969505783387,0.48359499273808704
11,after_standard_run2,13,198,39,0.19696969696969696,0.6050636994033222
11,after_standard_run2,15,188,38,0.20212765957446807,0.5601754385964913
11,after_standard_run2,17,148,30,0.20270270270270271,0.4385593220338983
11,after_standard_run2,18,188,38,0.20212765957446807,0.5402631578947368
11,after_standard_run2,26,193,39,0.20207253886010362,0.4315684315684316
11,after_standard_run2,28,114,19,0.16666666666666666,0.38698060941828255
11,after_standard_run2,34,199,39,0.19597989949748743,0.5553685897435897
11,after_standard_run2,35,191,39,0.20418848167539266,0.5431005398110661
11,after_standard_run2,38,390,75,0.19230769230769232,0.6863492063492063
11,after_standard_run2,39,198,39,0.19696969696969696,0.5750685373326883
11,after_standard_run2,51,391,76,0.19437340153452684,0.5991645781119465
11,after_standard_run2,52,196,37,0.18877551020408162,0.6402345741968384
11,after_standard_run2,54,198,38,0.1919191919191919,0.5389802631578946
11,after_standard_run2,72,144,30,0.20833333333333334,0.5334795321637427
11,after_standard_run3,13,159,40,0.25157232704402516,0.6084033613445378
11,after_standard_run3,15,142,36,0.2535211267605634,0.5826781970649896
11,after_standard_run3,17,120,26,0.21666666666666667,0.39157119476268415
11,after_standard_run3,18,150,39,0.26,0.6218526218526219
11,after_standard_run3,26,153,39,0.2549019607843137,0.4179037336932074
11,after_standard_run3,28,87,24,0.27586206896551724,0.4166666666666667
11,after_standard_run3,34,160,40,0.25,0.5941666666666667
11,after_standard_run3,35,149,36,0.24161073825503357,0.4746804326450344
11,after_standard_run3,38,313,78,0.24920127795527156,0.6360065466448445
11,after_standard_run3,39,158,40,0.25316455696202533,0.5208686440677965
11,after_standard_run3,51,313,78,0.24920127795527156,0.5442171303873432
11,after_standard_run3,52,157,39,0.2484076433121019,0.5286831812255541
11,after_standard_run3,54,159,40,0.25157232704402516,0.42983193277310927
11,after_standard_run3,72,109,34,0.3119266055045872,0.5468627450980392
11,after_standard_run4plus,13,234,117,0.5,0.6057418365110674
11,after_standard_run4plus,15,210,107,0.5095238095238095,0.4399782233917067
11,after_standard_run4plus,17,180,86,0.4777777777777778,0.43598466105888173
11,after_standard_run4plus,18,213,104,0.48826291079812206,0.6634615384615383
11,after_standard_run4plus,26,232,115,0.4956896551724138,0.4456335934596804
11,after_standard_run4plus,28,116,60,0.5172413793103449,0.5068452380952381
11,after_standard_run4plus,34,240,120,0.5,0.6654166666666667
11,after_standard_run4plus,35,227,113,0.4977973568281938,0.5948610464213632
11,after_standard_run4plus,38,471,235,0.4989384288747346,0.7337540569780021
11,after_standard_run4plus,39,234,116,0.49572649572649574,0.4473991817650497
11,after_standard_run4plus,51,472,234,0.4957627118644068,0.5736999928176398
11,after_standard_run4plus,52,240,120,0.5,0.5499652777777777
11,after_standard_run4plus,54,233,117,0.5021459227467812,0.48622163277335695
11,after_standard_run4plus,72,168,82,0.4880952380952381,0.5402722631877481
11,all,13,993,200,0.2014098690835851,0.612626103404792
11,all,15,932,185,0.1984978540772532,0.5112196533883281
11,all,17,740,143,0.19324324324324324,0.4257476192149559
11,all,18,935,185,0.19786096256684493,0.5996504504504504
11,all,26,965,195,0.20207253886010362,0.455024975024975
11,all,28,526,106,0.20152091254752852,0.46881176999101526
11,all,34,999,200,0.2002002002002002,0.6432165206508136
11,all,35,969,195,0.20123839009287925,0.5378917378917379
11,all,38,1980,398,0.201010101010101,0.7003403553799338
11,all,39,994,197,0.1981891348088531,0.5009776509626837
11,all,51,1989,397,0.19959778783308196,0.5643377466678481
11,all,52,991,198,0.19979818365287588,0.558338746863337
11,all,54,985,196,0.19898477157360406,0.5322838260779597
11,all,72,711,148,0.20815752461322082,0.5432888483510153
22,after_standard_run2,4,380,75,0.19736842105263158,0.5748196721311476
22,after_standard_run2,21,167,34,0.20359281437125748,0.6074745687748783
22,after_standard_run2,28,114,19,0.16666666666666666,0.44182825484764543
22,after_standard_run2,29,76,12,0.15789473684210525,0.7018229166666666
22,after_standard_run2,31,351,73,0.20797720797720798,0.5413176308268454
22,after_standard_run2,36,177,34,0.192090395480226,0.5494652406417112
22,after_standard_run2,37,144,29,0.2013888888888889,0.49355322338830576
22,after_standard_run2,42,192,39,0.203125,0.5342718283894755
22,after_standard_run2,43,192,38,0.19791666666666666,0.6015037593984962
22,after_standard_run2,48,155,31,0.2,0.5759625390218522
22,after_standard_run2,54,198,38,0.1919191919191919,0.5453947368421053
22,after_standard_run2,57,197,39,0.19796954314720813,0.5740830899058748
22,after_standard_run2,61,187,36,0.1925133689839572,0.49503311258278143
22,after_standard_run2,72,144,30,0.20833333333333334,0.552485380116959
22,after_standard_run3,4,304,77,0.2532894736842105,0.5621030951427427
22,after_standard_run3,21,133,30,0.22556390977443608,0.6370550161812298
22,after_standard_run3,28,87,24,0.27586206896551724,0.3875661375661376
22,after_standard_run3,29,71,15,0.2112676056338028,0.7476190476190476
22,after_standard_run3,31,279,69,0.24731182795698925,0.6266735679779158
22,after_standard_run3,36,142,32,0.22535211267605634,0.49957386363636364
22,after_standard_run3,37,117,29,0.24786324786324787,0.6426332288401254
22,after_standard_run3,42,155,38,0.24516129032258063,0.503936122357175
22,after_standard_run3,43,152,35,0.23026315789473684,0.576923076923077
22,after_standard_run3,48,123,33,0.2682926829268293,0.6163299663299663
22,after_standard_run3,54,159,40,0.25157232704402516,0.4524159663865546
22,after_standard_run3,57,158,40,0.25316455696202533,0.7207627118644068
22,after_standard_run3,61,151,37,0.24503311258278146,0.6180654338549075
22,after_standard_run3,72,109,34,0.3119266055045872,0.5413725490196079
22,after_standard_run4plus,4,459,231,0.5032679738562091,0.5829915698336752
22,after_standard_run4plus,21,211,106,0.5023696682464455,0.6026504941599281
22,after_standard_run4plus,28,116,60,0.5172413793103449,0.5785714285714285
22,after_standard_run4plus,29,117,54,0.46153846153846156,0.5274838330393886
22,after_standard_run4plus,31,403,202,0.5012406947890818,0.5845032264420472
22,after_standard_run4plus,36,214,106,0.4953271028037383,0.5141509433962265
22,after_standard_run4plus,37,191,96,0.5026178010471204,0.434265350877193
22,after_standard_run4plus,42,226,112,0.49557522123893805,0.5776159147869674
22,after_standard_run4plus,43,227,114,0.5022026431718062,0.6157817109144544
22,after_standard_run4plus,48,171,88,0.5146198830409356,0.6232886089813802
22,after_standard_run4plus,54,233,117,0.5021459227467812,0.5070365458296493
22,after_standard_run4plus,57,237,118,0.4978902953586498,0.6825950719270759
22,after_standard_run4plus,60,309,44,0.1423948220064725,0.5498713550600343
22,after_standard_run4plus,61,222,112,0.5045045045045045,0.5558441558441559
22,after_standard_run4plus,72,168,82,0.4880952380952381,0.5220504821327283
22,after_deviant,60,90,16,0.17777777777777778,0.5
22,all,4,1934,390,0.20165460186142709,0.5685100305566626
22,all,21,874,174,0.19908466819221968,0.6085098522167488
22,all,28,526,106,0.20152091254752852,0.5038971248876909
22,all,29,438,84,0.1917808219178082,0.6119854721549638
22,all,31,1776,355,0.1998873873873874,0.5928655677909823
22,all,36,885,174,0.19661016949152543,0.5187327222464717
22,all,37,739,157,0.2124492557510149,0.5010834591897039
22,all,42,980,194,0.19795918367346937,0.5322066577476982
22,all,43,977,192,0.19651995905834185,0.6086750265392782
22,all,48,766,155,0.20234986945169714,0.6121640884852965
22,all,54,985,196,0.19898477157360406,0.5413465766534751
22,all,57,998,200,0.20040080160320642,0.6293796992481202
22,all,60,598,90,0.1505016722408027,0.5084208223972004
22,all,61,932,186,0.19957081545064378,0.538953270489204
22,all,72,711,148,0.20815752461322082,0.5284671883250924
22,after_standard_run2,0,171,32,0.1871345029239766,0.6201663669064748
22,after_standard_run2,2,169,35,0.20710059171597633,0.4195095948827292
22,after_standard_run2,5,196,38,0.19387755102040816,0.6324117255163225
22,after_standard_run2,16,194,38,0.1958762886597938,0.5623313090418354
22,after_standard_run2,18,188,38,0.20212765957446807,0.5023684210526316
22,after_standard_run2,20,352,70,0.19886363636363635,0.5441489361702128
22,after_standard_run2,32,199,39,0.19597989949748743,0.7259615384615385
22,after_standard_run2,33,186,37,0.1989247311827957,0.5386359513876292
22,after_standard_run2,35,191,39,0.20418848167539266,0.5380398110661269
22,after_standard_run2,39,198,39,0.19696969696969696,0.5836961780358008
22,after_standard_run2,44,165,34,0.20606060606060606,0.497305792546026
22,after_standard_run2,46,175,38,0.21714285714285714,0.46974644640799074
22,after_standard_run2,56,196,39,0.1989795918367347,0.49011922260329904
22,after_standard_run2,58,192,38,0.19791666666666666,0.5405844155844156
22,after_standard_run2,68,149,30,0.20134228187919462,0.550280112044818
22,after_standard_run3,0,142,34,0.23943661971830985,0.6275871459694988
22,after_standard_run3,2,135,35,0.25925925925925924,0.5488571428571428
22,after_standard_run3,5,158,40,0.25316455696202533,0.4978813559322034
22,after_standard_run3,16,156,39,0.25,0.3996274380889766
22,after_standard_run3,18,150,39,0.26,0.5504735504735505
22,after_standard_run3,20,289,75,0.25951557093425603,0.5620872274143303
22,after_standard_run3,32,160,40,0.25,0.703125
22,after_standard_run3,33,148,34,0.22972972972972974,0.4757481940144479
22,after_standard_run3,35,149,36,0.24161073825503357,0.5227384464110127
22,after_standard_run3,39,158,40,0.25316455696202533,0.5317796610169492
22,after_standard_run3,44,136,34,0.25,0.4982698961937716
22,after_standard_run3,46,134,37,0.27611940298507465,0.6421008637503484
22,after_standard_run3,56,157,39,0.2484076433121019,0.5195567144719687
22,after_standard_run3,58,154,39,0.2532467532467532,0.6685618729096989
22,after_standard_run3,68,111,26,0.23423423423423423,0.6018099547511312
22,after_standard_run4plus,0,211,102,0.4834123222748815,0.6206601906817772
22,after_standard_run4plus,2,195,99,0.5076923076923077,0.5830702861952861
22,after_standard_run4plus,5,236,118,0.5,0.5443119793162885
22,after_standard_run4plus,16,229,114,0.4978165938864629,0.5809687261632341
22,after_standard_run4plus,18,213,104,0.48826291079812206,0.6435691601976005
22,after_standard_run4plus,20,435,216,0.496551724137931,0.5262768476238796
22,after_standard_run4plus,32,240,120,0.5,0.7271527777777778
22,after_standard_run4plus,33,227,112,0.4933920704845815,0.5102872670807453
22,after_standard_run4plus,35,227,113,0.4977973568281938,0.5780158360503028
22,after_standard_run4plus,39,234,116,0.49572649572649574,0.4711791350087668
22,after_standard_run4plus,44,205,103,0.5024390243902439,0.5433561774224253
22,after_standard_run4plus,46,202,100,0.49504950495049505,0.5417647058823529
22,after_standard_run4plus,56,235,117,0.4978723404255319,0.5566782558307982
22,after_standard_run4plus,58,226,113,0.5,0.5507087477484534
22,after_standard_run4plus,68,162,83,0.5123456790123457,0.7314320573432972
22,all,0,871,170,0.19517795637198623,0.6052781740370899
22,all,2,847,172,0.20306965761511217,0.5203919035314384
22,all,5,995,200,0.20100502512562815,0.5588930817610063
22,all,16,978,194,0.1983640081799591,0.5524208394698085
22,all,18,935,185,0.19786096256684493,0.5623495495495495
22,all,20,1811,365,0.2015461071231364,0.5468472309062317
22,all,32,1000,200,0.2,0.6885000000000001
22,all,33,970,193,0.19896907216494844,0.5195384133207968
22,all,35,969,195,0.20123839009287925,0.5547505466110118
22,all,39,994,197,0.1981891348088531,0.5127094625148877
22,all,44,845,175,0.20710059171597633,0.5267675906183369
22,all,46,867,178,0.20530565167243367,0.5306991079727988
22,all,56,996,200,0.20080321285140562,0.5465483668341709
22,all,58,969,195,0.20123839009287925,0.5622672762207646
22,all,68,721,142,0.19694868238557559,0.6633766328541195
22,after_standard_run2,10,197,38,0.19289340101522842,0.6449023502151605
22,after_standard_run2,11,179,36,0.2011173184357542,0.4512432012432012
22,after_standard_run2,12,192,39,0.203125,0.5997150997150997
22,after_standard_run2,14,197,38,0.19289340101522842,0.5168818272095332
22,after_standard_run2,24,366,69,0.1885245901639344,0.44334650856389984
22,after_standard_run2,25,352,72,0.20454545454545456,0.5127232142857143
22,after_standard_run2,30,195,38,0.19487179487179487,0.610375460945357
22,after_standard_run2,47,198,39,0.19696969696969696,0.4547653604257378
22,after_standard_run2,49,192,35,0.18229166666666666,0.5494085532302093
22,after_standard_run2,50,147,29,0.19727891156462585,0.5138807714786675
22,after_standard_run2,52,196,37,0.18877551020408162,0.6659017508074112
22,after_standard_run2,63,189,35,0.18518518518518517,0.5193877551020408
22,after_standard_run2,64,189,37,0.19576719576719576,0.7060810810810811
22,after_standard_run2,65,194,38,0.1958762886597938,0.659919028340081
22,after_standard_run2,70,162,35,0.21604938271604937,0.5019122609673791
22,after_standard_run3,10,158,40,0.25316455696202533,0.6192796610169492
22,after_standard_run3,11,141,38,0.2695035460992908,0.5066428206438426
22,after_standard_run3,12,152,40,0.2631578947368421,0.5348214285714286
22,after_standard_run3,14,157,39,0.2484076433121019,0.5908300738809212
22,after_standard_run3,24,290,72,0.2482758620689655,0.5018794597349643
