model,seed,fold,child,n,n_class1,auc,bacc,ce_bal_bits,j_bits
riemann_post,22,2,16,888,137,0.5005297073488391,0.49961608366460286,1.0094003793001338,-0.009400379300133821
riemann_post,22,2,33,97,23,0.4835487661574618,0.486780258519389,1.0093355704564528,-0.009335570456452835
riemann_post,22,3,4,786,128,0.5087267287234043,0.5089048252279635,1.0109077926712922,-0.01090779267129216
riemann_post,22,3,18,1416,199,0.4620183910513951,0.44667462208330067,1.0333328188902091,-0.033332818890209115
riemann_post,22,3,19,855,131,0.536006494875796,0.5132480705157944,1.003073716002302,-0.003073716002301996
riemann_post,22,3,22,879,138,0.5031195603277984,0.4806078742005515,1.008881166676054,-0.008881166676053986
riemann_post,22,3,23,958,145,0.4895533782924036,0.498362811214319,1.014436967851153,-0.014436967851152893
riemann_post,22,3,26,669,104,0.5087814840027229,0.4944860449285228,1.0100607416492098,-0.010060741649209781
riemann_post,22,3,32,781,120,0.5341527987897126,0.538968734241049,1.0009950144334883,-0.0009950144334882616
riemann_post,22,4,0,827,120,0.5198019801980198,0.5039839698255539,1.011319517322746,-0.011319517322746053
riemann_post,22,4,2,965,145,0.5525820016820858,0.511963835155593,0.9960265087217681,0.003973491278231878
riemann_post,22,4,3,866,131,0.5462636963182219,0.5519395544477332,0.9985625464539187,0.0014374535460812687
riemann_post,22,4,6,1717,259,0.5002860002860003,0.5058457928828299,1.0118977015132138,-0.011897701513213788
riemann_post,22,4,11,467,69,0.585062996140121,0.5654722889811375,0.9889477458525384,0.011052254147461582
riemann_post,22,4,25,659,99,0.4791847041847042,0.49574314574314576,1.0207439941680319,-0.020743994168031854
riemann_post,22,4,35,797,120,0.5239783357951748,0.5016063515509601,1.0022909941343072,-0.0022909941343072227
riemann_post,33,0,6,1717,259,0.49260371482593707,0.4973611177314881,1.017807459142014,-0.017807459142014093
riemann_post,33,0,8,967,141,0.49975100029193076,0.4823167276286642,1.01153220667842,-0.011532206678420032
riemann_post,33,0,10,785,116,0.5144837894953869,0.5164875521880316,1.016463532767518,-0.016463532767517997
riemann_post,33,0,17,828,119,0.4929774448566451,0.4766566711310758,1.0175894193580688,-0.017589419358068792
riemann_post,33,0,20,1170,179,0.45803854804976635,0.4723629988330731,1.0264464143973,-0.0264464143973
riemann_post,33,0,23,958,145,0.49984306739619117,0.5154260508122323,1.0119288365853756,-0.01192883658537558
riemann_post,33,0,33,97,23,0.45299647473560517,0.4717978848413631,1.023632079499394,-0.023632079499394054
riemann_post,33,0,35,797,120,0.5173436730674544,0.5008677991137371,1.0048934575993846,-0.004893457599384643
riemann_post,33,1,1,321,39,0.5272776868521549,0.520594653573377,1.0049357528334903,-0.004935752833490348
riemann_post,33,1,7,901,132,0.5459569689088545,0.5402086535051425,0.9964379628566138,0.0035620371433862097
riemann_post,33,1,11,467,69,0.5507974655888136,0.5324266258830384,0.9958632002313409,0.004136799768659105
riemann_post,33,1,14,748,112,0.48443115453728663,0.49432839173405213,1.0157655665738585,-0.015765566573858525
riemann_post,33,1,15,940,141,0.45889809069847953,0.46808510638297873,1.0215964649136802,-0.02159646491368017
riemann_post,33,1,21,936,141,0.4829207368749721,0.49222534457379896,1.0119161388552695,-0.011916138855269542
riemann_post,33,1,32,781,120,0.5387291981845688,0.5153807362581947,1.0040676863148787,-0.004067686314878749
riemann_post,33,2,0,827,120,0.5373880245167374,0.5466643092880716,1.0048965713790794,-0.004896571379079395
riemann_post,33,2,3,866,131,0.5344446175416732,0.511019369579893,0.9994426112950519,0.0005573887049481474
riemann_post,33,2,4,786,128,0.5224876519756838,0.5223570478723405,1.0025991897099231,-0.002599189709923122
riemann_post,33,2,19,855,131,0.5540255577580027,0.5538832187592256,0.9940595225643128,0.005940477435687153
riemann_post,33,2,25,659,99,0.4720959595959596,0.4636002886002886,1.0227686895667347,-0.022768689566734723
riemann_post,33,2,29,860,130,0.5055848261327713,0.47060063224446785,1.0029717493986627,-0.0029717493986627375
riemann_post,33,2,31,811,120,0.5474433188615533,0.5140135069946936,0.9932228653791574,0.0067771346208426175
riemann_post,33,3,5,963,147,0.504985327464319,0.49666116446578634,1.0140223221448648,-0.014022322144864763
riemann_post,33,3,9,580,91,0.4816737454774265,0.4803928178161307,1.0077158892488347,-0.007715889248834706
riemann_post,33,3,12,740,110,0.4440115440115441,0.472005772005772,1.0268490669749848,-0.026849066974984792
riemann_post,33,3,16,888,137,0.5056809898237873,0.5015891220465171,1.0097700409441268,-0.009770040944126812
riemann_post,33,3,18,1416,199,0.48586399540843084,0.49118848143759053,1.027949813705996,-0.02794981370599592
riemann_post,33,3,22,879,138,0.4837958888302138,0.4712785307750983,1.011985730532868,-0.01198573053286811
riemann_post,33,3,24,491,67,0.5089059419881724,0.531998028724303,1.0045142989363636,-0.00451429893636357
riemann_post,33,4,2,965,145,0.538511354079058,0.5358915054667788,1.0002417373831398,-0.0002417373831398173
riemann_post,33,4,13,960,142,0.48597575674093463,0.506680670821998,1.0121033683111504,-0.012103368311150442
riemann_post,33,4,26,669,104,0.5181586113002042,0.5195285908781484,1.0035017954786674,-0.0035017954786673577
riemann_post,33,4,27,776,124,0.49761280427468824,0.5174153967939837,1.0026169093486927,-0.002616909348692742
riemann_post,33,4,28,88,10,0.5846153846153846,0.5435897435897435,0.9855399166103018,0.014460083389698175
riemann_post,33,4,30,508,74,0.5160978951301531,0.5094656868850418,1.001924835682856,-0.001924835682856063
riemann_post,33,4,34,416,60,0.5639044943820225,0.5676029962546816,0.9947219519034812,0.005278048096518773
