test_lane,train_lanes,seed,child,n_train_children,n,n_class1,auc,bacc,ce_bal_bits,j_bits,epochs
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,32,33,781,120,0.5577092788703983,0.5152672718103882,1.0175998210906982,-0.017599821090698242,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,33,33,97,23,0.5035252643948296,0.48325499412455936,1.0073961019515991,-0.007396101951599121,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,34,33,416,60,0.5496722846441948,0.52312734082397,1.010710597038269,-0.010710597038269043,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,35,33,797,120,0.46745445593303786,0.5061484490398819,1.073726773262024,-0.07372677326202393,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,0,33,827,120,0.5126944837340877,0.5356435643564357,1.0523980855941772,-0.052398085594177246,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,1,33,321,39,0.7048554282596835,0.5313693398799781,1.003844141960144,-0.003844141960144043,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,2,33,965,145,0.48156013456686286,0.5058031959629941,1.040426254272461,-0.04042625427246094,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,3,33,866,131,0.5084125253154697,0.4776185283273615,1.0544016361236572,-0.05440163612365723,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,4,33,786,128,0.4601360657294833,0.4842325227963526,1.098432183265686,-0.09843218326568604,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,5,33,963,147,0.4593920901694011,0.4987870148059224,1.0840373039245605,-0.08403730392456055,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,6,33,1717,259,0.44591284406099224,0.47660093956390254,1.1033649444580078,-0.10336494445800781,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,7,33,901,132,0.5306182763920084,0.5238798912400993,1.0208032131195068,-0.020803213119506836,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,8,33,967,141,0.48911699551800525,0.4815869008981162,1.116901159286499,-0.11690115928649902,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,9,33,580,91,0.4856176543293108,0.4979325378098384,1.0417027473449707,-0.0417027473449707,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,10,33,785,116,0.46991134477604246,0.49480052574609557,1.0827040672302246,-0.08270406723022461,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,11,33,467,69,0.455046974000437,0.4593984414827762,1.146468162536621,-0.1464681625366211,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,12,33,740,110,0.4499278499278499,0.49098124098124096,1.1095669269561768,-0.10956692695617676,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,13,33,960,142,0.46193481180481427,0.45611074761527604,1.0403752326965332,-0.0403752326965332,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,14,33,748,112,0.4646086028751123,0.4777066486972147,1.0888392925262451,-0.08883929252624512,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,15,33,940,141,0.4855404361835273,0.49833124739257406,1.0800130367279053,-0.08001303672790527,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,16,33,888,137,0.4702732123591902,0.48841447413181455,1.080130934715271,-0.080130934715271,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,17,33,828,119,0.5352194474404712,0.5311955529743633,1.0313550233840942,-0.03135502338409424,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,18,33,1416,199,0.49728923995491014,0.48364666388639993,1.072551965713501,-0.07255196571350098,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,19,33,855,131,0.6371146303403483,0.5237389819071318,1.0501729249954224,-0.05017292499542236,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,20,33,1170,179,0.45127375429141603,0.4865916150381365,1.0575618743896484,-0.05756187438964844,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,21,33,936,141,0.5450109282305188,0.5120165930683795,1.0228140354156494,-0.022814035415649414,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,22,33,879,138,0.5082487433746015,0.5081558411077862,1.0405616760253906,-0.040561676025390625,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,23,33,958,145,0.44054375026508885,0.45384909021504005,1.0639286041259766,-0.06392860412597656,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,24,33,491,67,0.5068994649394537,0.5057554210081667,1.0220178365707397,-0.022017836570739746,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,25,33,659,99,0.4908910533910533,0.4984126984126984,1.0763911008834839,-0.07639110088348389,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,26,33,669,104,0.5018039482641252,0.4856790333560245,1.045889139175415,-0.04588913917541504,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,27,33,776,124,0.47868221848406883,0.48374727884425095,1.0295495986938477,-0.029549598693847656,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,28,33,88,10,0.33974358974358976,0.48461538461538467,1.279708743095398,-0.27970874309539795,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,29,33,860,130,0.4893993677555322,0.49262381454162274,1.057213306427002,-0.05721330642700195,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,30,33,508,74,0.5232905716776685,0.5164092664092664,1.1122612953186035,-0.11226129531860352,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,31,33,811,120,0.43578750602990834,0.45505909310178483,1.153949499130249,-0.15394949913024902,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,32,33,781,120,0.546564548663641,0.5175239536056481,1.0821081399917603,-0.08210813999176025,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,33,33,97,23,0.5948883666274971,0.4421269095182139,0.9969208240509033,0.0030791759490966797,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,34,33,416,60,0.565379213483146,0.5176029962546816,1.0373135805130005,-0.03731358051300049,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,22,35,33,797,120,0.46748522895125555,0.4681191531265386,1.1274186372756958,-0.1274186372756958,24
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,0,33,827,120,0.516483969825554,0.5271570014144271,1.0222043991088867,-0.02220439910888672,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,1,33,321,39,0.538552464084379,0.504228041462084,1.016703486442566,-0.016703486442565918,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,2,33,965,145,0.4236585365853659,0.45136669470142976,1.048164963722229,-0.048164963722229004,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,3,33,866,131,0.49509269356597596,0.48691384950926936,1.0251164436340332,-0.025116443634033203,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,4,33,786,128,0.4561051481762918,0.47879464285714285,1.04850172996521,-0.04850172996520996,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,5,33,963,147,0.4840686274509804,0.49798669467787116,1.0414891242980957,-0.0414891242980957,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,6,33,1717,259,0.45608836349577087,0.49569013457902344,1.0504416227340698,-0.050441622734069824,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,7,33,901,132,0.5483065374157703,0.538834377586003,1.0017644166946411,-0.0017644166946411133,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,8,33,967,141,0.5130252605910738,0.4911047000841447,1.0246704816818237,-0.02467048168182373,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,9,33,580,91,0.4992808827164656,0.4861794647070721,1.0161652565002441,-0.01616525650024414,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,10,33,785,116,0.4747371269522189,0.500953559094892,1.051775574684143,-0.051775574684143066,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,11,33,467,69,0.4421200203918141,0.4641322554803,1.082625389099121,-0.0826253890991211,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,12,33,740,110,0.44339105339105345,0.47157287157287153,1.0569941997528076,-0.05699419975280762,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,13,33,960,142,0.383604807328076,0.4033627191018974,1.0538111925125122,-0.05381119251251221,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,14,33,748,112,0.4809144766397125,0.5183625336927223,1.0463438034057617,-0.04634380340576172,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,15,33,940,141,0.4535279027862843,0.47997496871088857,1.0600863695144653,-0.06008636951446533,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,16,33,888,137,0.484152516838862,0.48972173355234383,1.0382567644119263,-0.03825676441192627,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,17,33,828,119,0.5464081260148629,0.5285820957437982,1.0087263584136963,-0.008726358413696289,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,18,33,1416,199,0.4816481751402865,0.4877241590037286,1.0394625663757324,-0.03946256637573242,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,19,33,855,131,0.5784182446965542,0.5221416220319682,1.0177984237670898,-0.017798423767089844,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,20,33,1170,179,0.4502731285479934,0.46824493063267736,1.0363279581069946,-0.03632795810699463,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,21,33,936,141,0.49028502609393815,0.47850930014719656,1.0296783447265625,-0.0296783447265625,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,22,33,879,138,0.4960443192708639,0.5001173502317667,1.0305029153823853,-0.030502915382385254,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,23,33,958,145,0.39938923527166303,0.43653984815710223,1.0495126247406006,-0.049512624740600586,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,24,33,491,67,0.4996655871585469,0.5010736412278232,1.012824535369873,-0.012824535369873047,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,25,33,659,99,0.5080266955266955,0.5067279942279942,1.0293021202087402,-0.029302120208740234,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,26,33,669,104,0.45277399591558887,0.45989618788291353,1.0326648950576782,-0.03266489505767822,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,27,33,776,124,0.4526704433010093,0.451192360973679,1.0208659172058105,-0.020865917205810547,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,28,33,88,10,0.28717948717948716,0.4474358974358974,1.1529545783996582,-0.1529545783996582,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,29,33,860,130,0.4963277133825079,0.5071127502634352,1.0272048711776733,-0.02720487117767334,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,30,33,508,74,0.5330676298418233,0.5094034126292191,1.0180985927581787,-0.01809859275817871,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,31,33,811,120,0.467836468885673,0.4850277375783888,1.059707522392273,-0.05970752239227295,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,32,33,781,120,0.538968734241049,0.5205118507312153,1.051069974899292,-0.05106997489929199,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,33,33,97,23,0.6201527614571093,0.4976498237367803,0.9841349720954895,0.015865027904510498,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,34,33,416,60,0.5488998127340824,0.523314606741573,1.0213360786437988,-0.021336078643798828,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,33,35,33,797,120,0.4650049236829148,0.47248276710979814,1.0646061897277832,-0.0646061897277832,14
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,0,42,686,109,0.5946528230486701,0.507695610004293,1.0192539691925049,-0.019253969192504883,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,1,42,956,143,0.4691077680007569,0.4790123775363628,1.0212597846984863,-0.021259784698486328,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,2,42,960,144,0.46647348175381265,0.4918300653594771,1.0310990810394287,-0.03109908103942871,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,3,42,473,71,0.4874395627496322,0.48377829164038955,1.0215694904327393,-0.021569490432739258,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,4,42,960,145,0.569244764121007,0.5544742965940342,0.9909083843231201,0.009091615676879883,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,5,42,757,115,0.4594812406880671,0.49349180549911964,1.0446032285690308,-0.04460322856903076,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,6,42,865,131,0.5175915718534851,0.5296243526010358,1.014893651008606,-0.014893651008605957,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,7,42,977,150,0.4552478839177751,0.48821442966545747,1.0316170454025269,-0.031617045402526855,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,8,42,882,127,0.5406580799916566,0.5423945351201961,1.0024112462997437,-0.0024112462997436523,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,9,42,865,131,0.4869272209164465,0.48203922873723404,1.0383243560791016,-0.03832435607910156,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,10,42,931,144,0.4985043413807708,0.5056032048566992,1.016241192817688,-0.01624119281768799,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,11,42,660,112,0.491959397810219,0.4872914494264859,1.0179872512817383,-0.01798725128173828,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,12,42,1435,209,0.5574377326974562,0.5298145445179017,1.0080857276916504,-0.00808572769165039,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,13,42,913,139,0.5373422192478575,0.5142444184187533,1.0071570873260498,-0.007157087326049805,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,14,42,869,129,0.5561177456526294,0.531180599203855,1.0033104419708252,-0.0033104419708251953,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,15,42,964,144,0.5101583672086721,0.5032689701897018,1.0140759944915771,-0.014075994491577148,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,16,42,96,14,0.3632404181184669,0.4738675958188153,1.125044345855713,-0.1250443458557129,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,17,42,330,50,0.49485714285714283,0.4857142857142857,1.0376768112182617,-0.03767681121826172,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,18,42,908,136,0.5189538250533374,0.5136391344102408,1.009589433670044,-0.009589433670043945,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,19,42,127,23,0.4853678929765886,0.47637959866220736,1.032349705696106,-0.03234970569610596,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,20,42,939,140,0.4807929554800643,0.49018415876989097,1.0397762060165405,-0.03977620601654053,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,21,42,800,120,0.5005392156862746,0.4617647058823529,1.0293045043945312,-0.02930450439453125,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,22,42,925,136,0.5682966152240364,0.540832587787967,1.0142513513565063,-0.014251351356506348,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,23,42,352,56,0.4917953667953668,0.4734555984555985,1.0253020524978638,-0.02530205249786377,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,24,42,96,16,0.473046875,0.45,1.0474867820739746,-0.04748678207397461,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,25,42,279,46,0.4636592647882068,0.4779343161037507,1.0233616828918457,-0.023361682891845703,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,11,26,42,868,133,0.45195130683852486,0.46716791979949873,1.0298118591308594,-0.029811859130859375,16
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,0,42,686,109,0.5341373443785478,0.5221328287726774,1.0029261112213135,-0.0029261112213134766,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,1,42,956,143,0.52565392786795,0.5160847762323777,1.0052309036254883,-0.005230903625488281,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,2,42,960,144,0.49130242374727673,0.4985702614379085,1.0296175479888916,-0.0296175479888916,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,3,42,473,71,0.5058510265573541,0.49703945063415317,1.0168521404266357,-0.016852140426635742,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,4,42,960,145,0.5691855299344193,0.5401311614131585,0.9900113344192505,0.009988665580749512,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,5,42,757,115,0.48388866314506296,0.4871326019233374,1.0518314838409424,-0.05183148384094238,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,6,42,865,131,0.5138683778105955,0.5503307194708489,1.0242825746536255,-0.02428257465362549,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,7,42,977,150,0.4494800483675937,0.46298669891172917,1.0435446500778198,-0.043544650077819824,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,8,42,882,127,0.5052562966053085,0.5193982374719717,1.0180853605270386,-0.018085360527038574,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,9,42,865,131,0.516031574349481,0.5173419722528444,1.0232841968536377,-0.023284196853637695,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,10,42,931,144,0.462184985175773,0.46672931667372586,1.0319507122039795,-0.03195071220397949,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,11,42,660,112,0.512936652763295,0.5007168925964547,1.0201458930969238,-0.020145893096923828,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,12,42,1435,209,0.5464438755200325,0.5060842823356775,1.032033920288086,-0.03203392028808594,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,13,42,913,139,0.517967021731452,0.5140678155150299,1.0143966674804688,-0.01439666748046875,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,14,42,869,129,0.538874921433061,0.5275874711921223,1.0199533700942993,-0.019953370094299316,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,15,42,964,144,0.5002117208672087,0.5015921409214092,1.0144155025482178,-0.014415502548217773,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,16,42,96,14,0.39198606271777003,0.4625435540069686,1.0784437656402588,-0.07844376564025879,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,17,42,330,50,0.52125,0.5514285714285714,1.0300893783569336,-0.030089378356933594,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,18,42,908,136,0.5104484151173422,0.49889515391648886,1.0186482667922974,-0.018648266792297363,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,19,42,127,23,0.4621655518394649,0.5150501672240803,1.0504176616668701,-0.05041766166687012,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,20,42,939,140,0.4650411228321116,0.49117647058823527,1.0519710779190063,-0.05197107791900635,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,21,42,800,120,0.4741299019607843,0.49485294117647055,1.048284649848938,-0.04828464984893799,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,22,42,925,136,0.5608504808767614,0.5327154626108999,1.0196033716201782,-0.019603371620178223,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,23,42,352,56,0.49031732625482627,0.5188223938223938,1.025673508644104,-0.025673508644104004,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,24,42,96,16,0.56484375,0.46875,1.0148789882659912,-0.014878988265991211,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,25,42,279,46,0.47350251912670277,0.4435995521552528,1.0244300365447998,-0.024430036544799805,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,22,26,42,868,133,0.5538744821236765,0.5456856426781238,0.9993611574172974,0.0006388425827026367,17
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,0,42,686,109,0.5309652902548774,0.5222997789897127,0.9977381229400635,0.0022618770599365234,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,1,42,956,143,0.5153321463284564,0.5031911507926268,1.0046509504318237,-0.0046509504318237305,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,2,42,960,144,0.47149884259259256,0.48508986928104575,1.01895272731781,-0.01895272731781006,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,3,42,473,71,0.48160605423586295,0.5198129072945133,1.0082628726959229,-0.008262872695922852,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,4,42,960,145,0.5647895070869473,0.5207108102390522,0.9939140677452087,0.00608593225479126,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,5,42,757,115,0.44958011648381424,0.48310984694568604,1.0334419012069702,-0.033441901206970215,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,6,42,865,131,0.4982424028121555,0.5245647606963829,1.0131349563598633,-0.013134956359863281,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,7,42,977,150,0.4569286577992745,0.49022571543732363,1.0159324407577515,-0.015932440757751465,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,8,42,882,127,0.5593523491682745,0.5188819940553788,0.9984623789787292,0.001537621021270752,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,9,42,865,131,0.5623271002766396,0.5334203465274455,1.005843162536621,-0.005843162536621094,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,10,42,931,144,0.4890097769306791,0.49591010165184246,1.0130313634872437,-0.013031363487243652,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,11,42,660,112,0.5002525417101147,0.5038451511991658,1.0099084377288818,-0.009908437728881836,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,12,42,1435,209,0.5309970573772411,0.5003707548568886,1.0110026597976685,-0.011002659797668457,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,13,42,913,139,0.5306173665718588,0.5357527931143458,1.0053422451019287,-0.005342245101928711,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,14,42,869,129,0.5129897339199665,0.5097737272155877,1.0091105699539185,-0.009110569953918457,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,15,42,964,144,0.47682503387533876,0.5200711382113822,1.0099395513534546,-0.00993955135345459,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,16,42,96,14,0.42726480836236935,0.4146341463414634,1.054080605506897,-0.05408060550689697,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,17,42,330,50,0.55025,0.5082142857142857,1.0091657638549805,-0.009165763854980469,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,18,42,908,136,0.5011953291679366,0.48937061871380677,1.0088579654693604,-0.008857965469360352,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,19,42,127,23,0.5173494983277592,0.4690635451505017,1.0103890895843506,-0.010389089584350586,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,20,42,939,140,0.47704273198641156,0.46802252816020024,1.0170361995697021,-0.01703619956970215,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,21,42,800,120,0.4848651960784314,0.47696078431372546,1.017498254776001,-0.017498254776000977,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,22,42,925,136,0.5506551479907553,0.5221986132856185,1.0001966953277588,-0.00019669532775878906,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,23,42,352,56,0.509411196911197,0.5212355212355212,0.9981324672698975,0.001867532730102539,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,24,42,96,16,0.58203125,0.475,0.9912424087524414,0.008757591247558594,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,25,42,279,46,0.554254525097966,0.527430490763202,0.994941771030426,0.005058228969573975,11
mff_bapa,mff_puretone+mff_unknown_hdev_ldev,33,26,42,868,133,0.5561556953608511,0.5459004654493376,0.9973942041397095,0.0026057958602905273,11
