model,seed,partition,train_block,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
child_spatial_meanfilter,22,early_late_halves,0,21,1,405,77,0.5924532784288882,0.5414554957237884,0.9936140775680542,0.006385922431945801
child_spatial_meanfilter,22,early_late_halves,0,22,2,457,83,0.560724180143032,0.5155917788802268,0.9943410158157349,0.005658984184265137
child_spatial_meanfilter,22,early_late_halves,0,23,1,480,96,0.5817192925347222,0.578125,0.991219162940979,0.008780837059020996
child_spatial_meanfilter,22,early_late_halves,0,24,2,959,189,0.5621074692503264,0.5455747955747956,0.9942516088485718,0.005748391151428223
child_spatial_meanfilter,22,early_late_halves,0,25,2,850,166,0.6096050870147255,0.5682730923694779,0.983678936958313,0.01632106304168701
child_spatial_meanfilter,22,early_late_halves,0,26,1,466,94,0.47522020132692744,0.4840139556165637,1.0184506177902222,-0.018450617790222168
child_spatial_meanfilter,22,early_late_halves,0,27,1,483,95,0.5061855670103093,0.5212967986977753,1.0115325450897217,-0.01153254508972168
child_spatial_meanfilter,22,early_late_halves,0,28,1,263,51,0.4966703662597114,0.5122549019607843,1.012405276298523,-0.01240527629852295
child_spatial_meanfilter,22,early_late_halves,0,30,1,479,93,0.6048804947350828,0.561424034765168,0.9899142980575562,0.010085701942443848
child_spatial_meanfilter,22,early_late_halves,0,31,2,828,162,0.5566214362510659,0.5316149482816149,0.9931905269622803,0.0068094730377197266
child_spatial_meanfilter,22,early_late_halves,0,32,1,487,96,0.642569799658994,0.5757805839727196,0.971802830696106,0.028197169303894043
child_spatial_meanfilter,22,early_late_halves,0,33,1,468,92,0.5226786540240518,0.5045675300647549,1.0073810815811157,-0.007381081581115723
child_spatial_meanfilter,22,early_late_halves,0,34,1,486,96,0.6318910256410256,0.5809294871794872,0.9780938625335693,0.021906137466430664
child_spatial_meanfilter,22,early_late_halves,0,35,1,476,95,0.5791822074872219,0.5608785743887277,0.9917475581169128,0.008252441883087158
child_spatial_meanfilter,22,early_late_halves,0,36,1,413,80,0.5007695195195195,0.48913288288288287,1.0153162479400635,-0.015316247940063477
child_spatial_meanfilter,22,early_late_halves,0,37,1,341,70,0.4803110173958882,0.49507116499736425,1.0084764957427979,-0.008476495742797852
child_spatial_meanfilter,22,early_late_halves,0,38,2,964,191,0.6716471488658452,0.6161517985952603,0.962139368057251,0.03786063194274902
child_spatial_meanfilter,22,early_late_halves,0,39,1,484,95,0.5217561899607631,0.5130158300635909,1.0073572397232056,-0.007357239723205566
child_spatial_meanfilter,22,early_late_halves,0,40,1,366,69,0.5636070853462158,0.5021226760357196,0.9927756786346436,0.007224321365356445
child_spatial_meanfilter,22,early_late_halves,0,41,1,481,95,0.4359149168257431,0.45849468230160895,1.0241554975509644,-0.024155497550964355
child_spatial_meanfilter,22,early_late_halves,0,42,1,472,94,0.5081335134526624,0.5101598559045367,1.0086169242858887,-0.008616924285888672
child_spatial_meanfilter,22,early_late_halves,0,43,1,473,90,0.6178561067595009,0.5962576153176675,0.9881426095962524,0.011857390403747559
child_spatial_meanfilter,22,early_late_halves,0,44,1,406,84,0.49833629103815436,0.5214803312629399,1.0214091539382935,-0.021409153938293457
child_spatial_meanfilter,22,early_late_halves,0,45,2,935,186,0.5402113211881074,0.5105840044790904,1.0012328624725342,-0.0012328624725341797
child_spatial_meanfilter,22,early_late_halves,0,46,1,414,84,0.5670995670995671,0.5292207792207793,0.9925079345703125,0.0074920654296875
child_spatial_meanfilter,22,early_late_halves,0,47,1,486,96,0.5206330128205128,0.5231570512820513,1.0100650787353516,-0.010065078735351562
child_spatial_meanfilter,22,early_late_halves,0,48,1,331,64,0.5441537921348315,0.5298747659176031,0.9950217604637146,0.0049782395362854
child_spatial_meanfilter,22,early_late_halves,0,49,1,486,95,0.5596177143626329,0.5253466146183874,0.9946728348731995,0.005327165126800537
child_spatial_meanfilter,22,early_late_halves,0,50,1,442,85,0.5850716757291152,0.5518207282913166,0.9889146089553833,0.0110853910446167
child_spatial_meanfilter,22,early_late_halves,0,51,2,971,191,0.5415726943213854,0.5132601691502214,1.000468373298645,-0.00046837329864501953
child_spatial_meanfilter,22,early_late_halves,0,52,1,485,96,0.48567373607540704,0.5085689802913453,1.014049768447876,-0.014049768447875977
child_spatial_meanfilter,22,early_late_halves,0,53,1,468,94,0.5784076686767551,0.5629764478325179,0.99535071849823,0.0046492815017700195
child_spatial_meanfilter,22,early_late_halves,0,54,1,474,92,0.4731533120874118,0.5025608923287047,1.0176036357879639,-0.017603635787963867
child_spatial_meanfilter,22,early_late_halves,0,55,1,301,62,0.44894722634633555,0.49034957484140906,1.0139243602752686,-0.013924360275268555
child_spatial_meanfilter,22,early_late_halves,0,56,1,487,96,0.5121616581415175,0.5132139812446718,1.0156115293502808,-0.015611529350280762
child_spatial_meanfilter,22,early_late_halves,0,57,1,485,96,0.5565954370179949,0.5287998071979434,0.9976900219917297,0.0023099780082702637
child_spatial_meanfilter,22,early_late_halves,0,58,1,464,91,0.528076481159591,0.5136405149809975,1.008976936340332,-0.008976936340332031
child_spatial_meanfilter,22,early_late_halves,0,59,2,864,171,0.535876728859185,0.5317460317460317,1.002159833908081,-0.0021598339080810547
child_spatial_meanfilter,22,early_late_halves,0,60,1,288,41,0.4698331193838255,0.4906191369606004,1.0206494331359863,-0.020649433135986328
child_spatial_meanfilter,22,early_late_halves,0,61,1,439,87,0.5065144984326019,0.4692887931034483,1.011426329612732,-0.011426329612731934
child_spatial_meanfilter,22,early_late_halves,0,62,1,439,91,0.5679550334722748,0.5357774409498548,1.0047633647918701,-0.004763364791870117
child_spatial_meanfilter,22,early_late_halves,0,63,1,453,90,0.5142332415059688,0.5166666666666666,1.0105799436569214,-0.010579943656921387
child_spatial_meanfilter,22,early_late_halves,0,64,1,481,96,0.6644209956709957,0.5979707792207792,0.9605149030685425,0.03948509693145752
child_spatial_meanfilter,22,early_late_halves,0,65,1,481,95,0.6109353695118626,0.5779110989910008,0.9778456091880798,0.022154390811920166
child_spatial_meanfilter,22,early_late_halves,0,66,1,409,81,0.6176038843721771,0.5802280939476061,0.9756990671157837,0.02430093288421631
child_spatial_meanfilter,22,early_late_halves,0,67,1,484,96,0.4655820446735396,0.4761060996563574,1.0138370990753174,-0.013837099075317383
child_spatial_meanfilter,22,early_late_halves,0,68,1,372,71,0.6584857985120022,0.5920640119788498,0.970678985118866,0.029321014881134033
child_spatial_meanfilter,22,early_late_halves,0,69,1,477,93,0.5228214605734767,0.501932123655914,1.0061018466949463,-0.006101846694946289
child_spatial_meanfilter,22,early_late_halves,0,70,1,385,79,0.5420493091751468,0.52341358484322,0.9952816963195801,0.004718303680419922
child_spatial_meanfilter,22,early_late_halves,0,71,1,444,87,0.5127016323770888,0.5024147590070511,1.0097466707229614,-0.009746670722961426
child_spatial_meanfilter,22,early_late_halves,0,72,1,343,72,0.5398985239852399,0.5291615416154162,1.0022695064544678,-0.0022695064544677734
child_spatial,22,early_late_halves,1,0,1,426,86,0.5781634746922025,0.5598837209302325,0.9954330921173096,0.00456690788269043
child_spatial,22,early_late_halves,1,1,2,963,194,0.5498036008740766,0.5142540184735833,0.9940059185028076,0.005994081497192383
child_spatial,22,early_late_halves,1,2,1,432,87,0.5711311011161087,0.5521239380309845,0.9975159168243408,0.0024840831756591797
child_spatial,22,early_late_halves,1,3,1,483,97,0.576678596228834,0.564539821590727,0.9880566000938416,0.011943399906158447
child_spatial,22,early_late_halves,1,4,2,948,192,0.5772845017636684,0.5520006613756614,0.9875922203063965,0.012407779693603516
child_spatial,22,early_late_halves,1,5,1,484,98,0.5102437347996194,0.5010838532304114,1.0037586688995361,-0.003758668899536133
child_spatial,22,early_late_halves,1,6,1,373,79,0.5171144407129942,0.4676440196331697,1.0206177234649658,-0.02061772346496582
child_spatial,22,early_late_halves,1,8,1,469,95,0.5791021671826625,0.5706304531381932,0.9916321039199829,0.00836789608001709
child_spatial,22,early_late_halves,1,10,1,478,96,0.6394388089005236,0.5686900087260035,0.9763250350952148,0.023674964904785156
child_spatial,22,early_late_halves,1,11,1,458,95,0.5329563578367406,0.5181238219515731,1.0098152160644531,-0.009815216064453125
child_spatial,22,early_late_halves,1,12,1,478,95,0.48722000824515593,0.480720076954789,1.0131486654281616,-0.013148665428161621
child_spatial,22,early_late_halves,1,13,1,482,98,0.5423974277210885,0.5079453656462585,1.0007576942443848,-0.0007576942443847656
child_spatial,22,early_late_halves,1,14,1,483,98,0.5051948051948052,0.5108534322820037,1.0100302696228027,-0.010030269622802734
child_spatial,22,early_late_halves,1,15,1,433,85,0.4329783637592968,0.4638776200135226,1.0207093954086304,-0.02070939540863037
child_spatial,22,early_late_halves,1,16,1,475,94,0.46513933098788185,0.49568604456357845,1.019934892654419,-0.019934892654418945
child_spatial,22,early_late_halves,1,17,1,408,80,0.5225990853658536,0.4945121951219512,0.9985642433166504,0.0014357566833496094
child_spatial,22,early_late_halves,1,18,1,425,84,0.5619850579528,0.5546536796536796,1.00328528881073,-0.0032852888107299805
child_spatial,22,early_late_halves,1,19,1,480,98,0.6245859600384656,0.574206646009189,0.9729931354522705,0.027006864547729492
child_spatial,22,early_late_halves,1,20,2,916,184,0.5258783262057496,0.5079145877880732,1.0149017572402954,-0.01490175724029541
child_spatial,22,early_late_halves,1,21,1,446,92,0.5163350528125767,0.5046671579464506,1.0178627967834473,-0.017862796783447266
child_spatial,22,early_late_halves,1,22,2,509,101,0.5496384197243254,0.5600732867404388,0.9981530904769897,0.001846909523010254
child_spatial,22,early_late_halves,1,23,1,482,98,0.5701530612244897,0.5505952380952381,0.9915957450866699,0.008404254913330078
child_spatial,22,early_late_halves,1,24,2,819,165,0.5476971550366045,0.5549624687239366,1.0013542175292969,-0.001354217529296875
child_spatial,22,early_late_halves,1,25,2,879,179,0.5001675977653631,0.5002354349561053,1.0120738744735718,-0.012073874473571777
child_spatial,22,early_late_halves,1,26,1,475,97,0.5356188294332624,0.5278050510009273,1.002560019493103,-0.0025600194931030273
child_spatial,22,early_late_halves,1,27,1,481,98,0.5103106516758139,0.5071801566579635,1.003986120223999,-0.0039861202239990234
child_spatial,22,early_late_halves,1,28,1,248,51,0.46113267642082206,0.4728277097641087,1.0400772094726562,-0.04007720947265625
child_spatial,22,early_late_halves,1,30,1,483,98,0.6032865094089584,0.5468460111317254,0.9730453491210938,0.02695465087890625
child_spatial,22,early_late_halves,1,31,2,896,182,0.5745644411610799,0.5555914673561733,0.9892687201499939,0.010731279850006104
child_spatial,22,early_late_halves,1,32,1,486,98,0.6678545129391963,0.6097201767304861,0.9548088312149048,0.045191168785095215
child_spatial,22,early_late_halves,1,33,1,475,95,0.5425069252077562,0.5342105263157895,1.008955478668213,-0.00895547866821289
child_spatial,22,early_late_halves,1,34,1,486,98,0.5424994740164106,0.5130969913738691,0.9951400756835938,0.00485992431640625
child_spatial,22,early_late_halves,1,35,1,466,94,0.5016157629832989,0.5261381834820408,1.012342929840088,-0.01234292984008789
child_spatial,22,early_late_halves,1,36,1,445,88,0.4907212885154062,0.48505538579067986,1.0096328258514404,-0.00963282585144043
child_spatial,22,early_late_halves,1,37,1,378,82,0.4461107448912327,0.4839733025708636,1.059598445892334,-0.059598445892333984
child_spatial,22,early_late_halves,1,38,2,963,195,0.658059561965812,0.6239082532051282,0.9540368318557739,0.045963168144226074
child_spatial,22,early_late_halves,1,39,1,483,96,0.4729085917312662,0.47516957364341084,1.01125967502594,-0.011259675025939941
child_spatial,22,early_late_halves,1,40,1,394,81,0.4711473987299334,0.4680708397428312,1.0090633630752563,-0.009063363075256348
child_spatial,22,early_late_halves,1,41,1,483,97,0.46486565888574327,0.4909459964745473,1.0177829265594482,-0.017782926559448242
child_spatial,22,early_late_halves,1,42,1,482,95,0.4581123351013192,0.46801305589555287,1.0362720489501953,-0.03627204895019531
child_spatial,22,early_late_halves,1,43,1,477,96,0.5619942038495188,0.5421998031496063,0.9946774244308472,0.005322575569152832
child_spatial,22,early_late_halves,1,44,1,417,86,0.5685203400548022,0.5393978781704489,0.9880052208900452,0.011994779109954834
child_spatial,22,early_late_halves,1,45,2,955,194,0.5069665524201742,0.509875773873227,1.0073013305664062,-0.00730133056640625
child_spatial,22,early_late_halves,1,46,1,426,88,0.5174825174825175,0.5210126412049488,1.0004527568817139,-0.0004527568817138672
child_spatial,22,early_late_halves,1,47,1,486,98,0.5517173364191037,0.5426046707342731,0.9992921948432922,0.0007078051567077637
child_spatial,22,early_late_halves,1,48,1,408,85,0.5976871243853579,0.5761609907120743,0.9828864336013794,0.017113566398620605
