event_code,half_b_minus_a_uv_median,half_b_minus_a_uv_q25,half_b_minus_a_uv_q75,measured_records,records,scope,source_cohort_evidence,split,variant,waveform_r_median,waveform_r_q25,waveform_r_q75,waveform_rmse_uv_median,waveform_rmse_uv_q25,waveform_rmse_uv_q75
stad,0.12636831436625867,-1.1091766701972419,0.8326276426597001,18,18,all_canonical_MFF,CIHA_label,early_late_time,primary,0.735213744590291,0.2546344690544956,0.8722775802473344,1.5297467567218213,1.2256923539551519,2.144242265626642
devt,0.008017919570503462,0.008017919570503462,0.008017919570503462,1,1,all_canonical_MFF,CIHA_label,alternating_30s_blocks,strict,0.6829237842046987,0.6829237842046987,0.6829237842046987,1.824004290443654,1.824004290443654,1.824004290443654
devt,-2.5672157537020013,-2.5672157537020013,-2.5672157537020013,1,1,all_canonical_MFF,CIHA_label,early_late_time,strict,0.7027006838622825,0.7027006838622825,0.7027006838622825,3.0961557924205474,3.0961557924205474,3.0961557924205474
stad,-0.13515286669198945,-0.603247457436768,1.6017877757461383,13,13,all_canonical_MFF,CIHA_label,alternating_30s_blocks,strict,0.33496514206826905,0.027557375088696393,0.46954493097571137,2.068028435141733,1.2938363920744267,2.9632370525718854
stad,-0.20723942513528987,-0.6889422487940023,0.1883846793440265,12,13,all_canonical_MFF,CIHA_label,early_late_time,strict,0.332921079171123,0.12294574434896019,0.6471848099735488,2.1918868731517787,1.026664146928356,3.3549615944720106
devt,-1.554569446337318,-2.9593062165782813,-0.26701876611682174,3,3,all_canonical_MFF,HA,alternating_30s_blocks,primary,0.427718683334764,0.1652555840963893,0.6010018441214409,4.1541742375674655,3.1025462537202184,4.359743309612089
devt,-1.1368957571230622,-1.1737569343735954,1.2748218202721981,3,3,all_canonical_MFF,HA,early_late_time,primary,0.315428143980684,0.1106927955641577,0.5230684587931422,3.3147066063610375,2.542247328762216,3.836346530034656
stad,0.4048091922017959,-0.10413476705028724,0.5623597263485749,3,3,all_canonical_MFF,HA,alternating_30s_blocks,primary,0.666067355544454,0.6432008245866327,0.8229054486265455,1.2608789101715745,1.0345295573640505,1.3839688454858565
stad,0.8532397592743748,0.7934537920528102,0.9049952492183941,3,3,all_canonical_MFF,HA,early_late_time,primary,0.9189356572762113,0.8259403451770961,0.935558560987266,1.3608526360565358,1.129383286325994,1.4684423531499982
devt,-2.039798724318059,-2.2339103058990517,-1.845687142737066,2,2,all_canonical_MFF,HA,alternating_30s_blocks,strict,0.5292085027300464,0.34746125261071154,0.7109557528493811,2.9249282704982154,2.7774904177604447,3.0723661232359865
devt,-1.9319543914660893,-1.9319543914660893,-1.9319543914660893,1,2,all_canonical_MFF,HA,early_late_time,strict,0.8033177351432796,0.8033177351432796,0.8033177351432796,2.635148256348707,2.635148256348707,2.635148256348707
stad,0.2043173393034653,-0.14637091209049552,0.6748776095672715,3,3,all_canonical_MFF,HA,alternating_30s_blocks,strict,0.8029653160298814,0.7394743585775603,0.8431661953609575,1.5128082583490794,1.1196540025529274,1.6262065014027338
stad,0.7426736943247055,0.7393375176783725,1.328548821937849,3,3,all_canonical_MFF,HA,early_late_time,strict,0.8630435796123745,0.7671043690595656,0.9102375492156062,1.080954308272861,0.9746288120581013,1.8406216305128482
devt,-2.6114656676108154,-2.6114656676108154,-2.6114656676108154,1,1,all_canonical_MFF,NH,alternating_30s_blocks,primary,0.3482079486536681,0.3482079486536681,0.3482079486536681,3.3811877188869,3.3811877188869,3.3811877188869
devt,-3.082438459585343,-3.082438459585343,-3.082438459585343,1,1,all_canonical_MFF,NH,early_late_time,primary,0.18980428184109593,0.18980428184109593,0.18980428184109593,4.285334261678301,4.285334261678301,4.285334261678301
stad,0.5579157418207179,0.5579157418207179,0.5579157418207179,1,1,all_canonical_MFF,NH,alternating_30s_blocks,primary,0.12599558435887345,0.12599558435887345,0.12599558435887345,1.5388524279478768,1.5388524279478768,1.5388524279478768
stad,1.0376126791152165,1.0376126791152165,1.0376126791152165,1,1,all_canonical_MFF,NH,early_late_time,primary,0.34466034454455174,0.34466034454455174,0.34466034454455174,1.6303701656845602,1.6303701656845602,1.6303701656845602
devt,0.014581203112952884,-1.4503381139219622,1.407780326979574,90,91,all_canonical_MFF,unknown,alternating_30s_blocks,primary,0.5240062426967163,0.14111692839918744,0.7815685003109794,2.763447746612385,2.107774745863737,3.7125234302718972
devt,0.13676828769506466,-0.9643901921138821,1.7971646981007294,90,91,all_canonical_MFF,unknown,early_late_time,primary,0.44060155392061107,-0.011712921494754891,0.842752845554954,2.8543483855788434,1.947662191717114,4.6302348237261715
hdev,-0.30203578115185215,-0.9421228125450078,0.6295688416162675,55,55,all_canonical_MFF,unknown,alternating_30s_blocks,primary,0.24024709087755294,-0.11477265836170691,0.4588418947391125,1.7024719032862703,1.2496035546761102,2.487573650439928
hdev,-0.028293327448398242,-0.4319758365848967,0.9509767568437439,55,55,all_canonical_MFF,unknown,early_late_time,primary,0.09498894052195649,-0.2598340904563998,0.40434839165935366,1.740712929974997,1.3035388357749198,2.4987701105179485
ldev,-0.28462701306291305,-1.1985559212100294,0.6640695351825047,55,55,all_canonical_MFF,unknown,alternating_30s_blocks,primary,0.17622937464285054,-0.15184256257106732,0.49908411203249536,1.7840330907791326,1.2830808328346937,2.2998789899066736
ldev,0.2448727977433236,-0.7849364057272361,0.916705965753375,55,55,all_canonical_MFF,unknown,early_late_time,primary,0.3019922167325833,-0.10371849208826119,0.5713010668453176,1.6780910361861376,1.3244589651437304,2.071386835465205
stad,-0.03502564464809009,-0.4581137069068306,0.3846197185133845,157,157,all_canonical_MFF,unknown,alternating_30s_blocks,primary,0.7251452976439413,0.42389641406785383,0.8584962002297625,1.0734135263082165,0.6730293123814277,1.4200785577782178
stad,0.22690776490290981,-0.3681250385713208,0.6242019852556511,157,157,all_canonical_MFF,unknown,early_late_time,primary,0.7122802272491475,0.2884677918870861,0.8512331854935076,1.15124873480417,0.7455098245448223,1.7158124044848453
devt,-0.18494679959792504,-1.3139230433786289,1.6439873700668843,53,56,all_canonical_MFF,unknown,alternating_30s_blocks,strict,0.40235159084436706,0.10846171815251328,0.747744821757148,2.839476430296617,2.2687667111732637,3.8284165720173546
devt,0.30892509403236545,-1.4026837866980482,1.6487330734153303,50,56,all_canonical_MFF,unknown,early_late_time,strict,0.42638047784880734,0.06629046261080762,0.631851566024914,3.0795378295988716,2.60521828282793,4.121427300841966
hdev,-0.048083735639935926,-0.7787464650106256,0.8890826439524853,50,51,all_canonical_MFF,unknown,alternating_30s_blocks,strict,0.18322010065797492,-0.13653435472997388,0.42319891506522783,1.5867003552866608,1.2290748379336103,2.256097288067149
hdev,0.040153428014600756,-0.6114905710825594,0.9517161742510658,49,51,all_canonical_MFF,unknown,early_late_time,strict,0.25329854247354255,0.002975461944652126,0.5821666130121178,1.5061541415825999,1.2118804375485357,2.0020481734010325
ldev,-0.256147404324642,-1.0166015872718783,0.3650168761390193,51,51,all_canonical_MFF,unknown,alternating_30s_blocks,strict,0.14042457637321112,-0.027374174382286908,0.4856933571348587,1.7247273831064993,1.111565505122829,2.373761509177676
ldev,0.15077773501497216,-0.5490594702622702,0.8270501357183571,47,51,all_canonical_MFF,unknown,early_late_time,strict,0.25442930858011253,0.049057704117039,0.48767730727162895,1.4199640774846645,1.1082060786285075,1.814009527176951
stad,-0.010719599266973523,-0.6178439780909065,0.4453609866032579,136,138,all_canonical_MFF,unknown,alternating_30s_blocks,strict,0.6800066196104332,0.3123224957026053,0.8494567589617059,1.1887778203411403,0.7012082753410833,1.8349216803912458
stad,0.004778364364222382,-0.3554182730461737,0.48134474830408175,132,138,all_canonical_MFF,unknown,early_late_time,strict,0.6929917386137807,0.38276300045226386,0.834212449373864,1.15811421214095,0.7354613144376316,1.7715231273443763
