contrast,status,gain_bits,ci_low,ci_high,positive_group_fraction,n_groups,identical_group_differences,fold_gains,bootstrap_repetitions,bootstrap_seed,scope
RAND_post_minus_SIM__Zpost,PASS,-0.0018839320692154438,-0.00510920312867934,0.0012947364126243465,0.46938775510204084,49,False,"{'0': -0.0010033158171653149, '1': -0.006601209318352707, '2': -0.006352159798915388, '3': 0.0007317585981047592, '4': 0.002823558819106431}",2000,63017,fixed_oof_not_pipeline_refit
Htrial_minus_SIM__Htrial_Zpost,PASS,0.000184616005917097,-0.0034037396270866385,0.0037300754254576914,0.5102040816326531,49,False,"{'0': 0.0025826463340737804, '1': 0.001960616963619288, '2': -0.0014134085651728578, '3': 5.059841352722527e-05, '4': -0.0028167810634956102}",2000,63017,fixed_oof_not_pipeline_refit
L0_post_minus_SIM__Htrial_Zpost,PASS,0.006601965717813114,-0.00028727576350438307,0.01367676058829508,0.5510204081632653,49,False,"{'0': -0.00042427303758429957, '1': 0.007418285415621772, '2': -0.009365820922616439, '3': 0.01594670269741998, '4': 0.016944000983678386}",2000,63017,fixed_oof_not_pipeline_refit
RAND_post_minus_SIM__Htrial_Zpost,PASS,-0.0015968591143304773,-0.004898549697019258,0.0017232607641799115,0.5102040816326531,49,False,"{'0': -0.0017571462164083734, '1': -0.005800133459721302, '2': -0.005675172875417522, '3': 0.001644301459526909, '4': 0.0028042214783582818}",2000,63017,fixed_oof_not_pipeline_refit
Htrial_minus_SIM__Htrial_Zpre,PASS,-0.0025976262797650267,-0.005882795922755211,0.0006072992362287143,0.42857142857142855,49,False,"{'0': -0.0014730795626176933, '1': -0.001688996569052781, '2': -0.006504416018077969, '3': -0.005716459774878791, '4': 0.0015010079064247783}",2000,63017,fixed_oof_not_pipeline_refit
L0_post_minus_SIM__Htrial_Zpre,PASS,0.0038197234321309904,-0.004404293609725288,0.013015821921549202,0.5306122448979592,49,False,"{'0': -0.004479998934275773, '1': 0.0037686718829497033, '2': -0.01445682837552155, '3': 0.010179644509013963, '4': 0.021261789953598776}",2000,63017,fixed_oof_not_pipeline_refit
RAND_post_minus_SIM__Htrial_Zpre,PASS,-0.004379101400012601,-0.009132792393755952,0.0006411139225336981,0.3877551020408163,49,False,"{'0': -0.0058128721130998465, '1': -0.00944974699239337, '2': -0.010766180328322633, '3': -0.004122756728879106, '4': 0.007122010448278671}",2000,63017,fixed_oof_not_pipeline_refit
SIM__pre_minus_post,PASS,0.0027822422856821237,-0.0019941627286629514,0.007433587719131842,0.5714285714285714,49,False,"{'0': 0.004055725896691473, '1': 0.003649613532672069, '2': 0.005091007452905111, '3': 0.005767058188406016, '4': -0.004317788969920388}",2000,63017,fixed_oof_not_pipeline_refit
Htrial_minus_MATCH__Zpost,PASS,-1.7027621973373024,-1.7917346705678645,-1.6224145119652655,0.0,49,False,"{'0': -1.6560287069789068, '1': -1.7732513541537998, '2': -1.4973557645551772, '3': -1.7425371960500278, '4': -1.8082300274280143}",2000,63017,fixed_oof_not_pipeline_refit
L0_post_minus_MATCH__Zpost,PASS,-1.6963448476254062,-1.784151335758676,-1.616812341280781,0.0,49,False,"{'0': -1.6590356263505648, '1': -1.7677936857017975, '2': -1.5053081769126209, '3': -1.7266410917661346, '4': -1.7884692453808406}",2000,63017,fixed_oof_not_pipeline_refit
RAND_post_minus_MATCH__Zpost,PASS,-1.7045436724575498,-1.7933955959440921,-1.625134441285979,0.0,49,False,"{'0': -1.6603684995293888, '1': -1.7810121045771408, '2': -1.501617528865422, '3': -1.7409434930040277, '4': -1.8026090248861606}",2000,63017,fixed_oof_not_pipeline_refit
Htrial_minus_MATCH__Htrial_Zpost,PASS,-1.702238643892728,-1.7911978897079701,-1.6216869686321553,0.0,49,False,"{'0': -1.6557699272204063, '1': -1.7723763753422137, '2': -1.4964041697879567, '3': -1.742240144575597, '4': -1.8078825793837427}",2000,63017,fixed_oof_not_pipeline_refit
L0_post_minus_MATCH__Htrial_Zpost,PASS,-1.695821294180832,-1.7836247928247078,-1.6162262691934766,0.0,49,False,"{'0': -1.658776846592064, '1': -1.7669187068902112, '2': -1.5043565821454001, '3': -1.7263440402917045, '4': -1.7881217973365686}",2000,63017,fixed_oof_not_pipeline_refit
RAND_post_minus_MATCH__Htrial_Zpost,PASS,-1.7040201190129758,-1.7930512795762361,-1.6246411425272258,0.0,49,False,"{'0': -1.6601097197708883, '1': -1.7801371257655543, '2': -1.5006659340982011, '3': -1.7406464415295975, '4': -1.8022615768418888}",2000,63017,fixed_oof_not_pipeline_refit
Htrial_minus_MATCH__Htrial_Zpre,PASS,-0.0010941714995537405,-0.0031381320475757277,0.0010033265072223524,0.42857142857142855,49,False,"{'0': -0.004252307098886274, '1': -0.003895009648039527, '2': 0.0032692754691361903, '3': 0.001875077726099994, '4': -0.0012793909924078473}",2000,63017,fixed_oof_not_pipeline_refit
L0_post_minus_MATCH__Htrial_Zpre,PASS,0.005323178212342276,-0.002638696924873251,0.013984879533357837,0.5714285714285714,49,False,"{'0': -0.007259226470544353, '1': 0.0015626588039629574, '2': -0.00468313688830739, '3': 0.017771182009992746, '4': 0.01848139105476615}",2000,63017,fixed_oof_not_pipeline_refit
RAND_post_minus_MATCH__Htrial_Zpre,PASS,-0.002875646619801315,-0.006791427242477819,0.0011363573987902371,0.5306122448979592,49,False,"{'0': -0.008592099649368428, '1': -0.011655760071380116, '2': -0.0009924888411084742, '3': 0.003468780772099678, '4': 0.004341611549446045}",2000,63017,fixed_oof_not_pipeline_refit
MATCH__pre_minus_post,PASS,-1.7011444723931741,-1.7907684727139068,-1.6210650813836496,0.0,49,False,"{'0': -1.6515176201215203, '1': -1.7684813656941742, '2': -1.4996734452570926, '3': -1.7441152223016971, '4': -1.806603188391335}",2000,63017,fixed_oof_not_pipeline_refit
