task,model,outer_fold,n_identity_groups,MAE,RMSE
V_given_C,C_Q_Z,2,11,7.237679928233754,10.413958874378565
V_given_C,C_Q_Z,3,11,10.085351871837439,15.001932854352756
V_given_C,C_Q_Z,4,11,4.732846561600085,7.558288063903056
V_given_C,C_SHUFFLED_Z,0,12,3.157703716991321,5.171365706006515
V_given_C,C_SHUFFLED_Z,1,11,7.073147268008065,10.175597002373562
V_given_C,C_SHUFFLED_Z,2,11,5.7294242692813135,6.782443521058047
V_given_C,C_SHUFFLED_Z,3,11,8.85617215139964,13.482046166528589
V_given_C,C_SHUFFLED_Z,4,11,5.325377199601134,7.580276837416224
V_given_C_and_A,MEAN,0,12,19.630681818181817,24.346596434000997
V_given_C_and_A,MEAN,1,11,19.333333333333336,20.609783779308653
V_given_C_and_A,MEAN,2,11,14.57575757575758,16.384599678410616
V_given_C_and_A,MEAN,3,11,18.212121212121215,24.16927305113719
V_given_C_and_A,MEAN,4,11,19.232323232323232,21.375563210857607
V_given_C_and_A,C_LINEAR,0,12,7.510869472348955,9.08315594121798
V_given_C_and_A,C_LINEAR,1,11,6.3604595129247485,8.19464884723339
V_given_C_and_A,C_LINEAR,2,11,5.223612008225461,6.036065977833457
V_given_C_and_A,C_LINEAR,3,11,9.6722395623416,13.918551694367153
V_given_C_and_A,C_LINEAR,4,11,5.362536735079695,7.399803894095215
V_given_C_and_A,C_BEST,0,12,3.0024135141538246,4.6721547960206
V_given_C_and_A,C_BEST,1,11,6.3604595129247485,8.19464884723339
V_given_C_and_A,C_BEST,2,11,5.223612008225461,6.036065977833457
V_given_C_and_A,C_BEST,3,11,7.193548042707949,12.173108798092274
V_given_C_and_A,C_BEST,4,11,4.8298633725734055,6.984905124889117
V_given_C_and_A,Z_ONLY,0,12,19.72189231755331,23.827137113923282
V_given_C_and_A,Z_ONLY,1,11,19.583460315796785,21.498406217660488
V_given_C_and_A,Z_ONLY,2,11,14.931072570219236,16.883600081697594
V_given_C_and_A,Z_ONLY,3,11,16.896558061337558,22.83253541042279
V_given_C_and_A,Z_ONLY,4,11,19.258431805838722,21.109929609233845
V_given_C_and_A,C_Z,0,12,3.0024135141538246,4.6721547960206
V_given_C_and_A,C_Z,1,11,5.933315393107549,7.771149760675652
V_given_C_and_A,C_Z,2,11,5.141448436102655,5.853942417088309
V_given_C_and_A,C_Z,3,11,7.435336118517989,12.68111801734991
V_given_C_and_A,C_Z,4,11,4.854373856562402,7.1521632811236495
V_given_C_and_A,C_Q,0,12,3.825697790089034,5.2165160481934825
V_given_C_and_A,C_Q,1,11,6.321938649236407,7.822714153224843
V_given_C_and_A,C_Q,2,11,6.440417807753788,8.122790894803668
V_given_C_and_A,C_Q,3,11,8.79295122445988,13.955082388018964
V_given_C_and_A,C_Q,4,11,4.623973176734207,6.852136754507155
V_given_C_and_A,C_Q_Z,0,12,3.825697790089034,5.2165160481934825
V_given_C_and_A,C_Q_Z,1,11,6.321938649236407,7.822714153224843
V_given_C_and_A,C_Q_Z,2,11,5.141784760518537,5.860283294190686
V_given_C_and_A,C_Q_Z,3,11,10.404821522460757,15.61069268562991
V_given_C_and_A,C_Q_Z,4,11,5.062945456576944,7.057652113578179
V_given_C_and_A,C_SHUFFLED_Z,0,12,3.467883218441397,5.374671504612217
V_given_C_and_A,C_SHUFFLED_Z,1,11,5.445306447179616,8.233411349209097
V_given_C_and_A,C_SHUFFLED_Z,2,11,5.232261093998627,6.472252600286466
V_given_C_and_A,C_SHUFFLED_Z,3,11,7.193548042707949,12.173108798092274
V_given_C_and_A,C_SHUFFLED_Z,4,11,4.8298633725734055,6.984905124889117
