task,stratum,model,n,MAE,gain_vs_clinical
V_given_A,age_gt_36,BEST_CQZ,53,5.076086527588609,0.01528520656484889
V_given_A,age_gt_36,Z_ONLY,53,19.4301967085813,-14.33882497442784
V_given_A,duration_le_6,C_BEST,18,8.907896354260881,0.0
V_given_A,duration_le_6,BEST_CZ,18,8.871733221509361,0.03616313275152131
V_given_A,duration_le_6,BEST_CQZ,18,8.758255339339295,0.14964101492158643
V_given_A,duration_le_6,Z_ONLY,18,28.37934492096989,-19.471448566709007
V_given_A,duration_gt_6,C_BEST,39,4.899118473067371,0.0
V_given_A,duration_gt_6,BEST_CZ,39,4.493163848466865,0.4059546246005061
V_given_A,duration_gt_6,BEST_CQZ,39,4.543691263688775,0.35542720937859595
V_given_A,duration_gt_6,Z_ONLY,39,17.450449421879277,-12.551330948811907
V_given_A,ceiling,C_BEST,18,3.035710114951529,0.0
V_given_A,ceiling,BEST_CZ,18,2.6646078885184075,0.37110222643312185
V_given_A,ceiling,BEST_CQZ,18,3.0039145980848603,0.03179551686666855
V_given_A,ceiling,Z_ONLY,18,19.344161018458824,-16.308450903507293
V_given_A,non_ceiling,C_BEST,39,7.6093582758255325,0.0
V_given_A,non_ceiling,BEST_CZ,39,7.3579909252319196,0.2513673505936135
V_given_A,non_ceiling,BEST_CQZ,39,7.199540836575436,0.40981743925009645
V_given_A,non_ceiling,Z_ONLY,39,21.62053429996131,-14.011176024135775
CAP,age_le_36,C_BEST,4,1.3915859414129534,0.0
CAP,age_le_36,BEST_CZ,4,1.2400761588672318,0.15150978254572162
CAP,age_le_36,BEST_CQZ,4,1.261093190330828,0.1304927510821255
CAP,age_le_36,Z_ONLY,4,2.7618564453145864,-1.3702705039016327
CAP,age_gt_36,C_BEST,53,0.4222889872056282,0.0
CAP,age_gt_36,BEST_CZ,53,0.4455844152557005,-0.02329542805007227
CAP,age_gt_36,BEST_CQZ,53,0.43380774754952806,-0.011518760343899846
CAP,age_gt_36,Z_ONLY,53,1.606201317754955,-1.183912330549327
CAP,duration_le_6,C_BEST,18,0.49336008381690444,0.0
CAP,duration_le_6,BEST_CZ,18,0.4732891148698883,0.02007096894701622
CAP,duration_le_6,BEST_CQZ,18,0.44496815752351276,0.048391926293391764
CAP,duration_le_6,Z_ONLY,18,2.3285271779103263,-1.835167094093422
CAP,duration_gt_6,C_BEST,39,0.48890201484220075,0.0
CAP,duration_gt_6,BEST_CZ,39,0.5142839634964889,-0.025381948654288094
CAP,duration_gt_6,BEST_CQZ,39,0.5135065781032069,-0.024604563261006195
CAP,duration_gt_6,Z_ONLY,39,1.3913488825611562,-0.9024468677189553
CAP,ceiling,C_BEST,17,0.33208836413944226,0.0
CAP,ceiling,BEST_CZ,17,0.352135671789763,-0.02004730765032075
CAP,ceiling,BEST_CQZ,17,0.3628415298062869,-0.03075316566684464
CAP,ceiling,Z_ONLY,17,1.9427745718487732,-1.610686207709331
CAP,non_ceiling,C_BEST,40,0.5575539474294896,0.0
CAP,non_ceiling,BEST_CZ,40,0.5647493055898769,-0.007195358160387275
CAP,non_ceiling,BEST_CQZ,40,0.5466969343685355,0.010857013060954226
CAP,non_ceiling,Z_ONLY,40,1.5787231975210458,-1.021169250091556
SIR,age_le_36,C_BEST,4,0.7763856752620104,0.0
SIR,age_le_36,BEST_CZ,4,0.8162711520713337,-0.039885476809323125
SIR,age_le_36,BEST_CQZ,4,1.016986545462282,-0.24060087020027138
SIR,age_le_36,Z_ONLY,4,1.6480601625564557,-0.8716744872944456
SIR,age_gt_36,C_BEST,53,0.38365311024763027,0.0
SIR,age_gt_36,BEST_CZ,53,0.40738797630877654,-0.0237348660611462
SIR,age_gt_36,BEST_CQZ,53,0.4281551492033925,-0.04450203895576212
SIR,age_gt_36,Z_ONLY,53,0.8732109584545272,-0.4895578482068968
SIR,duration_le_6,C_BEST,18,0.47632454087065385,0.0
SIR,duration_le_6,BEST_CZ,18,0.5056194951698368,-0.02929495429918308
SIR,duration_le_6,BEST_CQZ,18,0.5356157519835414,-0.0592912111128876
SIR,duration_le_6,Z_ONLY,18,1.1486693691992276,-0.672344828328574
SIR,duration_gt_6,C_BEST,39,0.38116194380770974,0.0
SIR,duration_gt_6,BEST_CZ,39,0.4039870881947033,-0.022825144386993478
SIR,duration_gt_6,BEST_CQZ,39,0.43895091163910716,-0.05778896783139745
SIR,duration_gt_6,Z_ONLY,39,0.8255480205828118,-0.44438607677510217
SIR,ceiling,C_BEST,17,0.3607564121644381,0.0
SIR,ceiling,BEST_CZ,17,0.39371235489838985,-0.03295594273395167
SIR,ceiling,BEST_CQZ,17,0.4545351852779636,-0.09377877311352553
SIR,ceiling,Z_ONLY,17,1.2115091836576146,-0.8507527714931765
SIR,non_ceiling,C_BEST,40,0.43265746343442507,0.0
SIR,non_ceiling,BEST_CZ,40,0.4540884329844467,-0.021430969550021568
SIR,non_ceiling,BEST_CQZ,40,0.4758267734975887,-0.04316931006316358
SIR,non_ceiling,Z_ONLY,40,0.8069191331534078,-0.37426166971898267
