mode,window,family,view,calibration,loss_bits_per_bag,bacc,auroc,brier_two_class_sum
R_SIM,post,logistic,HVAR,temperature,0.13299285735844424,0.983523363968677,0.9923634306342055,0.02979355844311411
R_SIM,pre,logistic,H,mixture_diagnostic,0.13167763949755032,0.982883404569792,0.9923421910946788,0.02945378402459488
R_SIM,pre,logistic,H,raw,0.13109576986564092,0.982883404569792,0.9923421910946788,0.03615424661953112
R_SIM,pre,logistic,H,temperature,0.13167763949755032,0.982883404569792,0.9923421910946788,0.02945378402459488
R_SIM,pre,logistic,HMU,mixture_diagnostic,0.13205802789305762,0.9841883861379314,0.9923634306342055,0.02946657889434133
R_SIM,pre,logistic,HMU,raw,0.13151346578078313,0.9841883861379314,0.9923634306342055,0.036265150034607174
R_SIM,pre,logistic,HMU,temperature,0.13205802789305762,0.9841883861379314,0.9923634306342055,0.02946657889434133
R_SIM,pre,logistic,HMUMU,mixture_diagnostic,0.13212559503386004,0.9841883861379314,0.9923634306342055,0.029506090866957827
R_SIM,pre,logistic,HMUMU,raw,0.13163239972161325,0.9841883861379314,0.9923634306342055,0.036313192276042704
R_SIM,pre,logistic,HMUMU,temperature,0.13212559503386004,0.9841883861379314,0.9923634306342055,0.029506090866957827
R_SIM,pre,logistic,HMUVAR,mixture_diagnostic,0.13114815714953715,0.9836610096203866,0.9923634306342055,0.029336165157058534
R_SIM,pre,logistic,HMUVAR,raw,0.13098832104485036,0.9836610096203866,0.9923634306342055,0.036074797322774695
R_SIM,pre,logistic,HMUVAR,temperature,0.13114815714953715,0.9836610096203866,0.9923634306342055,0.029336165157058534
R_SIM,pre,logistic,HRFF,mixture_diagnostic,0.1328186739499093,0.9833285442254579,0.9923421910946788,0.029660877449805334
R_SIM,pre,logistic,HRFF,raw,0.13168967413907653,0.9833285442254579,0.9923421910946788,0.036415706204412916
R_SIM,pre,logistic,HRFF,temperature,0.1328186739499093,0.9833285442254579,0.9923421910946788,0.029660877449805334
R_SIM,pre,logistic,HVAR,mixture_diagnostic,0.13090970210922484,0.9826666579239622,0.9923634306342055,0.029321215920985622
R_SIM,pre,logistic,HVAR,raw,0.13071163624285423,0.9826666579239622,0.9923634306342055,0.03600655428653899
R_SIM,pre,logistic,HVAR,temperature,0.13090970210922484,0.9826666579239622,0.9923634306342055,0.029321215920985622
