mode,outer_fold,window,family,calibration,effect,first,second,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,units,bootstrap_scope
L0,3,pre,logistic,mixture_diagnostic,mv_vs_dup,HMUMU,HMUVAR,5.673352417912508e-05,-0.0007561842100081482,0.000987400687157958,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,3,pre,logistic,raw,gain_mu_var,HMU,HMUVAR,-8.135800544204184e-06,-0.0006838608396465166,0.0005830893758986449,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,3,pre,logistic,raw,mv_vs_dup,HMUMU,HMUVAR,-6.94978542180061e-05,-0.0006944443252296293,0.0004888375020576691,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,3,pre,logistic,temperature,gain_mu_var,HMU,HMUVAR,0.0001399367373530223,-0.0006570799171069774,0.0010233925598055191,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,3,pre,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,5.673352417912508e-05,-0.0007561842100081482,0.000987400687157958,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,4,post,logistic,mixture_diagnostic,gain_mu_var,HMU,HMUVAR,-0.0007669704147218612,-0.002270479789663548,0.0007896861763669173,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,4,post,logistic,mixture_diagnostic,mv_vs_dup,HMUMU,HMUVAR,-0.0003557107560848702,-0.0019672039414791575,0.0012306977206371229,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,4,post,logistic,raw,gain_mu_var,HMU,HMUVAR,-0.0008623440551252526,-0.002062835222913997,0.0003458455126411585,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,4,post,logistic,raw,mv_vs_dup,HMUMU,HMUVAR,-0.0004480007523567873,-0.0016402967492374486,0.0007141511911956741,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,4,post,logistic,temperature,gain_mu_var,HMU,HMUVAR,-0.0007669704147218612,-0.002270479789663548,0.0007896861763669173,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,4,post,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,-0.0003557107560848702,-0.0019672039414791575,0.0012306977206371229,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,4,pre,logistic,mixture_diagnostic,gain_mu_var,HMU,HMUVAR,-0.0003488229851534245,-0.0008375422624540363,0.0001822674434481354,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,4,pre,logistic,mixture_diagnostic,mv_vs_dup,HMUMU,HMUVAR,0.00035158406214993104,-0.000433272402654107,0.001295400079727503,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,4,pre,logistic,raw,gain_mu_var,HMU,HMUVAR,-6.309192572920518e-05,-0.0004031300967464812,0.0002649211819878972,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,4,pre,logistic,raw,mv_vs_dup,HMUMU,HMUVAR,0.0008190815440273017,2.9226174046386215e-05,0.001955892486913509,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,4,pre,logistic,temperature,gain_mu_var,HMU,HMUVAR,-0.0003488229851534245,-0.0008375422624540363,0.0001822674434481354,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,4,pre,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,0.00035158406214993104,-0.000433272402654107,0.001295400079727503,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,0,post,logistic,mixture_diagnostic,gain_mu_var,HMU,HMUVAR,-0.000310065375575858,-0.0027570384479324423,0.001996589526838,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,0,post,logistic,mixture_diagnostic,mv_vs_dup,HMUMU,HMUVAR,0.0003239808296677622,-0.001978180457939461,0.0025094066506982904,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,0,post,logistic,raw,gain_mu_var,HMU,HMUVAR,0.00018121852807268315,-0.0011010312204733144,0.0014581576340255507,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,0,post,logistic,raw,mv_vs_dup,HMUMU,HMUVAR,0.00041869142821617547,-0.0008030711830770541,0.0015854098592040973,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,0,post,logistic,temperature,gain_mu_var,HMU,HMUVAR,-0.000310065375575858,-0.0027570384479324423,0.001996589526838,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,0,post,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,0.0003239808296677622,-0.001978180457939461,0.0025094066506982904,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,0,pre,logistic,mixture_diagnostic,gain_mu_var,HMU,HMUVAR,0.0012080679828630969,-0.0016962043200867475,0.003870091627482549,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,0,pre,logistic,mixture_diagnostic,mv_vs_dup,HMUMU,HMUVAR,0.0014795438103207582,-0.0013653879869647786,0.0041152957158811275,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,0,pre,logistic,raw,gain_mu_var,HMU,HMUVAR,0.0007259160969488888,-0.0018566979831093069,0.0031871537161695562,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,0,pre,logistic,raw,mv_vs_dup,HMUMU,HMUVAR,0.0009531511692475991,-0.0014959684229226683,0.003295729581889151,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,0,pre,logistic,temperature,gain_mu_var,HMU,HMUVAR,0.0012080679828630969,-0.0016962043200867475,0.003870091627482549,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,0,pre,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,0.0014795438103207582,-0.0013653879869647786,0.0041152957158811275,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,1,post,logistic,mixture_diagnostic,gain_mu_var,HMU,HMUVAR,-0.000838603240709734,-0.0019477805793998585,0.0003729282639908542,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,1,post,logistic,mixture_diagnostic,mv_vs_dup,HMUMU,HMUVAR,-0.00015166903478736407,-0.001337773985272185,0.0009962630861615467,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,1,post,logistic,raw,gain_mu_var,HMU,HMUVAR,-0.00026349062401576713,-0.0013867667957532831,0.0007614636622783662,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,1,post,logistic,raw,mv_vs_dup,HMUMU,HMUVAR,0.0001369078437327256,-0.001048552898053143,0.001171699402454981,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,1,post,logistic,temperature,gain_mu_var,HMU,HMUVAR,-0.000838603240709734,-0.0019477805793998585,0.0003729282639908542,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
