model,status,ce_bits,J_bits,bacc,auc,brier
L0__post__lambda0.01__PC8,PASS,1.0001426553577126,-0.00014265535771262883,0.5117772108843537,0.5192756228235342,0.25004303582494886
L0__post__lambda0.01__REST,PASS,1.0371023940357333,-0.037102394035733344,0.5148703231292516,0.5220271844919937,0.2610628516633909
L0__post__lambda0.01__PC8_DUP,PASS,1.0001426553577262,-0.00014265535772617355,0.5117772108843537,0.5192756228235342,0.2500430358249536
L0__post__lambda0.001__FULL,PASS,1.0791765842972727,-0.0791765842972727,0.5204506802721088,0.5184453047269079,0.27162892884942086
L0__post__lambda0.001__PC8,PASS,1.0001484402157845,-0.00014844021578452882,0.5119047619047619,0.5192787578200925,0.2500449734799724
L0__post__lambda0.001__REST,PASS,1.0784119172162352,-0.0784119172162352,0.5167729591836734,0.5169962828349877,0.27146065422891763
L0__post__lambda0.001__PC8_DUP,PASS,1.000148440215715,-0.00014844021571502886,0.5119047619047619,0.5192787578200925,0.2500449734799487
L0__post__lambda0.1__FULL,PASS,1.0061520655222829,-0.006152065522282868,0.5235225340136054,0.5317411961595863,0.2519368336990805
L0__post__lambda0.1__PC8,PASS,1.0000887587153249,-8.8758715324877e-05,0.5111500850340136,0.519164806999543,0.25002497809196955
L0__post__lambda0.1__REST,PASS,1.006205640712298,-0.0062056407122979,0.5214179421768707,0.5301884898038721,0.2519693680116231
L0__post__lambda0.1__PC8_DUP,PASS,1.0000887587152938,-8.875871529379076e-05,0.5111500850340136,0.519164806999543,0.2500249780919589
L0__pre__lambda0.01__FULL,PASS,1.0245854157255565,-0.024585415725556503,0.49581207482993195,0.4905831531964405,0.2580757894097005
L0__pre__lambda0.01__PC8,PASS,0.9999231353985211,7.686460147893204e-05,0.5166135204081632,0.5171162993790195,0.24996980450086398
R_SUP__post__lambda0.01__FULL,PASS,1.0188460355294833,-0.018846035529483274,0.5067389455782312,0.520112411115594,0.2560755564184526
R_SUP__post__lambda0.01__PC8,PASS,1.0050529373745638,-0.005052937374563804,0.5184311224489795,0.5267867098742133,0.2516643338484344
R_SUP__post__lambda0.01__REST,PASS,1.0139912961640558,-0.013991296164055811,0.5019770408163265,0.5047772154939776,0.25467174967994033
R_SUP__post__lambda0.01__PC8_DUP,PASS,1.005052940079496,-0.005052940079496082,0.5184311224489795,0.5267867098742133,0.25166433477037675
R_SUP__post__lambda0.001__FULL,PASS,1.0230191158221527,-0.023019115822152658,0.509045493197279,0.5188109875912523,0.25737181828096367
R_SUP__post__lambda0.001__PC8,PASS,1.0051786298386727,-0.005178629838672677,0.5179315476190476,0.5267889975133335,0.2517054169391988
R_SUP__post__lambda0.001__REST,PASS,1.0177918498971774,-0.017791849897177414,0.5017113095238095,0.5047353781808208,0.2558902470802593
R_SUP__post__lambda0.001__PC8_DUP,PASS,1.0051786298386727,-0.005178629838672677,0.5179315476190476,0.5267889975133335,0.2517054169391988
R_SUP__post__lambda0.1__FULL,PASS,1.0090807439351392,-0.009080743935139246,0.5142113095238094,0.5234850527955652,0.2529751516014561
R_SUP__post__lambda0.1__PC8,PASS,1.0039568963058803,-0.003956896305880253,0.5183992346938775,0.5266989245474974,0.2513049325878747
R_SUP__post__lambda0.1__REST,PASS,1.005651616703415,-0.005651616703415074,0.5058992346938775,0.504215234483461,0.25192607964121577
R_SUP__post__lambda0.1__PC8_DUP,PASS,1.0039568961893972,-0.003956896189397208,0.5183992346938775,0.5266989245474974,0.2513049325421952
R_RAND__post__lambda0.01__FULL,PASS,1.002498521595518,-0.0024985215955179996,0.523671343537415,0.5352393362213081,0.2507773997575795
R_RAND__post__lambda0.01__PC8,PASS,1.0011338594207193,-0.0011338594207193076,0.5119366496598639,0.5103626432237434,0.2503896806853594
R_RAND__post__lambda0.01__REST,PASS,1.0014404152324121,-0.0014404152324121178,0.5202380952380952,0.5328806392880275,0.250447724723591
R_RAND__post__lambda0.01__PC8_DUP,PASS,1.0011338594207193,-0.0011338594207193076,0.5119366496598639,0.5103626432237434,0.2503896806853594
R_RAND__post__lambda0.001__FULL,PASS,1.0047595702413554,-0.004759570241355426,0.5224702380952381,0.5342248324446699,0.2515105645436836
R_RAND__post__lambda0.001__PC8,PASS,1.0011646898194273,-0.0011646898194273003,0.5124043367346939,0.5103688097262712,0.2504002375353066
R_RAND__post__lambda0.001__REST,PASS,1.0036485808837017,-0.0036485808837016798,0.5201849489795918,0.5318297036608005,0.25117307911972403
R_RAND__post__lambda0.001__PC8_DUP,PASS,1.0011646898194273,-0.0011646898194273003,0.5124043367346939,0.5103688097262712,0.25040023753530666
R_RAND__post__lambda0.1__FULL,PASS,0.9980165751927126,0.001983424807287415,0.525563350340136,0.5373181787861824,0.24930103659840464
R_RAND__post__lambda0.1__PC8,PASS,1.0008784947168408,-0.0008784947168407609,0.5136798469387754,0.5102476489107546,0.2503021585218481
R_RAND__post__lambda0.1__REST,PASS,0.997231371047677,0.0027686289523229934,0.5244579081632652,0.5365129524120442,0.249039616470124
R_RAND__post__lambda0.1__PC8_DUP,PASS,1.0008784914236286,-0.0008784914236286134,0.5136798469387754,0.5102478296803412,0.2503021573841065
