representation,probability_mode,family,model,intervention,ce_increase_bits,perturbed_ce_bits,ci_lower,ci_upper,n_candidates,n_bootstrap,OOD_diagnostic,seed
R_SIM,calibrated,mlp32,C_LR,same_class_first,0.0001676374014459044,0.9993148664386611,-0.0005582385901820724,0.0008776648056556318,60,2000,True,20260917
R_SIM,calibrated,mlp32,C_LR,same_class_second,-0.0005338462717554337,0.9986133827654599,-0.001151234262106032,0.00011258054212331,60,2000,True,20260917
R_SIM,calibrated,mlp32,C_LR,zero_first,0.0007142432234288176,0.999861472260644,-0.0002476867358113924,0.001664152210933475,60,2000,True,20260917
R_SIM,calibrated,mlp32,C_LR,zero_second,-0.00012438210635079178,0.9990228469308645,-0.0009509967784498319,0.0006212384317845687,60,2000,True,20260917
R_SIM,calibrated,mlp32,C_RR,opposite_class_first,0.0012488932519329255,1.0009334778228451,0.00010218841699537671,0.002339439297040733,60,2000,True,20260917
R_SIM,calibrated,mlp32,C_RR,opposite_class_second,0.001248874163841431,1.0009334587347538,0.00010231260618387815,0.002339822621445348,60,2000,True,20260917
R_SIM,calibrated,mlp32,C_RR,same_class_first,-0.000888102102909009,0.9987964824680033,-0.0012574705015174516,-0.00048182028788100716,60,2000,True,20260917
R_SIM,calibrated,mlp32,C_RR,same_class_second,-0.000888156893282747,0.9987964276776294,-0.0012576239517769119,-0.0004815509067082811,60,2000,True,20260917
R_SIM,calibrated,mlp32,C_RR,zero_first,-0.00021390432691975231,0.9994706802439927,-0.0007111886316301618,0.00026519748725879527,60,2000,True,20260917
R_SIM,calibrated,mlp32,C_RR,zero_second,-0.0002139372280601126,0.9994706473428522,-0.0007111722086570751,0.00026510532157454083,60,2000,True,20260917
R_SIM,raw,linear,C_LL,opposite_class_first,0.0019307899525802122,1.0008693376691495,0.0003816839284501878,0.0034927108216443957,60,2000,True,20260917
R_SIM,raw,linear,C_LL,opposite_class_second,0.0019307899525802122,1.0008693376691495,0.0003816839284501875,0.00349271082164439,60,2000,True,20260917
R_SIM,raw,linear,C_LL,same_class_first,-0.0006694403326777805,0.9982691073838913,-0.001181446988496185,-0.0001647867573910962,60,2000,True,20260917
R_SIM,raw,linear,C_LL,same_class_second,-0.0006694403326777805,0.9982691073838913,-0.001181446988496201,-0.0001647867573910908,60,2000,True,20260917
R_SIM,raw,linear,C_LL,zero_first,5.158255855371626e-05,0.998990130275123,-0.0007097660083935352,0.0007883427095604691,60,2000,True,20260917
R_SIM,raw,linear,C_LL,zero_second,5.158255855371626e-05,0.998990130275123,-0.0007097660083935352,0.0007883427095604691,60,2000,True,20260917
R_SIM,raw,linear,C_LR,opposite_class_first,0.004047512642988969,1.0030145574840315,0.0016712783930283163,0.0063540883115651235,60,2000,True,20260917
R_SIM,raw,linear,C_LR,opposite_class_second,0.002606952335934824,1.0015739971769773,0.0006426532086357186,0.0044451273939450095,60,2000,True,20260917
R_SIM,raw,linear,C_LR,same_class_first,0.0002159527075813054,0.9991829975486239,-0.0005429722848262397,0.000990922573426238,60,2000,True,20260917
R_SIM,raw,linear,C_LR,same_class_second,-0.0007204093743135798,0.9982466354667288,-0.0013647220053650232,-9.180952313991125e-05,60,2000,True,20260917
