representation,probability_mode,family,statistic,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,seed,units,uncertainty
R_SIM,calibrated,linear,CE_C_L,0.9988480781747343,0.997669447872081,1.0000328536479568,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,mlp32,CE_C_RR,0.999863695687033,0.9985540284601682,1.0012716903764356,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,mlp32,CE_C_L64,0.9988769055772444,0.9977616813774909,0.9999990208825441,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,mlp32,CE_C_R64,0.9996049105648724,0.9986523640089054,1.000589763660378,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,mlp32,G_R_given_L,-0.0006239196666474323,-0.0018309626969278015,0.0005280978301581665,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,mlp32,G_L_given_R,8.859438577712986e-05,-0.0012868602982577804,0.001450580293764583,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,mlp32,T_C,-0.0006239196666474323,-0.0018309626969278015,0.0005097341326853403,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,mlp32,J_joint,0.0004909721843575632,-0.0015138438981470493,0.0025015937264672703,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,mlp32,duplicate_margin,-0.0006210028286908198,-0.0016070126931857277,0.00025312534908250546,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,mlp32,expanded_margin,-0.0006321222383980363,-0.0018364122088011469,0.0005017599246089071,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,mlp32,capacity_margin,-0.0006321222383980363,-0.0018364122088011469,0.00023602315824505676,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
