run,job_id,command,status,scheduler_state,cpus,gpus,accounted_seconds,reservation_upper_bound,cpu_core_hours,gpu_hours
R3_selection_001_task014,997643,train-representation,ENCODER_COMPLETE,UNKNOWN_RETAIN_RESERVATION,4,1,1800,True,2.0,0.5
capability_N2R_001,997627,capability,PASS,UNKNOWN_RETAIN_RESERVATION,2,0,1800,True,1.0,0.0
capability_P0_001,997621,capability,PASS,UNKNOWN_RETAIN_RESERVATION,2,0,900,True,0.5,0.0
capability_R3_001,997642,join-r3-capability,PASS,UNKNOWN_RETAIN_RESERVATION,2,0,300,True,0.16666666666666666,0.0
capability_R3_MATCH_001,997636,capability,FAILED,UNKNOWN_RETAIN_RESERVATION,4,1,600,True,0.6666666666666666,0.16666666666666666
capability_R3_MATCH_002,997640,capability,FAILED,FAILED,4,1,7,False,0.0077777777777777776,0.0019444444444444444
capability_R3_MATCH_003,997641,capability,PASS,UNKNOWN_RETAIN_RESERVATION,4,1,600,True,0.6666666666666666,0.16666666666666666
capability_R3_SIM_001,997635,capability,FAILED,UNKNOWN_RETAIN_RESERVATION,4,1,600,True,0.6666666666666666,0.16666666666666666
capability_R3_SIM_002,997639,capability,PASS,COMPLETED,4,1,13,False,0.014444444444444444,0.003611111111111111
capability_R3_SUP_001,997634,capability,FAILED,UNKNOWN_RETAIN_RESERVATION,4,1,600,True,0.6666666666666666,0.16666666666666666
capability_R3_SUP_002,997638,capability,PASS,COMPLETED,4,1,13,False,0.014444444444444444,0.003611111111111111
development_N2R_001,997626,develop-n2r,PASS,UNKNOWN_RETAIN_RESERVATION,2,0,1800,True,1.0,0.0
exposures_R3_001,997633,prepare-exposures,EXPOSURES_FROZEN,UNKNOWN_RETAIN_RESERVATION,2,0,1800,True,1.0,0.0
final_001,997678,finalize,V3_EXECUTION_COMPLETE,RUNNING,2,0,600,True,0.3333333333333333,0.0
final_002,997679,finalize,INCOMPLETE,RUNNING,2,0,600,True,0.3333333333333333,0.0
inspect_001,997615,inspect,SOURCE_REGISTRY_RESOLVED,UNKNOWN_RETAIN_RESERVATION,2,0,900,True,0.5,0.0
plan_001,997618,make-plan,PLAN_FROZEN,UNKNOWN_RETAIN_RESERVATION,2,0,300,True,0.16666666666666666,0.0
support_001,997616,freeze-support,FAILED,UNKNOWN_RETAIN_RESERVATION,2,0,900,True,0.5,0.0
support_002,997617,freeze-support,SUPPORT_FROZEN,UNKNOWN_RETAIN_RESERVATION,2,0,900,True,0.5,0.0
tests_N2R_001,997624,test,FAIL,UNKNOWN_RETAIN_RESERVATION,2,0,300,True,0.16666666666666666,0.0
tests_N2R_002,997625,test,PASS,UNKNOWN_RETAIN_RESERVATION,2,0,300,True,0.16666666666666666,0.0
tests_P0_001,997619,test,FAIL,UNKNOWN_RETAIN_RESERVATION,2,0,300,True,0.16666666666666666,0.0
tests_P0_002,997620,test,PASS,UNKNOWN_RETAIN_RESERVATION,2,0,300,True,0.16666666666666666,0.0
tests_R3_001,997628,test,FAIL,UNKNOWN_RETAIN_RESERVATION,2,0,300,True,0.16666666666666666,0.0
tests_R3_002,997629,test,FAIL,UNKNOWN_RETAIN_RESERVATION,2,0,300,True,0.16666666666666666,0.0
tests_R3_003,997630,test,FAIL,UNKNOWN_RETAIN_RESERVATION,2,0,300,True,0.16666666666666666,0.0
tests_R3_004,997631,test,PASS,UNKNOWN_RETAIN_RESERVATION,2,0,300,True,0.16666666666666666,0.0
tests_R3_005,997637,test,PASS,UNKNOWN_RETAIN_RESERVATION,2,0,300,True,0.16666666666666666,0.0
tests_R3_scoring_001,997660,test-scoring,PASS,COMPLETED,2,0,10,False,0.005555555555555556,0.0
