child,n_dev,frontal_shift_sd,kurtosis_dev,kurtosis_std,bic2_minus_bic1_dev,bic2_minus_bic1_std_matched,frac_dev_beyond_3sd,frac_std_beyond_3sd,frontal_mean_top10pct_logit,frontal_mean_bottom10pct_logit,frontal_auc_std_vs_dev
19,131,0.1109614223241806,19.291528701782227,33.4773063659668,-80.97442700851548,-5.074486756211343,0.022900763358778626,0.009668508287292817,-0.2876409590244293,0.01585686393082142,0.5260216777023323
20,179,-0.06567717343568802,9.254650115966797,12.960368156433105,-22.30926105858248,-59.98940155388277,0.0335195530726257,0.020181634712411706,-0.6626169681549072,1.032285451889038,0.49209364729492805
21,141,-0.00592707609757781,5.629084587097168,18.141704559326172,-36.35331530338334,-4.3956653571705715,0.014184397163120567,0.016352201257861635,-0.42135554552078247,0.29069334268569946,0.49689102992997014
22,138,-0.18609768152236938,17.291290283203125,10.513375282287598,-95.25937282514366,-23.520235175607525,0.036231884057971016,0.01349527665317139,-0.47026243805885315,0.10000645369291306,0.4281523206008332
23,145,0.018810603767633438,2.538285255432129,20.547943115234375,6.335235292508287,-40.94782883445998,0.006896551724137931,0.013530135301353014,-0.2157246321439743,0.7455484867095947,0.5085803961487891
24,67,-0.1666523814201355,0.8802263736724854,2.728954315185547,12.705800823413398,2.9822879354587144,0.0,0.014150943396226415,-0.41350364685058594,1.0426491498947144,0.4406505209800057
25,99,-0.10190315544605255,2.2488298416137695,9.550463676452637,2.6232930907480068,-51.862909864497965,0.010101010101010102,0.017857142857142856,-0.6515458226203918,0.25636982917785645,0.4792748917748918
26,104,-0.03141796588897705,3.0507102012634277,14.587516784667969,2.1889424270383984,5.733067030309883,0.009615384615384616,0.012389380530973451,-0.4360823929309845,0.4802185595035553,0.4777739959155889
27,124,0.12277276068925858,10.475397109985352,7.6540117263793945,-16.82305747145881,-8.533516226951974,0.008064516129032258,0.009202453987730062,-0.3091632127761841,-0.02035701833665371,0.5373045715416583
29,130,-0.05221914127469063,4.504044532775879,4.266854763031006,-22.745915020215307,-8.388310039746557,0.015384615384615385,0.031506849315068496,-2.3012661933898926,1.0628318786621094,0.47889357218124345
30,74,-0.058414753526449203,6.210736274719238,7.468484878540039,-5.814199373707822,-8.942475244984678,0.02702702702702703,0.04608294930875576,-1.4162588119506836,1.578959584236145,0.45444638186573677
31,120,-0.08985907584428787,3.4598464965820312,6.442954063415527,-24.142087149583517,-35.58503453727883,0.05,0.030390738060781478,-1.2718573808670044,0.401802122592926,0.4930776652194887
32,120,-0.023259224370121956,0.6549992561340332,20.565359115600586,15.2160042047866,-103.26064412590188,0.0,0.0226928895612708,-1.0425118207931519,1.3713409900665283,0.5080307614725164
34,60,0.1194155141711235,0.8312900066375732,2.8102903366088867,10.744132357625773,-5.812163990946004,0.016666666666666666,0.008426966292134831,-0.17930035293102264,0.0923650711774826,0.5195692883895131
35,120,-0.08840444684028625,2.2966108322143555,5.075472831726074,8.958231759107889,-22.2019702672593,0.0,0.023633677991137372,-0.5024583339691162,0.8475680351257324,0.48495814869522397
