task,mode,branch,stage,outer_fold,inner_fold,selected_epochs,first_loss,last_loss,final_gradient_norm,encoder_effective_rank,encoder_variance,projector_variance,fit_groups,monitor_epochs,original_head_available
D_outer1_inner0_R_SIM,R_SIM,all,D_inner,1,0.0,100.0,1.8152881916612387,1.1300730761140585,1.413024018208186,42.83845901489258,0.2083808332681656,0.015569431707262993,33,0,False
D_outer1_inner1_R_SUP,R_SUP,all,D_inner,1,1.0,1.0,0.6875090638095847,0.6875090638095847,0.7772455771714074,27.42699432373047,0.04559549689292908,,33,13,True
D_outer1_inner1_R_SIM,R_SIM,all,D_inner,1,1.0,100.0,1.796697220011572,1.129540760912488,1.3564626625434837,43.116294860839844,0.21403133869171143,0.015558984130620956,33,0,False
D_outer1_inner2_R_SUP,R_SUP,all,D_inner,1,2.0,1.0,0.685744136717974,0.685744136717974,0.7807251261729821,24.157331466674805,0.05119208246469498,,34,13,True
D_outer1_inner2_R_SIM,R_SIM,all,D_inner,1,2.0,100.0,1.7836298761414546,1.130072594273324,1.370521605014801,42.97236251831055,0.2189103662967682,0.015575390309095383,34,0,False
outer2_all_R_RAND,R_RAND,all,outer,2,,,,,,30.410598754882812,0.040991004556417465,,47,0,False
outer2_all_R_SUP,R_SUP,all,outer,2,,2.0,0.6869743439624725,0.6828667280703944,0.7338353993648686,25.775156021118164,0.04267476126551628,,47,14,True
outer2_all_R_SIM,R_SIM,all,outer,2,,100.0,1.6519145606666483,1.129663984408088,1.212668996771604,45.04248809814453,0.2375883162021637,0.015582073479890823,47,0,False
outer2_left_R_RAND,R_RAND,left,outer,2,,,,,,28.703161239624023,0.0403827466070652,,48,0,False
outer2_left_R_SUP,R_SUP,left,outer,2,,1.0,0.6899806989453273,0.6899806989453273,0.6634402901481508,25.881608963012695,0.03831031545996666,,48,13,True
outer2_left_R_SIM,R_SIM,left,outer,2,,100.0,1.7278673553466797,1.1297211269537608,1.1025464445352555,43.35578536987305,0.30735933780670166,0.0155893974006176,48,0,False
outer2_right_R_RAND,R_RAND,right,outer,2,,,,,,27.991365432739258,0.04005499929189682,,48,0,False
outer2_right_R_SUP,R_SUP,right,outer,2,,2.0,0.6893370859013973,0.6881988142089971,0.5365511519781536,23.05227279663086,0.03062857873737812,,48,14,True
outer2_right_R_SIM,R_SIM,right,outer,2,,100.0,1.7302505850791932,1.1293567299842835,1.0852489119768143,43.74386215209961,0.3251543343067169,0.01558046042919159,48,0,False
D_outer2_inner0_R_SUP,R_SUP,all,D_inner,2,0.0,1.0,0.6876600096350596,0.6876600096350596,0.787780649941461,28.768112182617188,0.046006277203559875,,33,13,True
D_outer2_inner0_R_SIM,R_SIM,all,D_inner,2,0.0,100.0,1.784247150468589,1.1302789597962033,1.3846520369325703,43.27147674560547,0.20613834261894226,0.015545524656772614,33,0,False
D_outer2_inner1_R_SUP,R_SUP,all,D_inner,2,1.0,1.0,0.6840159299947488,0.6840159299947488,0.8329195495574705,27.661409378051758,0.046815671026706696,,33,13,True
D_outer2_inner1_R_SIM,R_SIM,all,D_inner,2,1.0,100.0,1.7831876632010584,1.1299455915347185,1.3787627768988657,45.71897888183594,0.2026054561138153,0.015572184696793556,33,0,False
D_outer2_inner2_R_SUP,R_SUP,all,D_inner,2,2.0,1.0,0.6845343553898285,0.6845343553898285,0.7957752664782562,24.29617691040039,0.05206158012151718,,34,13,True
D_outer2_inner2_R_SIM,R_SIM,all,D_inner,2,2.0,100.0,1.8048893462638467,1.1306159240858895,1.407776072925451,43.0362663269043,0.2029557228088379,0.015563271939754486,34,0,False
outer3_all_R_RAND,R_RAND,all,outer,3,,,,,,30.291465759277344,0.041202351450920105,,46,0,False
outer3_all_R_SUP,R_SUP,all,outer,3,,1.0,0.6866766453659447,0.6866766453659447,0.7662031466725969,26.4597110748291,0.04528355225920677,,46,13,True
outer3_all_R_SIM,R_SIM,all,outer,3,,100.0,1.664934434594899,1.1295291385511412,1.220680405188651,45.225624084472656,0.2271939218044281,0.01558752916753292,46,0,False
outer3_left_R_RAND,R_RAND,left,outer,3,,,,,,27.961856842041016,0.04088190197944641,,48,0,False
outer3_left_R_SUP,R_SUP,left,outer,3,,3.0,0.6902821566941175,0.686072543744118,0.40862296817662963,20.342029571533203,0.026506897062063217,,48,15,True
outer3_left_R_SIM,R_SIM,left,outer,3,,100.0,1.7411787162392827,1.1292421328819404,1.0946157609002065,42.445796966552734,0.32000958919525146,0.01558853778988123,48,0,False
outer3_right_R_RAND,R_RAND,right,outer,3,,,,,,28.200332641601562,0.03991559147834778,,48,0,False
outer3_right_R_SUP,R_SUP,right,outer,3,,1.0,0.6892556923557016,0.6892556923557016,0.6546618163788056,22.62347412109375,0.037546198815107346,,48,13,True
outer3_right_R_SIM,R_SIM,right,outer,3,,100.0,1.737931925563489,1.1293998491966117,1.0950139423548164,43.146732330322266,0.32090669870376587,0.015583021566271782,48,0,False
D_outer3_inner0_R_SUP,R_SUP,all,D_inner,3,0.0,1.0,0.6832096088178379,0.6832096088178379,0.8327099983532404,22.515605926513672,0.0545571967959404,,32,13,True
D_outer3_inner0_R_SIM,R_SIM,all,D_inner,3,0.0,100.0,1.8020004728405745,1.130519795049097,1.3806724708104872,42.641273498535156,0.21673622727394104,0.015558955259621143,32,0,False
D_outer3_inner1_R_SUP,R_SUP,all,D_inner,3,1.0,1.0,0.6824523110680168,0.6824523110680168,0.8548900793651639,26.3636531829834,0.05320832505822182,,32,13,True
D_outer3_inner1_R_SIM,R_SIM,all,D_inner,3,1.0,100.0,1.7968565794417095,1.1302588457988603,1.3941015271365944,43.980873107910156,0.2038392424583435,0.01554582267999649,32,0,False
D_outer3_inner2_R_SUP,R_SUP,all,D_inner,3,2.0,1.0,0.6829273657589304,0.6829273657589304,0.8563463459951317,26.12165069580078,0.048621922731399536,,33,13,True
D_outer3_inner2_R_SIM,R_SIM,all,D_inner,3,2.0,100.0,1.810015379768057,1.1307730957404853,1.4031978771858609,42.79282760620117,0.21426044404506683,0.015573463402688503,33,0,False
outer4_all_R_RAND,R_RAND,all,outer,4,,,,,,29.384201049804688,0.04032251611351967,,46,0,False
outer4_all_R_SUP,R_SUP,all,outer,4,,1.0,0.6852608675793778,0.6852608675793778,0.7691704142007897,26.504934310913086,0.0501752570271492,,46,13,True
outer4_all_R_SIM,R_SIM,all,outer,4,,100.0,1.6576456350388287,1.1295594427225402,1.2114723680688322,45.34672546386719,0.2308533936738968,0.01558205671608448,46,0,False
outer4_left_R_RAND,R_RAND,left,outer,4,,,,,,28.017864227294922,0.039771050214767456,,48,0,False
outer4_left_R_SUP,R_SUP,left,outer,4,,2.0,0.6883156496589466,0.6864079944158005,0.5884516751362106,21.952016830444336,0.0394563190639019,,48,14,True
outer4_left_R_SIM,R_SIM,left,outer,4,,100.0,1.7386915425122795,1.1294718023073875,1.0879684274479495,41.87632751464844,0.3296002745628357,0.015583273023366928,48,0,False
outer4_right_R_RAND,R_RAND,right,outer,4,,,,,,28.01748275756836,0.03912869095802307,,48,0,False
outer4_right_R_SUP,R_SUP,right,outer,4,,3.0,0.687937299477852,0.6845788848602166,0.46232078550225597,20.009321212768555,0.03174654394388199,,48,15,True
outer4_right_R_SIM,R_SIM,right,outer,4,,100.0,1.7396742723755918,1.129375959654986,1.1067509960320037,42.69427490234375,0.3104185461997986,0.015599681064486504,48,0,False
D_outer4_inner0_R_SUP,R_SUP,all,D_inner,4,0.0,1.0,0.6853059520846919,0.6853059520846919,0.8045482299829784,24.41431999206543,0.04817913845181465,,32,13,True
D_outer4_inner0_R_SIM,R_SIM,all,D_inner,4,0.0,100.0,1.8149884242760508,1.130030900553653,1.4078046924189518,43.75285339355469,0.20758658647537231,0.015556796453893185,32,0,False
D_outer4_inner1_R_SUP,R_SUP,all,D_inner,4,1.0,1.0,0.681667499374925,0.681667499374925,0.8635769770258949,25.118980407714844,0.05073428153991699,,32,13,True
D_outer4_inner1_R_SIM,R_SIM,all,D_inner,4,1.0,100.0,1.7952752512693406,1.1306176847219467,1.3975783330202103,43.65763473510742,0.20190386474132538,0.015561344102025032,32,0,False
D_outer4_inner2_R_SUP,R_SUP,all,D_inner,4,2.0,1.0,0.6870268853684715,0.6870268853684715,0.7315878896486192,27.072324752807617,0.04903540760278702,,33,13,True
D_outer4_inner2_R_SIM,R_SIM,all,D_inner,4,2.0,100.0,1.7968479079008102,1.1299020850658417,1.3658578294515609,43.20336151123047,0.22089847922325134,0.015570667572319508,33,0,False
