packet,source_run,mode,population,family,window,calibration,first,second,n_candidates,estimate,leave_one_out_min,leave_one_out_max,all_leave_one_out_positive,positive_candidates,negative_candidates,max_absolute_share,scope
N3,N3_core_001,R_SIM,P_bal,mlp32,,raw,H,Hnoise,60,-0.3431375341854299,-0.3517403138759285,-0.3412579360696244,False,1,59,0.021706341451973,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_bal,mlp32,,temperature,H,HP,60,-0.2173702348607361,-0.2386123468451551,-0.2154754176577664,False,2,58,0.0602842841662097,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_bal,mlp32,,temperature,HB,HBP,60,-0.0081935937327816,-0.0093866407554788,-0.0078408238909901,False,11,49,0.085946757632501,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_bal,mlp32,,temperature,H,Hnoise,60,-0.2185377898618062,-0.2401271039161103,-0.2168027928246315,False,2,58,0.061132930928164,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_nat,logistic,,mixture_diagnostic,H,HP,60,-0.0001884964031992,-0.0005132333035796,0.0001428741829804,False,30,30,0.0480480627385148,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_nat,logistic,,mixture_diagnostic,HB,HBP,60,0.0001004002383222,-0.0002418749756093,0.0004200817882636,False,32,28,0.0500818368439429,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_nat,logistic,,mixture_diagnostic,H,Hnoise,60,-0.001467140802108,-0.001640585273834,-0.0012772400683551,False,19,41,0.0601768069190658,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_nat,logistic,,raw,H,HP,60,-0.0001049418537456,-0.0004290674397501,0.0002324836324136,False,30,30,0.0493139201714027,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_nat,logistic,,raw,HB,HBP,60,0.0001040160477568,-0.0002440512548548,0.0004366858358249,False,32,28,0.0504635395086624,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_nat,logistic,,raw,H,Hnoise,60,-0.0013686308406895,-0.0015325813292747,-0.0011769927285695,False,19,41,0.0595783803073492,descriptive fixed predictions; no candidate removed from any reported effect
