model,seed,fold,partition,train_block,child,n_records,n,n_class1,auc,auc_pitch_direction,bacc,ce_bal_bits,j_bits
adapt_zero_shot,11,2,odd_even_blocks,0,11,4,1251,157,0.5217114535213544,0.5161212387436855,0.35760698778489247,1.6125494241714478,-0.027586923450291678
adapt_finetuned,11,2,odd_even_blocks,0,11,4,1251,157,0.5221802549395352,0.5191522073358225,0.35656907741789307,1.6047172546386719,-0.0197547539175158
adapt_zero_shot,11,3,odd_even_blocks,0,0,2,358,52,0.47462169098092954,0.3790865384615385,0.30619818777713514,1.6424089670181274,-0.057446466296971366
adapt_finetuned,11,3,odd_even_blocks,0,0,2,358,52,0.48285201465325506,0.4033653846153846,0.2759784075573549,1.6209567785263062,-0.03599427780515008
adapt_zero_shot,11,3,odd_even_blocks,0,4,2,598,79,0.5350294581786387,0.5535807178775793,0.3788857949837265,1.583185076713562,0.001777424007594064
adapt_finetuned,11,3,odd_even_blocks,0,4,2,598,79,0.539599749410162,0.5632911392405064,0.3924397952061145,1.5812448263168335,0.0037176744043225796
adapt_zero_shot,11,3,odd_even_blocks,0,9,3,934,106,0.5449204179437753,0.5482610532244439,0.38180474929468794,1.5811142921447754,0.003848208576380685
adapt_finetuned,11,3,odd_even_blocks,0,9,3,934,106,0.5471088398872651,0.5419600112644326,0.3759095880501792,1.5807629823684692,0.004199518352686837
adapt_zero_shot,11,4,odd_even_blocks,0,1,2,358,50,0.538064207780552,0.553953488372093,0.383010092145678,1.5764747858047485,0.00848771491640754
adapt_finetuned,11,4,odd_even_blocks,0,1,2,358,50,0.5394475148232455,0.5595348837209302,0.38250694749158987,1.5758514404296875,0.009111060291468576
adapt_zero_shot,11,4,odd_even_blocks,0,13,5,1600,203,0.5189121540240831,0.5253670433690718,0.35819203248545134,1.6125311851501465,-0.02756868442899041
adapt_finetuned,11,4,odd_even_blocks,0,13,5,1600,203,0.5193366207638609,0.5356176953540037,0.36146443238778686,1.5948833227157593,-0.009920821994603202
adapt_zero_shot,11,4,odd_even_blocks,0,14,5,1605,213,0.5503255166613138,0.5464254171896062,0.38666903381070733,1.5753803253173828,0.009582175403773263
adapt_finetuned,11,4,odd_even_blocks,0,14,5,1605,213,0.550340580570647,0.547947752521731,0.3790815429039649,1.570154070854187,0.014808429866969064
adapt_zero_shot,22,0,odd_even_blocks,0,1,2,358,50,0.536258157626613,0.5639534883720929,0.3489395933889132,1.573118805885315,0.011843694835841134
adapt_finetuned,22,0,odd_even_blocks,0,1,2,358,50,0.5348253537083528,0.5665116279069767,0.3482784847155185,1.5708805322647095,0.014081968456446603
adapt_zero_shot,22,0,odd_even_blocks,0,3,3,891,111,0.5294972803884085,0.5156711333181923,0.37353044828349624,1.5866371393203735,-0.0016746385992174595
adapt_finetuned,22,0,odd_even_blocks,0,3,3,891,111,0.5241797319109486,0.5091225679460974,0.36957736032222105,1.5974750518798828,-0.012512551158726737
adapt_zero_shot,22,0,odd_even_blocks,0,10,4,998,133,0.5494274074402065,0.5843620244641454,0.3617508458653013,1.571305751800537,0.013656748920618966
adapt_finetuned,22,0,odd_even_blocks,0,10,4,998,133,0.5504263675165276,0.589047244978117,0.369746210473813,1.5706583261489868,0.01430417457216926
adapt_zero_shot,22,1,odd_even_blocks,0,7,3,895,97,0.5463894690729486,0.5438385200886405,0.34812120860580337,1.57504403591156,0.009918464809596017
adapt_finetuned,22,1,odd_even_blocks,0,7,3,895,97,0.5462042151189238,0.5520281337315733,0.3770650010524888,1.573459506034851,0.011502994686305001
adapt_zero_shot,22,1,odd_even_blocks,0,9,3,934,106,0.5203237788010446,0.5013728527175443,0.3574950542269892,1.5881041288375854,-0.0031416281164293736
adapt_finetuned,22,1,odd_even_blocks,0,9,3,934,106,0.5299321095725452,0.5228456772740073,0.3766118567079777,1.584147334098816,0.0008151666223401577
adapt_zero_shot,22,1,odd_even_blocks,0,12,6,1348,154,0.5471216861803959,0.5607906799083269,0.34646557486631013,1.580500602722168,0.004461897998988107
adapt_finetuned,22,1,odd_even_blocks,0,12,6,1348,154,0.5447412139830723,0.5618029029793735,0.3566132205723198,1.5805163383483887,0.004446162372767404
adapt_zero_shot,22,2,odd_even_blocks,0,0,2,358,52,0.48943886269017006,0.4512019230769231,0.30852612299980725,1.651969313621521,-0.06700681290036492
adapt_finetuned,22,2,odd_even_blocks,0,0,2,358,52,0.49277059554944924,0.4704326923076923,0.3196549064970118,1.6236463785171509,-0.0386838777959948
adapt_zero_shot,22,2,odd_even_blocks,0,5,3,938,127,0.5550031457696509,0.5878796400449943,0.4012899004577217,1.5916351079940796,-0.006672607272923514
adapt_finetuned,22,2,odd_even_blocks,0,5,3,938,127,0.5519448143902869,0.5852432508436446,0.3949756079309829,1.5861735343933105,-0.0012110336721544712
adapt_zero_shot,22,2,odd_even_blocks,0,14,5,1605,213,0.5714673786468191,0.5795333054432205,0.38608461745689304,1.5742149353027344,0.0107475654184217
adapt_finetuned,22,2,odd_even_blocks,0,14,5,1605,213,0.5706304477900558,0.5787198438153675,0.3871500926871004,1.5629016160964966,0.022060884624659494
adapt_zero_shot,22,3,odd_even_blocks,0,2,7,1078,152,0.5289591398063335,0.5426356589147286,0.35165430219845567,1.5818206071853638,0.003141893535792306
adapt_finetuned,22,3,odd_even_blocks,0,2,7,1078,152,0.5297528948482454,0.5466901264789881,0.35334018958965013,1.5812444686889648,0.003718032032191232
adapt_zero_shot,22,3,odd_even_blocks,0,4,2,598,79,0.5622491562277764,0.555574822264609,0.4074499439235089,1.5701017379760742,0.014860762745081857
adapt_finetuned,22,3,odd_even_blocks,0,4,2,598,79,0.5636283491722299,0.5596497312294088,0.40051237350390334,1.5688953399658203,0.016067160755335763
adapt_zero_shot,22,4,odd_even_blocks,0,8,3,879,110,0.5477583747083948,0.5404842820730671,0.39646155201961736,1.587183952331543,-0.002221451610386893
adapt_finetuned,22,4,odd_even_blocks,0,8,3,879,110,0.5500979544281178,0.5457943925233644,0.3899915380475563,1.5838581323623657,0.001104368358790353
adapt_zero_shot,22,4,odd_even_blocks,0,11,4,1251,157,0.5487223458494337,0.5407204041291456,0.36625960442020306,1.5937224626541138,-0.008759961932957694
adapt_finetuned,22,4,odd_even_blocks,0,11,4,1251,157,0.5517410964363458,0.5444542060180101,0.37942800830494927,1.5829380750656128,0.0020244256555432827
adapt_zero_shot,22,4,odd_even_blocks,0,13,5,1600,203,0.5187427515207909,0.516637689558582,0.35541213816701833,1.6274365186691284,-0.04247401794797234
adapt_finetuned,22,4,odd_even_blocks,0,13,5,1600,203,0.5233597215024232,0.5323456968994494,0.38276844300360446,1.595502257347107,-0.010539756625950858
adapt_zero_shot,33,0,odd_even_blocks,0,3,3,891,111,0.5528013208691287,0.5153683094859565,0.38058163936957207,1.57325279712677,0.011709703594386056
adapt_finetuned,33,0,odd_even_blocks,0,3,3,891,111,0.5515458735901261,0.5119236883942766,0.3634035260803971,1.5731407403945923,0.01182176032656379
adapt_zero_shot,33,0,odd_even_blocks,0,8,3,879,110,0.5041202681285452,0.4545029736618521,0.326827897234764,1.602439284324646,-0.01747678360348992
adapt_finetuned,33,0,odd_even_blocks,0,8,3,879,110,0.5047721865521028,0.45858113848768056,0.3349967187474599,1.6016563177108765,-0.01669381698972039
adapt_zero_shot,33,0,odd_even_blocks,0,9,3,934,106,0.5588796838245224,0.5713179386088426,0.40021887733860734,1.5728259086608887,0.012136592060267404
adapt_finetuned,33,0,odd_even_blocks,0,9,3,934,106,0.5632750539455443,0.5802942833004787,0.38815654747847406,1.5688276290893555,0.016134871631800607
adapt_zero_shot,33,1,odd_even_blocks,0,5,3,938,127,0.5386117159944881,0.5734673790776152,0.3714959449811263,1.5785518884658813,0.006410612255274728
adapt_finetuned,33,1,odd_even_blocks,0,5,3,938,127,0.5330692929747495,0.5596175478065242,0.3556612491571601,1.5799089670181274,0.005053533703028634
adapt_zero_shot,33,1,odd_even_blocks,0,10,4,998,133,0.5684059391152533,0.5938166311300639,0.4072908909266039,1.568172574043274,0.01678992667788215
adapt_finetuned,33,1,odd_even_blocks,0,10,4,998,133,0.568773601437611,0.5815845584109527,0.42030723029269074,1.568353533744812,0.016608966976344064
adapt_zero_shot,33,1,odd_even_blocks,0,12,6,1348,154,0.5613396043830051,0.5802902979373568,0.38648827428698757,1.5742489099502563,0.010713590770899728
adapt_finetuned,33,1,odd_even_blocks,0,12,6,1348,154,0.5735947108151825,0.5886936592818945,0.4098354540679909,1.5656236410140991,0.019338859707056955
adapt_zero_shot,33,2,odd_even_blocks,0,0,2,358,52,0.5037342243023002,0.4841346153846154,0.33105359552727975,1.6257573366165161,-0.04079483589536004
adapt_finetuned,33,2,odd_even_blocks,0,0,2,358,52,0.4970549636426859,0.4802884615384615,0.3183776749566223,1.6162223815917969,-0.0312598808706408
adapt_zero_shot,33,2,odd_even_blocks,0,11,4,1251,157,0.5252549294941063,0.541840544695805,0.35699862779945457,1.6012970209121704,-0.016334520191014335
adapt_finetuned,33,2,odd_even_blocks,0,11,4,1251,157,0.526493128148709,0.544783659125851,0.3540129440625576,1.597829818725586,-0.012867318004429862
adapt_zero_shot,33,2,odd_even_blocks,0,14,5,1605,213,0.5894635902267078,0.610874819876354,0.4254273456698256,1.5467621088027954,0.038200391918360665
adapt_finetuned,33,2,odd_even_blocks,0,14,5,1605,213,0.5895787629430355,0.6123158090456933,0.42683975463471313,1.5431545972824097,0.04180790343874641
adapt_zero_shot,33,3,odd_even_blocks,0,1,2,358,50,0.5516338089668215,0.5374418604651163,0.34339037589586074,1.5694690942764282,0.015493406444727853
adapt_finetuned,33,3,odd_even_blocks,0,1,2,358,50,0.5507274199025675,0.5413953488372093,0.3615182097411145,1.566571593284607,0.018390907436549142
adapt_zero_shot,33,3,odd_even_blocks,0,2,7,1078,152,0.53495797037769,0.563672990616075,0.34015488603820154,1.5792865753173828,0.005675925403773263
adapt_finetuned,33,3,odd_even_blocks,0,2,7,1078,152,0.5424008586938638,0.5661974704202366,0.37529181322383803,1.5773788690567017,0.0075836316644544155
adapt_zero_shot,33,3,odd_even_blocks,0,13,5,1600,203,0.5364910712695304,0.5284820824881677,0.3647077526273104,1.6255769729614258,-0.040614472240269706
adapt_finetuned,33,3,odd_even_blocks,0,13,5,1600,203,0.5395257349000571,0.5339032164589974,0.374230053517105,1.5992335081100464,-0.014271007388890311
adapt_zero_shot,33,4,odd_even_blocks,0,4,2,598,79,0.5474308206880556,0.5403155886942951,0.3837861053159788,1.5808099508285522,0.0041525498926038296
adapt_finetuned,33,4,odd_even_blocks,0,4,2,598,79,0.5493780997007526,0.5322524709554362,0.3829157338944352,1.5793957710266113,0.0055667296945447475
adapt_zero_shot,33,4,odd_even_blocks,0,7,3,895,97,0.5846084621285043,0.6044898352442432,0.40982345562422023,1.5507842302322388,0.034178270488917306
adapt_finetuned,33,4,odd_even_blocks,0,7,3,895,97,0.5855652258716634,0.6123422295018788,0.42720739264090674,1.550026774406433,0.03493572631472297
