child,auc,n_rec,source,n,peak,peak_range,peak_drop,late_cluster,slope_sd_per_step,slope_shrunk,calibration_slope,balanced_brier
37,0.5057602089580552,1,HA,739.0,0.22666666666666666,0.32,0.015970991018597534,,-0.0160575623707372,0.0089490514308476,0.288934575177213,0.250822799857412
38,0.6766580735717904,2,HA,990.0,0.1599999999999999,0.0,0.09101581442823047,0.0,0.0334326700021389,0.0125872227778938,3.179227476596151,0.2351949209105922
39,0.5023098463570029,1,HA,994.0,0.1599999999999999,0.0,0.0444592348209338,0.0,-0.1136806182389995,0.004615461895143,0.0041169381588127,0.2528969582446308
40,0.5348129032258064,1,HA,780.0,0.2933333333333333,0.04000000000000009,0.0361324731182795,1.0,-0.0225500910166328,0.0082450039236989,0.4652268630685207,0.2501176855648138
41,0.4822945362718089,1,HA,990.0,0.3999999999999999,0.0,0.026629935720844766,1.0,-0.0970810641063981,0.0052979095142533,-0.3535020319056057,0.2551232956298101
42,0.5288194171191732,1,HA,980.0,0.1599999999999999,0.0,0.021255782027403868,0.0,0.0005375675815092,0.0097357253889381,0.5829358650815821,0.2496218135003924
43,0.596623982661005,1,HA,977.0,0.17333333333333326,0.04000000000000012,0.03841560509554133,0.0,0.0073280896787273,0.0100764935169298,1.2613990207253138,0.2431683093506717
44,0.5193802416488983,1,NH,845.0,0.1599999999999999,0.0,0.0343340440653873,0.0,0.0590438113990972,0.0124571499974992,0.4909689006740809,0.2516932079427863
45,0.5632198619433387,2,HA,972.0,0.17333333333333326,0.04000000000000012,0.0334947445473034,0.0,0.0464457010013695,0.0138953708330759,0.9185802989715576,0.2470942401922509
46,0.5359297793578056,1,HA,867.0,0.39999999999999997,0.12,0.026421073802884266,,-0.0988845431018129,0.0054902225543561,0.6850509202916968,0.249388339442432
47,0.5028108051731331,1,HA,999.0,0.2799999999999999,0.0,0.0259397163120566,1.0,0.0514644501375397,0.0121244717153644,0.0844125844677483,0.2527300174054512
48,0.6278197208876687,1,HA,766.0,0.19999999999999987,0.12000000000000002,0.0603452827200254,,0.0339579463136441,0.0113951585871666,2.5487584443608005,0.2401797585873937
49,0.5513358225495711,1,HA,994.0,0.25333333333333324,0.28000000000000014,0.027335558283463735,,0.0703036374159722,0.0128583988342119,0.7306505513872543,0.2482297855194809
50,0.6054345675630431,1,HA,737.0,0.1599999999999999,0.0,0.05231018581929416,0.0,-0.0030304711391396,0.0095959477923955,1.851960640420316,0.2417546505686957
51,0.5680253142707369,2,HA,994.5,0.25333333333333324,0.0799999999999999,0.0262263247387229,1.0,-0.0801969686421784,0.002841452256979,1.2416137199020516,0.2470312559962156
52,0.561728041236238,1,HA,991.0,0.2133333333333333,0.12000000000000002,0.0227240882978587,,-0.1049767258727871,0.0039092346309496,1.014102696613535,0.2463636339089442
53,0.5300387156038833,1,HA,978.0,0.2799999999999999,0.0,0.03556874240366047,1.0,0.0384728558747357,0.0117799283145269,0.2965526212800078,0.2520155982457123
54,0.5507542053576817,1,HA,985.0,0.2799999999999999,0.0,0.06800134502470186,1.0,0.0600090025780828,0.0125402699006667,0.7651943621743054,0.2482004125545062
55,0.5227672241322378,1,HA,655.0,0.14666666666666664,0.1999999999999999,0.01790154031427847,,-0.0126446223910992,0.0089644306792613,0.6844466238328684,0.2493666583266672
56,0.5546806951423786,1,HA,996.0,0.2799999999999999,0.0,0.058713358458961466,1.0,0.0036829344578276,0.009935741498399,0.8330051859759493,0.247696619413012
57,0.6201869256474519,1,HA,998.0,0.2399999999999999,0.12000000000000002,0.0629573934837092,,0.0397720489085564,0.011830228597146,3.544215779142659,0.2427647124118846
58,0.5687228074824974,1,NH,969.0,0.21333333333333326,0.16000000000000011,0.039060049912763,,-0.0547807065346379,0.0072093637057579,1.2583581994436897,0.2465684229007728
59,0.5658465654954077,2,HA,918.5,0.1599999999999999,0.0,0.061926431551004864,0.0,0.0333074160521016,0.0126121571771003,1.2214320951524258,0.246826550206726
60,0.5011847477398659,1,HA,598.0,0.24,0.2,0.022524788568095564,,0.0099890364330548,0.0102370834071485,0.108948503575089,0.2519272575363583
61,0.5344285412282471,1,HA,932.0,0.2799999999999999,0.0,0.03614978811727056,1.0,0.0439192220278284,0.0118235366019118,0.5385455788256662,0.2500012528313886
62,0.6280653820343208,1,HA,922.0,0.2799999999999999,0.0,0.0657667050139009,1.0,0.0279509848205569,0.0112108380344934,1.7251450928914305,0.2399544560136774
63,0.5075881199123099,1,HA,944.0,0.17333333333333326,0.04000000000000012,0.03715176475297697,0.0,0.0044854983786611,0.0099524139387466,-0.0335547852709075,0.2534205716740393
64,0.6422237042024932,1,HA,981.0,0.1599999999999999,0.0,0.08173408957491617,0.0,0.1089386192031933,0.0148337107733193,2.038545580843462,0.2369013542096751
65,0.6269099951042284,1,HA,985.0,0.1599999999999999,0.0,0.051789962809314,0.0,-0.1034006573508851,0.0052390678577091,2.2237449105815856,0.2405699763712982
66,0.6142705314009662,1,HA,865.0,0.2799999999999999,0.0,0.041900621118012404,1.0,-0.0143206135009303,0.0091660241732444,1.7273852505694198,0.2394569218754821
67,0.4941143216080402,1,HA,996.0,0.1333333333333333,0.0399999999999999,0.020014656616415334,0.0,0.0205069585584678,0.010808002259616,-0.2097835099622274,0.2519250369376454
68,0.6681221468129445,1,NH,721.0,0.2799999999999999,0.0,0.09032085431414039,1.0,0.1225718221079001,0.0169171435548486,3.346148805281088,0.2380729392062417
69,0.5216284225695599,1,HA,969.0,0.19999999999999996,0.2,0.029421350182906498,,0.0076786861954562,0.0101192945027452,0.1365432954864804,0.2516575061475306
70,0.5361063678057142,1,HA,791.0,0.33333333333333326,0.28000000000000014,0.020309525211485935,,0.1135748715500634,0.0142813109695141,0.8071949108826002,0.2481566883646516
71,0.4865677663277774,1,HA,951.0,0.21333333333333335,0.24,0.014822371302764134,,0.0026788886886739,0.0098937767957721,-0.2312028110951506,0.2557825932955938
72,0.5337037748227802,1,HA,711.0,0.1599999999999999,0.0,0.03287768230041766,0.0,0.014669837242353,0.0104572241971226,0.5755831973840746,0.2495597998552374
