mode,outer_fold,term,matched,mismatched,gain
R_RAND,2,residual,20.037714589572975,-0.49705225616004195,20.534766845733017
R_RAND,3,delta_delta,-1.5941296608918991,-4.735572503159567,3.1414428422676677
R_RAND,3,minus_delta_prediction,1.8360817928167528,0.4264197737705229,1.40966201904623
R_RAND,3,minus_prediction_delta,-0.9508607002241417,-0.32932867824959,-0.6215320219745517
R_RAND,3,prediction_prediction,0.903035401571635,-0.24334825401649163,1.1463836555881266
R_RAND,3,residual,0.19412683327234445,-4.881829661655125,5.075956494927469
R_RAND,4,delta_delta,10.88776874402663,8.904717932766477,1.9830508112601528
R_RAND,4,minus_delta_prediction,-0.4314825976710909,-1.3601723615950787,0.9286897639239878
R_RAND,4,minus_prediction_delta,2.0850678908730056,-0.9675557270252569,3.0526236178982624
R_RAND,4,prediction_prediction,1.7090206426766361,0.3424152351329577,1.3666054075436784
R_RAND,4,residual,14.250374679905178,6.919405079279098,7.33096960062608
R_SUP,0,delta_delta,23.70043152450925,6.845009830515893,16.855421693993357
R_SUP,0,minus_delta_prediction,-4.503487420147244,-0.19719638456676727,-4.306291035580476
R_SUP,0,minus_prediction_delta,-2.8467377420979374,0.034526307402842814,-2.88126404950078
R_SUP,0,prediction_prediction,4.342362027843292,0.22262626095456306,4.119735766888729
R_SUP,0,residual,20.69256839010735,6.904966014306532,13.78760237580082
R_SUP,1,delta_delta,8.060666892135048,3.295841589756734,4.7648253023783145
R_SUP,1,minus_delta_prediction,1.7241738394596882,-1.2780729705791911,3.002246810038879
R_SUP,1,minus_prediction_delta,-4.65770368053366,0.3943476460070202,-5.05205132654068
R_SUP,1,prediction_prediction,1.407646042938912,0.1273277859081605,1.2803182570307514
R_SUP,1,residual,6.534783093999991,2.5394440510927225,3.9953390429072684
R_SUP,2,delta_delta,37.97009457280775,8.372696201254582,29.59739837155317
R_SUP,2,minus_delta_prediction,2.9857643023085343,1.7229799814248035,1.2627843208837308
R_SUP,2,minus_prediction_delta,6.872553417766779,1.5945321839389435,5.278021233827836
R_SUP,2,prediction_prediction,2.69644851869466,1.214391136814946,1.4820573818797138
R_SUP,2,residual,50.524860811577724,12.904599503433277,37.62026130814445
R_SUP,3,delta_delta,13.488609591073986,-1.6010550557364345,15.089664646810421
R_SUP,3,minus_delta_prediction,-1.8596658727442477,-0.3492860407649016,-1.510379831979346
R_SUP,3,minus_prediction_delta,-0.8163235719519508,-0.21948165889532933,-0.5968419130566215
R_SUP,3,prediction_prediction,0.38555867901527185,0.26327170361547686,0.122286975399795
R_SUP,3,residual,11.198178825393056,-1.9065510517811874,13.104729877174243
R_SUP,4,delta_delta,17.68576576862829,23.978826311196297,-6.293060542568007
R_SUP,4,minus_delta_prediction,-0.9694001642696313,3.2383695072835272,-4.207769671553159
R_SUP,4,minus_prediction_delta,-2.0762050811204014,-2.1884428981519766,0.1122378170315752
R_SUP,4,prediction_prediction,8.806573398303147,-1.1156118486601296,9.922185246963277
R_SUP,4,residual,23.446733921541405,23.913141071667713,-0.46640715012630807
R_SIM,0,delta_delta,-2.0742608467904953,-0.30845158035429393,-1.7658092664362013
R_SIM,0,minus_delta_prediction,0.6693285972130059,-0.516700825037828,1.1860294222508339
R_SIM,0,minus_prediction_delta,-0.1058626409900232,-0.3137812341289876,0.20791859313896444
R_SIM,0,prediction_prediction,3.4498855315161476,0.44135725074955706,3.0085282807665905
R_SIM,0,residual,1.9390906409486375,-0.6975763887715526,2.63666702972019
R_SIM,1,delta_delta,4.560457563491773,-0.32882663496322456,4.889284198454997
R_SIM,1,minus_delta_prediction,-1.51956461481016,-0.3700457971834041,-1.149518817626756
R_SIM,1,minus_prediction_delta,-2.7488907273355183,-0.333840749808839,-2.4150499775266794
R_SIM,1,prediction_prediction,2.1798121470504026,-0.10758770571305008,2.2873998527634525
R_SIM,1,residual,2.4718143683964957,-1.1403008876685177,3.6121152560650134
R_SIM,2,delta_delta,2.0407324597253096,2.386715552859516,-0.3459830931342065
R_SIM,2,minus_delta_prediction,0.9948738470107374,-0.5696337086563174,1.564507555667055
R_SIM,2,minus_prediction_delta,-0.19015479955756004,0.579720106344692,-0.769874905902252
R_SIM,2,prediction_prediction,0.5950096785059444,0.14906834740343827,0.44594133110250617
R_SIM,2,residual,3.4404611856844287,2.545870297951329,0.8945908877330999
R_SIM,3,delta_delta,-0.12144648017266037,-0.7826481117746608,0.6612016316020004
R_SIM,3,minus_delta_prediction,-1.4682666594064269,-0.4929118674554649,-0.975354791950962
R_SIM,3,minus_prediction_delta,0.6886619209915241,-0.5577821367694357,1.24644405776096
R_SIM,3,prediction_prediction,1.14134751666482,0.578174378618589,0.5631731380462309
R_SIM,3,residual,0.2402962980772586,-1.2551677373809715,1.4954640354582303
R_SIM,4,delta_delta,1.4927054506435447,-0.1250977878061987,1.6178032384497434
R_SIM,4,minus_delta_prediction,0.9248797013322804,0.25698717528747483,0.6678925260448055
R_SIM,4,minus_prediction_delta,-0.568412409405956,-0.5182060354488045,-0.05020637395715155
R_SIM,4,prediction_prediction,1.9170114702816652,0.3915158339519904,1.5254956363296748
R_SIM,4,residual,3.766184212851537,0.005199185984461666,3.760985026867075
