bias_b_minus_a_uv,bias_b_minus_a_uv_bootstrap_valid,bias_b_minus_a_uv_ci_high,bias_b_minus_a_uv_ci_low,cohort_label,condition,difference_sd_uv,icc_a1,icc_a1_bootstrap_valid,icc_a1_ci_high,icc_a1_ci_low,loa_high_uv,loa_low_uv,n_candidates,pearson_r,pearson_r_bootstrap_valid,pearson_r_ci_high,pearson_r_ci_low,rmse_uv,sampling,split,status,support,variant
0.06453182548211607,2000,0.4811310585545127,-0.36679997084508137,HA,code2_minus_code1,1.4635937730702846,0.35551299692678656,2000,0.5701848872797871,0.07799807195682308,2.933175620699874,-2.804111969735642,46,0.3550898091597571,2000,0.5886328317036038,0.07805170915464522,1.4490353865263605,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,all_variants_common,hp05_avg20_matched
0.10861085738445267,2000,0.544089983183027,-0.3137907506074149,HA,code2_minus_code1,1.4645874789380602,0.48324169290838304,2000,0.6724985018115054,0.21796691385131622,2.9792023161030508,-2.761980601334145,46,0.4834611717666,2000,0.6850058499956926,0.22199840317643035,1.4526465532555353,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,all_variants_common,hp01_avg18_matched
0.08563410988795296,2000,0.5779182383674427,-0.3952689605724196,HA,code2_minus_code1,1.6796697297184022,0.17345347712484677,2000,0.41271213657247063,-0.0997802506844904,3.3777867801360215,-3.206518560360115,46,0.17164382099975883,2000,0.4236664865921709,-0.1032080112851949,1.663517719078557,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,all_variants_common,hp01_frontoposterior100
0.037247786803841276,2000,0.5201556912514651,-0.4427007858261014,HA,code2_minus_code1,1.7064768981600487,0.27197532481670433,2000,0.58740850531988,-0.08150527742967459,3.381942507197537,-3.307446933589854,46,0.2734005401287986,2000,0.6001901937149404,-0.08560792170750456,1.6882372686926486,all_accepted,alternating_30s_blocks,estimated_within_acquisition_only,all_variants_common,hp01_scalp100
-0.009805520587313701,2000,0.2873709591883245,-0.32462762525839806,HA,code1,1.2079163829191206,0.7889620702673724,2000,0.8960615358502783,0.5654320050497678,2.357710589934163,-2.3773216311087904,56,0.7883133513577109,2000,0.8988236018063676,0.5689972313597431,1.1971229920100255,balanced_per_code,alternating_30s_blocks,estimated_within_acquisition_only,variant_available,hp01_avg20
0.01699792406530532,2000,0.2863145370275803,-0.263558824125806,HA,code1,1.0367183568294525,0.7298363426284492,2000,0.8846248147647642,0.45636766255418143,2.048965903451032,-2.014970055320421,56,0.7292571088391973,2000,0.8893750962120841,0.45828685458852636,1.0275608460777697,balanced_per_code,alternating_30s_blocks,estimated_within_acquisition_only,variant_available,hp05_avg20_matched
0.0003843784774139206,2000,0.3029181776822606,-0.31969081364364554,HA,code1,1.232437645561007,0.813993721326827,2000,0.9112937682955526,0.6068942143714664,2.4159621637769875,-2.41519340682216,56,0.8142002196291053,2000,0.9149529042926383,0.6102593808438616,1.2213842303377935,balanced_per_code,alternating_30s_blocks,estimated_within_acquisition_only,variant_available,hp01_avg18_matched
-0.11851892667198262,2000,0.14206233980678626,-0.3797250783751667,HA,code1,0.9432426183190354,0.8365902458779828,2000,0.9189281992593137,0.6517483067161289,1.730236605233327,-1.967274458577292,49,0.8375617346694973,2000,0.9234233225480792,0.6591618865644914,0.9410611535317104,balanced_per_code,alternating_30s_blocks,estimated_within_acquisition_only,variant_available,hp01_frontoposterior100
-0.07196491942461676,2000,0.1507129734715338,-0.28390878834234434,HA,code1,0.747008626077301,0.8968480157060009,2000,0.9462444283973569,0.7871997628291275,1.3921719876868932,-1.5361018265361268,46,0.897423086484155,2000,0.9485188611064992,0.7913209371889701,0.742340842514609,balanced_per_code,alternating_30s_blocks,estimated_within_acquisition_only,variant_available,hp01_scalp100
-0.06263995273861127,2000,0.22007798236438014,-0.3572321873791029,HA,code1,0.9956999461981919,0.8487930325087396,2000,0.9188529083836454,0.6803652877493714,1.888931941809845,-2.0142118472870676,46,0.8568549431822708,2000,0.9242201295646121,0.7063399885886507,0.9868077690197635,balanced_per_code,alternating_30s_blocks,estimated_within_acquisition_only,all_variants_common,hp01_avg20
-0.016386156389858575,2000,0.2007412584560601,-0.23395123298396733,HA,code1,0.746666045386512,0.8509036392439531,2000,0.9186474377518522,0.7051801471986577,1.447079292567705,-1.4798516053474222,46,0.854894809282073,2000,0.9253186032169125,0.7137958332751914,0.7386872835376058,balanced_per_code,alternating_30s_blocks,estimated_within_acquisition_only,all_variants_common,hp05_avg20_matched
-0.04564243694048308,2000,0.24577229557745484,-0.34049037849818403,HA,code1,1.0032950828042988,0.8734827984858377,2000,0.9338411221069753,0.722059611694365,1.9208159253559425,-2.0121007992369084,46,0.8818828724160098,2000,0.9401580755884148,0.7472776662235254,0.9933788926137248,balanced_per_code,alternating_30s_blocks,estimated_within_acquisition_only,all_variants_common,hp01_avg18_matched
-0.055587741290920485,2000,0.19732051253782362,-0.29992862218096256,HA,code1,0.8431559826992764,0.8670246376746144,2000,0.9206533706601194,0.7225911879238415,1.5969979847996612,-1.708173467381502,46,0.8686915495818831,2000,0.926957992533932,0.736248820333258,0.8357914806966588,balanced_per_code,alternating_30s_blocks,estimated_within_acquisition_only,all_variants_common,hp01_frontoposterior100
-0.07196491942461676,2000,0.15671155194841163,-0.3039282027588111,HA,code1,0.747008626077301,0.8968480157060009,2000,0.9437132460897601,0.7831828839158289,1.3921719876868932,-1.5361018265361268,46,0.897423086484155,2000,0.9470369350501235,0.7864523677142815,0.742340842514609,balanced_per_code,alternating_30s_blocks,estimated_within_acquisition_only,all_variants_common,hp01_scalp100
0.06196437991612579,2000,0.5030666549899022,-0.3304700172133783,HA,code2,1.5920094863351781,0.7956040328616073,2000,0.8649707189713215,0.6809157839144765,3.182302973133075,-3.0583742133008234,56,0.7941401654059248,2000,0.8720515520840344,0.6865761098042663,1.5789474227718228,balanced_per_code,alternating_30s_blocks,estimated_within_acquisition_only,variant_available,hp01_avg20
0.1889658808096353,2000,0.7407881012953175,-0.3000366513405644,HA,code2,1.9623558004105948,0.4911687803854208,2000,0.7210512207610065,0.1947133773183661,4.035183249614401,-3.65725148799513,56,0.4897419657989662,2000,0.727265050471184,0.20066846694525536,1.9539148871900827,balanced_per_code,alternating_30s_blocks,estimated_within_acquisition_only,variant_available,hp05_avg20_matched
