run,task,model,n,prediction_rows,MAE
ha_extended_001,V_given_A,C_SPATIAL,57,285,6.0134184665655095
ha_extended_001,V_given_A,MEAN,57,285,18.100330536486144
ha_extended_001,V_given_A,Z_ONLY,57,285,20.901679579486835
ha_mechanism_001,A,AMP_Q,57,285,3.7015658922806685
ha_mechanism_001,A,AMP_QZ,57,285,3.946493249498474
ha_mechanism_001,A,BEST_CQZ,57,285,4.153116796691493
ha_mechanism_001,A,BEST_CZ,57,285,3.891085502168915
ha_mechanism_001,A,C_BEST,57,285,3.738791055562764
ha_mechanism_001,A,C_Q,57,285,3.7613767942669094
ha_mechanism_001,A,KERNEL_CZ,57,285,3.667453675809119
ha_mechanism_001,A,TECH_Q,57,285,3.754490181662813
ha_mechanism_001,A,TECH_QZ,57,285,4.109044641729736
ha_mechanism_001,V_given_A,AMP_Q,57,285,6.0169407229871075
ha_mechanism_001,V_given_A,AMP_QZ,57,285,6.18146572252383
ha_mechanism_001,V_given_A,BEST_CQZ,57,285,5.8746062349468335
ha_mechanism_001,V_given_A,BEST_CZ,57,285,5.875869966269756
ha_mechanism_001,V_given_A,C_BEST,57,285,6.165048330286375
ha_mechanism_001,V_given_A,C_Q,57,285,5.6844764403733095
ha_mechanism_001,V_given_A,KERNEL_CZ,57,285,6.229515563077112
ha_mechanism_001,V_given_A,TECH_Q,57,285,5.593422781213707
ha_mechanism_001,V_given_A,TECH_QZ,57,285,6.184493121434052
phase3_replay_002,MUSS,age_duration_only,50,250,6.8421274091192394
phase3_replay_002,MUSS,corrected_clinical,50,250,6.692766930734875
phase3_replay_002,MUSS,corrected_clinical_plus_fixed_amplitude,50,250,6.9591793826987765
phase3_replay_002,MUSS,corrected_clinical_plus_poststim_pattern,50,250,13.232694844431855
phase3_replay_002,MUSS,corrected_clinical_plus_prestim_pattern,50,250,11.738215417926272
phase3_replay_002,MUSS,corrected_post_separate,50,250,6.704505081343401
phase3_replay_002,MUSS,corrected_pre_separate,50,250,7.058963848276635
phase3_replay_002,MUSS,original_clinical,50,250,7.047993236597496
phase3_replay_002,MUSS,original_clinical_plus_fixed_amplitude,50,250,7.365749113156491
phase3_replay_002,MUSS,original_clinical_plus_poststim_pattern,50,250,13.579013449337868
phase3_replay_002,MUSS,original_clinical_plus_prestim_pattern,50,250,11.528798610390353
phase3_replay_002,age,corrected_clinical,50,250,28.622132486099215
phase3_replay_002,age,corrected_clinical_plus_fixed_amplitude,50,250,29.53103631518425
phase3_replay_002,age,corrected_clinical_plus_poststim_pattern,50,250,28.86009777097054
phase3_replay_002,age,corrected_clinical_plus_prestim_pattern,50,250,29.422817183062726
phase3_replay_002,age,original_clinical,50,250,28.84317277309871
phase3_replay_002,age,original_clinical_plus_fixed_amplitude,50,250,29.427759554761167
phase3_replay_002,age,original_clinical_plus_poststim_pattern,50,250,28.738635135861028
phase3_replay_002,age,original_clinical_plus_prestim_pattern,50,250,29.511813201648927
phase3_replay_002,log_duration,corrected_clinical,50,250,1.4371105547937804
phase3_replay_002,log_duration,corrected_clinical_plus_fixed_amplitude,50,250,1.4642776693684163
phase3_replay_002,log_duration,corrected_clinical_plus_poststim_pattern,50,250,1.5078734212277465
phase3_replay_002,log_duration,corrected_clinical_plus_prestim_pattern,50,250,1.4949163090330633
phase3_replay_002,log_duration,original_clinical,50,250,1.4293543925233312
phase3_replay_002,log_duration,original_clinical_plus_fixed_amplitude,50,250,1.4549761494810765
phase3_replay_002,log_duration,original_clinical_plus_poststim_pattern,50,250,1.5072555488443422
phase3_replay_002,log_duration,original_clinical_plus_prestim_pattern,50,250,1.4980296732119354
mff_archival_001,A,ALL_Q,38,190,7.923679530302451
mff_archival_001,A,ALL_Q_Z,38,190,7.954829108951246
mff_archival_001,A,MEAN,38,190,7.850209394453876
mff_archival_001,A,SOURCE_TECH,38,190,7.375520371439333
mff_archival_001,A,SOURCE_TECH_SHUFFLE,38,190,7.530712413249679
mff_archival_001,A,SOURCE_TECH_Z,38,190,7.401248825390549
mff_archival_001,A,Z_ONLY,38,190,7.868498891653992
mff_archival_001,CAP,ALL_Q,36,180,1.6931223213988296
mff_archival_001,CAP,ALL_Q_Z,36,180,1.7408222775010327
mff_archival_001,CAP,MEAN,36,180,1.634920634920635
mff_archival_001,CAP,SOURCE_TECH,36,180,1.675292636057334
mff_archival_001,CAP,SOURCE_TECH_SHUFFLE,36,180,1.731467915080073
mff_archival_001,CAP,SOURCE_TECH_Z,36,180,1.6950154436396174
mff_archival_001,CAP,Z_ONLY,36,180,1.6396152290558619
mff_archival_001,SIR,ALL_Q,36,180,1.2398531075569452
mff_archival_001,SIR,ALL_Q_Z,36,180,1.2516208723319053
mff_archival_001,SIR,MEAN,36,180,1.2560755336617404
mff_archival_001,SIR,SOURCE_TECH,36,180,1.2422665532369217
mff_archival_001,SIR,SOURCE_TECH_SHUFFLE,36,180,1.2584786707974331
mff_archival_001,SIR,SOURCE_TECH_Z,36,180,1.2475265839413416
mff_archival_001,SIR,Z_ONLY,36,180,1.2756353554414093
mff_archival_001,V,ALL_Q,38,190,11.2158716812194
mff_archival_001,V,ALL_Q_Z,38,190,11.313363735467847
mff_archival_001,V,MEAN,38,190,11.891205432937182
mff_archival_001,V,SOURCE_TECH,38,190,10.506069166370619
mff_archival_001,V,SOURCE_TECH_SHUFFLE,38,190,10.565144132036833
mff_archival_001,V,SOURCE_TECH_Z,38,190,10.55367280271613
mff_archival_001,V,Z_ONLY,38,190,11.970374454947628
