packet,mode,population,family,calibration,first,second,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,units,ci_scope
N1,R_SIM,P_nat,logistic,raw,HP,HPB,-0.001194335224251863,-0.0020392818789873738,-0.00044914120298523714,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,logistic,temperature,H,HP,-0.0002756329409385787,-0.002564810661336551,0.0020228224838984366,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,logistic,temperature,H,HB,-0.0022296574977471576,-0.003781013521230304,-0.00018238200825268071,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,logistic,temperature,HPP,HPB,-0.0017541201503801192,-0.0029859193743024745,-7.55357180812987e-05,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,logistic,temperature,HPBnoise,HPB,-0.0013352210836806485,-0.002577079033742218,1.8838335968834616e-05,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,logistic,mixture_diagnostic,HP,HPB,-0.00203146425661589,-0.003513826542778361,0.0001554611663781376,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,logistic,mixture_diagnostic,HB,HPB,-7.743969980731121e-05,-0.0024196717940120176,0.0022333117905842495,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,logistic,mixture_diagnostic,H,HP,-0.0002756329409385787,-0.002564810661336551,0.0020228224838984366,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,logistic,mixture_diagnostic,H,HB,-0.0022296574977471576,-0.003781013521230304,-0.00018238200825268071,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,logistic,mixture_diagnostic,HPP,HPB,-0.0017541201503801192,-0.0029859193743024745,-7.55357180812987e-05,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,logistic,mixture_diagnostic,HPBnoise,HPB,-0.0013352210836806485,-0.002577079033742218,1.8838335968834616e-05,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,mlp32,raw,HP,HPB,-0.11261733077230943,-0.13656136439229818,-0.09487880096893406,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,mlp32,raw,HB,HPB,-0.1178214969805399,-0.1380248339956508,-0.10195582098971602,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,mlp32,raw,H,HP,-0.08333047770251692,-0.0884937114172703,-0.07777924777558014,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,mlp32,raw,H,HB,-0.07812631149428641,-0.08571063984962868,-0.07139108060781628,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,mlp32,raw,HPP,HPB,-0.08074297613442519,-0.09390592821508309,-0.06955291764808494,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,mlp32,raw,HPBnoise,HPB,0.029166030267301368,0.01642007660108133,0.04255003040674105,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,mlp32,temperature,HP,HPB,-0.046101460827811434,-0.05164507566190906,-0.03942493327095632,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,mlp32,temperature,HB,HPB,-0.047053413037895044,-0.054952376471046095,-0.03576658555950788,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,mlp32,temperature,H,HP,-0.06728167069835218,-0.08510238102016202,-0.03839195805041214,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,mlp32,temperature,H,HB,-0.06632971848826855,-0.08191748503350271,-0.04116539032873895,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,mlp32,temperature,HPP,HPB,-0.02903484985573765,-0.03363876735268321,-0.02331341584622691,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,mlp32,temperature,HPBnoise,HPB,0.008985073239473569,0.003583406377506123,0.014410252177133275,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,mlp32,mixture_diagnostic,HP,HPB,-0.046101460827811434,-0.05164507566190906,-0.03942493327095632,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,mlp32,mixture_diagnostic,HB,HPB,-0.047053413037895044,-0.054952376471046095,-0.03576658555950788,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,mlp32,mixture_diagnostic,H,HP,-0.06728167069835218,-0.08510238102016202,-0.03839195805041214,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,mlp32,mixture_diagnostic,H,HB,-0.06632971848826855,-0.08191748503350271,-0.04116539032873895,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,mlp32,mixture_diagnostic,HPP,HPB,-0.02903484985573765,-0.03363876735268321,-0.02331341584622691,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,R_SIM,P_bal,mlp32,mixture_diagnostic,HPBnoise,HPB,0.008985073239473569,0.003583406377506123,0.014410252177133275,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_nat,logistic,raw,HP,HPB,-0.0006951041640066182,-0.001054972117599198,-0.0003273752548765834,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_nat,logistic,raw,HB,HPB,-0.00029167063714076387,-0.0016936155762131973,0.0010148125801989656,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_nat,logistic,raw,H,HP,-0.0003306781398685833,-0.0017642916758044457,0.0010162820083060848,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_nat,logistic,raw,H,HB,-0.0007341116667344375,-0.001111622200714084,-0.0003872312526979486,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_nat,logistic,raw,HPP,HPB,-0.0006516340003798523,-0.0010056109976508956,-0.0002925871530437465,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_nat,logistic,raw,HPBnoise,HPB,-0.00048388205844673285,-0.0011217555780045417,0.00013920091690244345,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_nat,logistic,temperature,HP,HPB,-0.0007196143005444135,-0.0012825121780180358,-5.622536403208997e-05,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_nat,logistic,temperature,HB,HPB,-0.0004786276476508123,-0.0021449091245006394,0.0010635881372637128,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_nat,logistic,temperature,H,HP,-0.0005291547245797594,-0.002235236819536422,0.0010299293357882407,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_nat,logistic,temperature,H,HB,-0.0007701413774733605,-0.0012911901278800269,-0.00020762961775832762,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_nat,logistic,temperature,HPP,HPB,-0.000671785403316719,-0.0012098079897938162,-5.125159585697594e-05,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_nat,logistic,temperature,HPBnoise,HPB,-0.00046119531311133153,-0.0011824983226210385,0.0002450215805220868,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_nat,logistic,mixture_diagnostic,HP,HPB,-0.0007196143005444135,-0.0012825121780180358,-5.622536403208997e-05,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_nat,logistic,mixture_diagnostic,HB,HPB,-0.0004786276476508123,-0.0021449091245006394,0.0010635881372637128,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_nat,logistic,mixture_diagnostic,H,HP,-0.0005291547245797594,-0.002235236819536422,0.0010299293357882407,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_nat,logistic,mixture_diagnostic,H,HB,-0.0007701413774733605,-0.0012911901278800269,-0.00020762961775832762,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_nat,logistic,mixture_diagnostic,HPP,HPB,-0.000671785403316719,-0.0012098079897938162,-5.125159585697594e-05,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_nat,logistic,mixture_diagnostic,HPBnoise,HPB,-0.00046119531311133153,-0.0011824983226210385,0.0002450215805220868,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_bal,logistic,raw,HP,HPB,-0.0013781072113164176,-0.0020005546445290433,-0.0007894383629387727,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_bal,logistic,raw,HB,HPB,-0.000297642807486747,-0.0022057555215256454,0.001487994451044053,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_bal,logistic,raw,H,HP,-0.0002583268314480722,-0.0022715394985196344,0.0015698746216501805,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_bal,logistic,raw,H,HB,-0.0013387912352777428,-0.0019737205204930766,-0.0007599679745803164,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_bal,logistic,raw,HPP,HPB,-0.0013318989274108092,-0.0019440963652286928,-0.0007416207154647982,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_bal,logistic,raw,HPBnoise,HPB,-0.0009039339011018832,-0.0019095568434433913,0.00012498788683884077,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_bal,logistic,temperature,HP,HPB,-0.0009669754116860655,-0.002957581034278521,0.002122558990377817,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_bal,logistic,temperature,HB,HPB,-0.0001813229346508546,-0.0032282313720819475,0.0031492778754840765,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_bal,logistic,temperature,H,HP,-0.00018210771437736527,-0.0033182913698071117,0.003254001701620287,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_bal,logistic,temperature,H,HB,-0.0009677601914125761,-0.0029659424984869874,0.002027742823800674,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_bal,logistic,temperature,HPP,HPB,-0.0009353614320837877,-0.0028471280769137206,0.0020224248385205396,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_bal,logistic,temperature,HPBnoise,HPB,-0.0004321536436804725,-0.0020489585503031126,0.001462145499755175,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_bal,logistic,mixture_diagnostic,HP,HPB,-0.0009669754116860655,-0.002957581034278521,0.002122558990377817,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_bal,logistic,mixture_diagnostic,HB,HPB,-0.0001813229346508546,-0.0032282313720819475,0.0031492778754840765,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_bal,logistic,mixture_diagnostic,H,HP,-0.00018210771437736527,-0.0033182913698071117,0.003254001701620287,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_bal,logistic,mixture_diagnostic,H,HB,-0.0009677601914125761,-0.0029659424984869874,0.002027742823800674,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_bal,logistic,mixture_diagnostic,HPP,HPB,-0.0009353614320837877,-0.0028471280769137206,0.0020224248385205396,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N1,L0,P_bal,logistic,mixture_diagnostic,HPBnoise,HPB,-0.0004321536436804725,-0.0020489585503031126,0.001462145499755175,59,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
