model,seed,fold,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
shared,11,1,25,2,1881,376,0.5661023538559411,0.5493629391390401,0.9922474026679993,0.007752597332000732
shared,11,1,27,1,997,200,0.4626568381430364,0.46983688833124215,1.018740177154541,-0.018740177154541016
shared,11,1,40,1,966,191,0.5434858976524236,0.5278736699881776,0.9987089037895203,0.0012910962104797363
shared,11,1,43,1,994,197,0.5618626957690324,0.5420485449878669,0.9910567998886108,0.00894320011138916
shared,11,1,45,2,1975,396,0.5397923183705324,0.5242201943436902,0.9984906911849976,0.0015093088150024414
shared,11,1,50,1,924,186,0.5568267913861934,0.5257671125098348,0.9951519966125488,0.004848003387451172
shared,11,1,56,1,996,200,0.5576915829145729,0.5353391959798995,0.9951454401016235,0.004854559898376465
shared,11,1,58,1,996,200,0.5554585427135679,0.5522989949748743,0.9940717220306396,0.0059282779693603516
shared,11,1,62,1,999,200,0.6237453066332916,0.5928973717146433,0.9734917879104614,0.026508212089538574
shared,11,1,69,1,979,196,0.5351245862329606,0.5392687726431569,1.0000885725021362,-8.857250213623047e-05
shared,11,2,4,2,1981,395,0.5470261943907928,0.5262167382316791,0.9952598214149475,0.00474017858505249
shared,11,2,6,1,907,183,0.5558184645110649,0.5511162938139662,0.9903621673583984,0.009637832641601562
shared,11,2,9,1,527,78,0.5510964536577009,0.5223716521043915,0.9968510866165161,0.0031489133834838867
shared,11,2,16,1,994,195,0.5556625268765444,0.5479156638105324,0.9923697710037231,0.0076302289962768555
shared,11,2,31,2,1981,399,0.5584172187738626,0.5544946436888682,0.9938663840293884,0.006133615970611572
shared,11,2,32,1,1000,200,0.649546875,0.62375,0.9713168144226074,0.028683185577392578
shared,11,2,46,1,981,197,0.538686159743085,0.5196732880969647,0.9960795044898987,0.003920495510101318
shared,11,2,47,1,1000,200,0.520959375,0.515625,1.0046353340148926,-0.004635334014892578
shared,11,2,55,1,821,161,0.47214379823075475,0.49329474872953133,1.0148417949676514,-0.014841794967651367
shared,11,2,59,2,1947,387,0.5335884184721393,0.5291691512621746,0.9983013272285461,0.0016986727714538574
shared,11,2,63,1,977,194,0.504061829337336,0.5132750062540322,1.0147594213485718,-0.014759421348571777
shared,11,2,65,1,990,198,0.5589927048260381,0.5347222222222222,0.9918813705444336,0.008118629455566406
shared,11,2,67,1,997,200,0.5050407779171894,0.490069008782936,1.0038766860961914,-0.0038766860961914062
shared,11,2,68,1,983,196,0.6581632653061226,0.5984006690350854,0.9652906656265259,0.03470933437347412
shared,11,2,70,1,901,179,0.5183808167876323,0.5085307726829571,1.0065816640853882,-0.006581664085388184
shared,11,3,0,1,945,187,0.5703300269496141,0.5463434594274265,0.9899348020553589,0.010065197944641113
shared,11,3,1,2,1977,395,0.5130606986829682,0.5108635119781082,1.004418969154358,-0.00441896915435791
shared,11,3,2,1,945,193,0.5589550490574358,0.5581282383419689,0.9938282370567322,0.006171762943267822
shared,11,3,3,1,998,200,0.589671052631579,0.5738157894736842,0.985641598701477,0.01435840129852295
shared,11,3,19,1,1000,200,0.6185999999999999,0.59625,0.9807549715042114,0.019245028495788574
shared,11,3,22,2,1331,261,0.5323844308375407,0.5195527625595302,0.998016893863678,0.0019831061363220215
shared,11,3,36,1,927,185,0.4908865739054418,0.49401908647191667,1.0104985237121582,-0.010498523712158203
shared,11,3,41,1,998,200,0.4465789473684211,0.4710964912280702,1.0192475318908691,-0.01924753189086914
shared,11,3,44,1,960,190,0.5358578263841421,0.5239917976760082,0.9993647933006287,0.0006352066993713379
shared,11,3,53,1,989,198,0.5108257033035795,0.49834310232540324,1.0162198543548584,-0.0162198543548584
shared,11,3,60,1,598,90,0.44834864391951,0.455424321959755,1.0155251026153564,-0.015525102615356445
shared,11,3,61,1,983,195,0.5434986333463491,0.5173955486138228,0.9969264268875122,0.003073573112487793
shared,11,3,64,1,989,197,0.6170845510947034,0.5953314874634672,0.9784140586853027,0.021585941314697266
shared,11,3,71,1,991,198,0.5158393519049257,0.5067159616339945,1.00752854347229,-0.007528543472290039
shared,11,4,13,1,995,200,0.5748805031446541,0.5441194968553459,0.9870783090591431,0.012921690940856934
shared,11,4,15,1,977,193,0.5172293010468436,0.5216638468859046,1.004117488861084,-0.004117488861083984
shared,11,4,17,1,932,189,0.4755460132310738,0.4913798628468884,1.0156378746032715,-0.015637874603271484
shared,11,4,18,1,972,193,0.5471076908751089,0.5439649610567554,0.996047854423523,0.003952145576477051
shared,11,4,26,1,990,198,0.4402803285379043,0.46654040404040403,1.029608964920044,-0.029608964920043945
shared,11,4,28,1,815,162,0.4861560130830167,0.508663717316091,1.0133016109466553,-0.013301610946655273
shared,11,4,34,1,999,200,0.6251595744680851,0.5672684605757197,0.9749664068222046,0.02503359317779541
shared,11,4,35,1,991,200,0.5552876106194691,0.5375537294563844,0.993149995803833,0.006850004196166992
shared,11,4,38,2,1990,399,0.6326753401416805,0.6071038690377736,0.9732640385627747,0.026735961437225342
shared,11,4,39,1,999,200,0.5018178973717147,0.5052847309136421,1.0102108716964722,-0.010210871696472168
shared,11,4,51,2,1991,397,0.5767060987519318,0.547785461222658,0.9878129959106445,0.012187004089355469
shared,11,4,52,1,996,199,0.5166264194246011,0.5153591041783573,1.0038636922836304,-0.003863692283630371
shared,11,4,54,1,998,200,0.5151065162907269,0.4950187969924812,1.0045392513275146,-0.0045392513275146484
shared,11,4,72,1,885,182,0.5161278977068451,0.5166437403279508,1.0049210786819458,-0.004921078681945801
shared,22,0,4,2,1981,395,0.5417673631618434,0.5318291378677351,0.9981880187988281,0.001811981201171875
shared,22,0,21,1,943,184,0.5736166007905138,0.570899209486166,0.989938497543335,0.010061502456665039
shared,22,0,28,1,815,162,0.5086920764562418,0.5063666269638705,1.0063483715057373,-0.006348371505737305
shared,22,0,29,1,622,134,0.5545479569366283,0.5318234646439932,0.9949022531509399,0.005097746849060059
shared,22,0,31,2,1981,399,0.5838482109192069,0.5481957105152261,0.9868224859237671,0.01317751407623291
shared,22,0,36,1,927,185,0.47196401253005027,0.4681066511255191,1.0180118083953857,-0.018011808395385742
shared,22,0,37,1,989,199,0.5334170854271357,0.5115736912410153,0.9967991709709167,0.003200829029083252
shared,22,0,42,1,993,197,0.5056532663316583,0.4932562558987833,1.0028055906295776,-0.0028055906295776367
shared,22,0,43,1,994,197,0.5416441095733365,0.5543121731875242,1.0021203756332397,-0.002120375633239746
shared,22,0,48,1,983,198,0.607997169143666,0.5648362606961332,0.9750206470489502,0.024979352951049805
shared,22,0,54,1,998,200,0.509718045112782,0.4994235588972431,1.005206823348999,-0.0052068233489990234
shared,22,0,57,1,998,200,0.6084147869674186,0.5656077694235588,0.9826825261116028,0.017317473888397217
shared,22,0,60,1,598,90,0.4428696412948382,0.4763779527559055,1.0228830575942993,-0.022883057594299316
shared,22,0,61,1,983,195,0.5425191982298581,0.5264707796433685,0.996310293674469,0.003689706325531006
shared,22,0,72,1,885,182,0.535393838025417,0.5265033686086318,0.9973374605178833,0.0026625394821166992
shared,22,1,0,1,945,187,0.601325610599241,0.569561045814344,0.9803688526153564,0.019631147384643555
shared,22,1,2,1,945,193,0.5991725002756035,0.5520787399404696,0.9799256324768066,0.02007436752319336
shared,22,1,5,1,997,200,0.5140746549560853,0.49212986198243414,1.0061542987823486,-0.006154298782348633
shared,22,1,16,1,994,195,0.5452841693142069,0.5251307724399089,0.9968397617340088,0.003160238265991211
shared,22,1,18,1,972,193,0.5572109852541121,0.5313275289829528,0.9919615983963013,0.00803840160369873
shared,22,1,20,2,1884,374,0.5258995289867904,0.5282076707865566,1.002023458480835,-0.002023458480834961
shared,22,1,32,1,1000,200,0.6647875,0.6256250000000001,0.9651815295219421,0.03481847047805786
shared,22,1,33,1,986,196,0.49051601653319554,0.5068264014466546,1.0143871307373047,-0.014387130737304688
shared,22,1,35,1,991,200,0.5560998735777497,0.5289032869785082,0.9912819862365723,0.008718013763427734
shared,22,1,39,1,999,200,0.5051658322903629,0.5134324155193992,1.0100955963134766,-0.010095596313476562
shared,22,1,44,1,960,190,0.5407450444292549,0.5259398496240602,1.001975417137146,-0.001975417137145996
shared,22,1,46,1,981,197,0.5364200248627369,0.5142054283642391,0.9982097744941711,0.0017902255058288574
shared,22,1,56,1,996,200,0.5688159547738694,0.5548366834170855,0.9945329427719116,0.005467057228088379
shared,22,1,58,1,996,200,0.5478831658291458,0.5474120603015076,0.9977097511291504,0.0022902488708496094
shared,22,1,68,1,983,196,0.6695148199050904,0.6198655446930996,0.958766520023346,0.04123347997665405
shared,22,2,10,1,996,200,0.5968247487437185,0.5652763819095478,0.9877831339836121,0.01221686601638794
shared,22,2,11,1,942,191,0.491679505859552,0.4927740325290537,1.0112218856811523,-0.011221885681152344
shared,22,2,12,1,989,196,0.5371779859484778,0.5335364284427516,0.9976300001144409,0.002369999885559082
shared,22,2,14,1,999,200,0.5435481852315394,0.5134605757196495,0.9972566366195679,0.002743363380432129
shared,22,2,24,2,1958,395,0.5169796804263141,0.5248297253739563,1.0119383335113525,-0.011938333511352539
shared,22,2,25,2,1881,376,0.5966273768290097,0.5713128225065385,0.9826942682266235,0.017305731773376465
shared,22,2,30,1,997,199,0.6256501807282024,0.6015635823226408,0.9724017381668091,0.027598261833190918
shared,22,2,47,1,1000,200,0.5010718749999999,0.51625,1.0106103420257568,-0.010610342025756836
shared,22,2,49,1,994,196,0.5632959950897652,0.564625850340136,0.9930576086044312,0.006942391395568848
shared,22,2,50,1,924,186,0.5610666724946819,0.538377480548999,0.9947159290313721,0.00528407096862793
shared,22,2,52,1,996,199,0.565061821024823,0.5473824580871736,0.9924697279930115,0.007530272006988525
shared,22,2,63,1,977,194,0.5004048662953746,0.49897302208002525,1.011230707168579,-0.011230707168579102
shared,22,2,64,1,989,197,0.633578808388453,0.5810452238117213,0.9663848280906677,0.033615171909332275
shared,22,2,65,1,990,198,0.566118890929497,0.5454545454545454,0.9917200803756714,0.008279919624328613
shared,22,2,70,1,901,179,0.5316238258097463,0.5330707686593726,0.9993410110473633,0.0006589889526367188
shared,22,3,6,1,907,183,0.5396929625939679,0.5490746611116143,1.0041148662567139,-0.004114866256713867
shared,22,3,9,1,527,78,0.5044971732054138,0.49974301867397636,1.0082957744598389,-0.008295774459838867
shared,22,3,17,1,932,189,0.43870836804887947,0.4693328206114209,1.0215966701507568,-0.021596670150756836
shared,22,3,19,1,1000,200,0.635140625,0.6056250000000001,0.971327543258667,0.028672456741333008
shared,22,3,23,1,994,200,0.5098457178841309,0.4970214105793451,1.0074827671051025,-0.007482767105102539
shared,22,3,26,1,990,198,0.46306499336802365,0.49431818181818177,1.0270061492919922,-0.027006149291992188
shared,22,3,34,1,999,200,0.6411733416770964,0.5948060075093867,0.9647639989852905,0.03523600101470947
shared,22,3,38,2,1990,399,0.642496404430309,0.6027159350292766,0.9717816114425659,0.028218388557434082
shared,22,3,41,1,998,200,0.4430827067669173,0.4562218045112782,1.0279693603515625,-0.0279693603515625
shared,22,3,45,2,1975,396,0.5758815194375676,0.5548518753078602,0.9895821809768677,0.010417819023132324
shared,22,3,53,1,989,198,0.5362697774202199,0.5243139358183606,1.0034663677215576,-0.003466367721557617
