mode,outer_fold,quantity,metric,matched,mismatched,gain,estimate,ci_lower,ci_upper,status,n_candidates,n_bootstrap,invalid_replicates,bootstrap_scope,quality_status,background_components
L0,0,Delta,inner_product,87.72851011839138,9.805415063382148,77.92309505500924,77.92309505500924,12.977304329060681,152.90460771460923,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,2,P,inner_product,46.45566831970115,4.400596803500944,42.0550715162002,42.0550715162002,11.115195216768589,78.80551026930547,COMPUTED,8,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,2,P,cosine,0.2933243604830147,0.029885189784937035,0.26343917069807765,0.26343917069807765,0.07361044904546549,0.49175459083280265,COMPUTED,8,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,2,R,inner_product,103.62678757886985,17.970565601395926,85.65622197747393,85.65622197747393,21.735062135283044,163.97482262532054,COMPUTED,8,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,2,R,cosine,0.13396549407341507,0.027053392915868613,0.10691210115754646,0.10691210115754646,0.017730435099976835,0.215788650449071,COMPUTED,8,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,3,Delta,inner_product,27.321186234361676,-14.022291110195889,41.34347734455756,41.34347734455756,-39.80463033028651,132.47369004723697,COMPUTED,9,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,3,Delta,cosine,0.045324706033676915,-0.0044122221447026695,0.04973692817837958,0.04973692817837958,-0.0771521222076262,0.18797061939635398,COMPUTED,9,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,3,P,inner_product,12.26812721809248,2.2373446083108735,10.030782609781607,10.030782609781607,-2.6360956447384223,21.3383968446345,COMPUTED,9,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,3,P,cosine,0.11443064218025967,0.0027214428351798464,0.11170919934507982,0.11170919934507981,0.0063852198550804805,0.2038149952181912,COMPUTED,9,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,3,R,inner_product,24.133263687062094,-17.321264362009362,41.454528049071456,41.454528049071456,-35.321764502589616,126.83782451442397,COMPUTED,9,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,3,R,cosine,0.02802683521709008,-0.02223073542086549,0.050257570637955565,0.050257570637955565,-0.058854657352908964,0.16365428459188683,COMPUTED,9,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,4,Delta,inner_product,-170.5565993347082,49.36392478482689,-219.92052411953512,-219.9205241195351,-487.33434029087255,-46.54330916386612,COMPUTED,10,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,4,Delta,cosine,-0.12802864569221326,0.07250932530403256,-0.20053797099624582,-0.20053797099624582,-0.34424867713943513,-0.07354262735017075,COMPUTED,10,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,4,P,inner_product,0.9769787382038004,2.3977754189558906,-1.4207966807520902,-1.4207966807520902,-30.494104447660924,18.223606711911845,COMPUTED,10,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,4,P,cosine,0.0863794544759564,0.030315990291401522,0.05606346418455487,0.056063464184554865,-0.02880571417957009,0.15249863529286495,COMPUTED,10,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,4,R,inner_product,-189.03638891866586,46.119540215213036,-235.15592913387889,-235.1559291338789,-558.5537290914928,-25.117446183743716,COMPUTED,10,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
L0,4,R,cosine,-0.09855537616602053,0.053439229887498385,-0.15199460605351892,-0.15199460605351892,-0.29405048631733155,-0.029157985928864635,COMPUTED,10,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,0,Delta,inner_product,5.64186219732586,0.493099392878146,5.148762804447714,5.148762804447714,-9.570882488898928,17.268334290492806,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,0,Delta,cosine,0.03814921164465524,-0.0031665999526074486,0.04131581159726269,0.04131581159726269,-0.04839688048309093,0.11576321529319983,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,0,P,inner_product,4.709973441096099,-0.15434187066067584,4.864315311756775,4.864315311756775,1.3097508221554996,9.255135664888616,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,0,P,cosine,0.2864874038946009,-0.010425996941524832,0.2969134008361258,0.2969134008361258,0.12234925244287868,0.45370205512431766,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,0,R,inner_product,9.847000040971489,0.9431370388382816,8.903863002133207,8.903863002133207,-7.063200698270473,23.527684181703762,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,0,R,cosine,0.05204375381896795,-0.0010595748050377257,0.05310332862400567,0.05310332862400568,-0.03667224604403801,0.12857925065912265,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,1,Delta,inner_product,11.745822219867227,-0.10200201610492178,11.84782423597215,11.84782423597215,-7.287529923537813,35.691599576711816,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,1,Delta,cosine,0.05110972701422358,-0.001091992549905379,0.05220171956412896,0.05220171956412896,-0.06831886672730439,0.1865407750082982,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,1,P,inner_product,1.9494981786581875,0.18524652200228747,1.7642516566559001,1.7642516566559001,-0.9906901763971804,5.398166789309823,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,1,P,cosine,0.11546374572396872,0.021148275634560013,0.09431547008940872,0.09431547008940872,-0.08095261509777862,0.305602700784887,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,1,R,inner_product,16.08153695680054,0.03648871082109237,16.045048245979448,16.045048245979448,-4.910874749040395,39.62452338375354,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,1,R,cosine,0.07746626163526898,0.0023580063551009054,0.07510825528016808,0.07510825528016808,-0.050321214021179166,0.20130847304635532,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,2,Delta,inner_product,16.746601112017338,-1.4684743488277092,18.215075460845046,18.215075460845046,7.471726778521477,31.19085177968604,COMPUTED,8,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,2,Delta,cosine,0.11230767687775495,-0.009928118456702302,0.12223579533445725,0.12223579533445725,0.048402392946087565,0.19626585731130086,COMPUTED,8,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,2,P,inner_product,2.996780137907677,0.6851182174437159,2.311661920463961,2.311661920463961,0.6505606516611729,4.039252176052977,COMPUTED,8,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,2,P,cosine,0.25579386830557266,0.03823889013457602,0.21755497817099664,0.21755497817099664,0.07531515275196526,0.3690929499192554,COMPUTED,8,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,2,R,inner_product,20.037714589572975,-0.4970522561600418,20.534766845733017,20.534766845733017,10.275980657382405,32.69256674179903,COMPUTED,8,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,2,R,cosine,0.1211442458364768,-0.00897290713283748,0.13011715296931428,0.13011715296931428,0.061409410775308586,0.20803100021269041,COMPUTED,8,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,3,Delta,inner_product,-1.5941296608918991,-4.735572503159568,3.1414428422676686,3.1414428422676686,-10.254236559613016,15.76910762969861,COMPUTED,9,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,3,Delta,cosine,-0.020411382593237694,-0.026201356399365203,0.005789973806127509,0.005789973806127509,-0.09591809501158809,0.10447690914381473,COMPUTED,9,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,3,P,inner_product,0.9030354015716345,-0.24334825401649163,1.1463836555881262,1.1463836555881262,0.2751533780977892,2.1255807572006646,COMPUTED,9,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,3,P,cosine,0.15270539857891638,-0.030033063427785597,0.18273846200670196,0.18273846200670196,0.051351921905849765,0.32247070137400535,COMPUTED,9,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,3,R,inner_product,0.19412683327234564,-4.881829661655126,5.075956494927472,5.075956494927472,-7.086144710148443,17.502029607996885,COMPUTED,9,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,3,R,cosine,-0.012379189670040917,-0.030515146330414727,0.01813595666037381,0.01813595666037381,-0.06790115000799696,0.10165619807399873,COMPUTED,9,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,4,Delta,inner_product,10.88776874402663,8.904717932766477,1.9830508112601528,1.9830508112601528,-13.510590665215293,21.965192788631803,COMPUTED,10,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,4,Delta,cosine,0.04705382376950994,0.0464731860795733,0.0005806376899366444,0.0005806376899366444,-0.10565603847421023,0.12215489603337665,COMPUTED,10,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,4,P,inner_product,1.7090206426766357,0.3424152351329577,1.366605407543678,1.366605407543678,-0.12409333273308937,2.8439202374614823,COMPUTED,10,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,4,P,cosine,0.19654552976012224,0.04226867787714463,0.1542768518829776,0.1542768518829776,-1.7457865689983815e-05,0.29705032048626084,COMPUTED,10,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,4,R,inner_product,14.250374679905178,6.919405079279101,7.330969600626077,7.330969600626078,-10.14621485122982,28.12198136014645,COMPUTED,10,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_RAND,4,R,cosine,0.060055788859437575,0.032652636334769454,0.02740315252466812,0.02740315252466812,-0.08381267078795109,0.14596338308093523,COMPUTED,10,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,0,Delta,inner_product,23.700431524509245,6.845009830515894,16.85542169399335,16.85542169399335,0.40627650102029494,34.25790824556609,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,0,Delta,cosine,0.12755725167560839,0.03740830724983329,0.09014894442577509,0.09014894442577509,0.004459541902025018,0.18009111096742814,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,0,P,inner_product,4.342362027843291,0.22262626095456312,4.119735766888728,4.119735766888728,2.349882196559622,6.237228687591536,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,0,P,cosine,0.32257760677112696,0.010681988831532695,0.31189561793959425,0.31189561793959425,0.1969819528552436,0.4273340210134178,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,0,R,inner_product,20.692568390107354,6.904966014306532,13.787602375800823,13.787602375800823,-2.614282176034298,31.55983242793845,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,0,R,cosine,0.11139993786011614,0.030095226274831056,0.08130471158528507,0.08130471158528507,-0.00662621406502308,0.16716706414992616,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,1,Delta,inner_product,8.060666892135051,3.295841589756733,4.764825302378318,4.764825302378318,-5.763344749486586,16.54549650843095,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,1,Delta,cosine,0.050151481934794996,0.02377666843589717,0.026374813498897826,0.026374813498897823,-0.044442535266369584,0.11385621587501184,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,1,P,inner_product,1.4076460429389115,0.12732778590816063,1.2803182570307508,1.2803182570307508,-1.174660431881515,3.3668786297422244,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,1,P,cosine,0.0952950644419416,0.0005910757376313913,0.0947039887043102,0.0947039887043102,-0.050988430160554064,0.2225926781070096,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,1,R,inner_product,6.534783093999991,2.539444051092722,3.995339042907269,3.995339042907269,-10.094368666565085,17.167851153886954,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,1,R,cosine,0.03626592928295388,0.017433325171085503,0.018832604111868375,0.018832604111868375,-0.06282067145175559,0.0972545133392189,COMPUTED,11,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,2,Delta,inner_product,37.970094572807746,8.372696201254582,29.59739837155316,29.59739837155316,10.571860555806525,50.485222882555284,COMPUTED,8,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,2,Delta,cosine,0.20271901131498557,0.04808811902040341,0.15463089229458216,0.15463089229458216,0.05672833382476661,0.2616410476888446,COMPUTED,8,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,2,P,inner_product,2.69644851869466,1.2143911368149458,1.482057381879714,1.482057381879714,-0.6148269254508463,3.377039174135724,COMPUTED,8,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,2,P,cosine,0.22074142560412965,0.08289528490623842,0.13784614069789125,0.13784614069789125,-0.009969844306278914,0.2553010677531881,COMPUTED,8,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,2,R,inner_product,50.524860811577724,12.904599503433275,37.62026130814445,37.62026130814445,16.322240883523605,63.32007297317141,COMPUTED,8,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,2,R,cosine,0.2563952733590008,0.06759736610871314,0.18879790725028767,0.18879790725028767,0.0787325443336394,0.3022777639321546,COMPUTED,8,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,3,Delta,inner_product,13.488609591073983,-1.6010550557364336,15.089664646810416,15.089664646810414,-3.9720840660025742,32.74549380947866,COMPUTED,9,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,3,Delta,cosine,0.06660090547337452,-0.01082406132942806,0.07742496680280259,0.07742496680280259,-0.03878030314616957,0.1788921980416248,COMPUTED,9,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,3,P,inner_product,0.3855586790152717,0.2632717036154768,0.12228697539979488,0.12228697539979488,-2.0039735045460594,2.371180347088364,COMPUTED,9,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,3,P,cosine,0.07419601534590038,0.014480247192578807,0.05971576815332157,0.059715768153321566,-0.10280524223720178,0.2215934902385955,COMPUTED,9,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,3,R,inner_product,11.198178825393056,-1.9065510517811874,13.104729877174243,13.104729877174243,-4.485272510379507,29.942017687444647,COMPUTED,9,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,3,R,cosine,0.05184360626555064,-0.014137102300829422,0.06598070856638005,0.06598070856638005,-0.05334082300408958,0.17608190076080846,COMPUTED,9,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
R_SUP,4,Delta,inner_product,17.68576576862829,23.978826311196297,-6.293060542568007,-6.293060542568007,-19.520593729261495,7.195214898022311,COMPUTED,10,2000,0,fixed candidate identity draws within original folds; shared across quantities; no refits,FEATURE_TASK_HAS_NO_FIXED_QUALITY_ARRAY,post_common_response|pre_common_response|pre_delta
