partition,window_centre_s,directions,children,auc_mean,auc_lo,auc_hi
odd_even_blocks,0.2,62,31,0.560400536727117,0.5389525966519279,0.5847262379122432
odd_even_blocks,0.21999999999999997,62,31,0.5618287539758825,0.5420656191792889,0.5833671477369812
odd_even_blocks,0.24,62,31,0.551607750270509,0.5324274324176934,0.5732035437940062
odd_even_blocks,0.26,62,31,0.543651571811371,0.5233780007491163,0.5646669778941248
odd_even_blocks,0.27999999999999997,62,31,0.545740222061461,0.5294621473886845,0.5619910883663158
odd_even_blocks,0.3,62,31,0.5373337380973447,0.5228783774968022,0.5520579501827879
odd_even_blocks,0.32,62,31,0.5377971245060649,0.5217486166657276,0.5542354787056236
odd_even_blocks,0.34,62,31,0.5410011953892963,0.5231874365927692,0.5592738587623272
odd_even_blocks,0.36000000000000004,62,31,0.5384993733414263,0.518655739129705,0.5577168983978535
odd_even_blocks,0.37999999999999995,62,31,0.5266702784313884,0.5072278278382465,0.5463892347103113
odd_even_blocks,0.39999999999999997,62,31,0.5164800821098909,0.4986178865735145,0.5340004699845038
odd_even_blocks,0.42,62,31,0.5085734742663612,0.49234014462004305,0.5247391699952824
odd_even_blocks,0.44,62,31,0.5097203913108119,0.49476192659008905,0.5248235254143746
odd_even_blocks,0.46,62,31,0.5072691298560911,0.49422998407836993,0.5201102558952083
odd_even_blocks,0.48000000000000004,62,31,0.5158834946615051,0.504856987759914,0.5276970924758814
odd_even_blocks,0.49999999999999994,62,31,0.5101976966785837,0.49733414925573405,0.5226052019418329
odd_even_blocks,0.52,62,31,0.5141565231615033,0.5000600298778338,0.5271896856116384
odd_even_blocks,0.54,62,31,0.5191908849412542,0.5041964593589712,0.5336769609656934
odd_even_blocks,0.56,62,31,0.5200495475116115,0.5041450004489804,0.5350552101531556
odd_even_blocks,0.5800000000000001,62,31,0.519930046352227,0.5030465152519125,0.5353884771844459
odd_even_blocks,0.6000000000000001,62,31,0.5128278760906708,0.4969498929741032,0.5274664270117018
odd_even_blocks,0.6199999999999999,62,31,0.5097032816591119,0.49441526077404896,0.5240410556611201
odd_even_blocks,0.6399999999999999,62,31,0.5049142827100854,0.4918709330452075,0.5176279447626667
odd_even_blocks,0.6599999999999999,62,31,0.5124183713072697,0.5003169866307614,0.5245062642969411
