mode,population,calibration,first,second,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,units,ci_scope
L0,P_bal,mixture_diagnostic,H,HP,-0.0002907880390358756,-0.0038221053905010457,0.0030719945546445527,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
R_SIM,P_bal,raw,H,Hnoise,-0.18341001207990856,-0.2110379667181944,-0.14503918612388067,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
R_SIM,P_bal,temperature,H,HP,-0.19506738908234086,-0.24045045337988882,-0.1312133097192512,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
R_SIM,P_bal,temperature,HB,HBP,-0.0005156762023284319,-0.002986693150282646,0.0020860175873169797,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
R_SIM,P_bal,temperature,H,Hnoise,-0.19564474154709216,-0.24120401909357966,-0.13174965165201397,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
R_SIM,P_nat,mixture_diagnostic,H,HP,-0.050631658758669824,-0.05775646572440724,-0.041193898108999934,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
R_SIM,P_nat,mixture_diagnostic,HB,HBP,0.00010040023832225871,-0.0019035027100663534,0.0021865901184356857,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
R_SIM,P_nat,mixture_diagnostic,H,Hnoise,-0.051910303157578636,-0.058953820202610974,-0.04228431879960507,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
R_SIM,P_nat,raw,H,HP,-0.04981081377512771,-0.05657511176813984,-0.04094669557619886,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
R_SIM,P_nat,raw,HB,HBP,0.00010401604775690336,-0.001910770849042175,0.002238154802114183,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
R_SIM,P_nat,raw,H,Hnoise,-0.05107450276207172,-0.05781657217508821,-0.04200501010645288,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
R_SIM,P_nat,temperature,H,HP,-0.050631658758669824,-0.05775646572440724,-0.041193898108999934,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
R_SIM,P_nat,temperature,HB,HBP,0.00010040023832225871,-0.0019035027100663534,0.0021865901184356857,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
R_SIM,P_nat,temperature,H,Hnoise,-0.051910303157578636,-0.058953820202610974,-0.04228431879960507,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
