template,seed,fold,child,kind,tag,auc
early,11,1,59,within,HA,0.6171354912106866
early,11,1,60,other,HA,0.5057633420822397
early,11,1,61,cross,HA,0.5327193058318199
early,11,1,62,cross,HA,0.5948339085418465
early,11,1,66,cross,HA,0.5780124223602484
early,11,1,68,cross,NH,0.5962562942421368
early,11,1,69,other,new,0.5233255736614566
early,11,1,70,other,HA,0.5221250662427133
early,11,1,71,other,HA,0.4455079881042949
early,11,2,1,other,HA,0.4989143232132172
early,11,2,2,cross,HA,0.47134366925064597
early,11,2,4,cross,HA,0.5583241995482928
early,11,2,6,other,HA,0.46158833063209076
early,11,2,7,cross,HA,0.3701375468909856
early,11,2,8,cross,HA,0.5523396188765839
early,11,2,9,cross,HA,0.4594388703084355
early,11,2,11,within,new,0.4818990868286643
early,11,2,12,within,HA,0.5406541872437417
early,11,2,14,other,HA,0.5169410388876038
early,11,2,15,other,NH,0.48413111907087814
early,11,2,17,cross,HA,0.41787023696571435
early,11,2,18,cross,HA,0.5524216216216217
early,11,2,19,other,NH,0.607780580075662
early,11,2,20,other,HA,0.5398652873301881
early,11,2,21,cross,NH,0.5595073891625617
early,11,2,23,cross,HA,0.4875475888324873
early,11,2,24,cross,HA,0.4578377067830433
early,11,2,25,cross,HA,0.556550680487419
early,11,2,26,cross,HA,0.4747252747252747
early,11,2,27,cross,new,0.4877353941424293
early,11,2,28,other,HA,0.4781558849955076
early,11,2,30,other,HA,0.5719162917851207
early,11,2,31,other,new,0.560676373512008
early,11,2,36,within,HA,0.5448130365197148
early,11,2,37,other,HA,0.4701392080898286
early,11,2,38,within,HA,0.6371633769352452
early,11,2,40,cross,HA,0.5012851612903225
early,11,2,41,cross,new,0.4944361544740332
early,11,2,42,within,new,0.5221006794155453
early,11,2,46,other,HA,0.49711355000733837
early,11,2,47,cross,new,0.4553723404255319
early,11,2,48,other,new,0.5919909191700543
early,11,2,49,other,new,0.5453173750703288
early,11,2,51,cross,HA,0.5288588724478818
early,11,2,52,other,HA,0.5509858993465551
early,11,2,53,cross,HA,0.6003529251187791
early,11,2,54,cross,HA,0.46683673469387754
early,11,2,55,other,HA,0.5391367053202027
early,11,2,56,cross,HA,0.5189415829145729
early,11,2,57,other,HA,0.5503947368421053
early,11,2,58,other,NH,0.5445570794408005
early,11,2,60,other,HA,0.4836176727909012
early,11,2,61,cross,HA,0.5164173080803713
early,11,2,62,cross,HA,0.5570139488064423
early,11,2,66,cross,HA,0.5482939958592132
early,11,2,67,within,HA,0.4920791457286432
early,11,2,68,cross,NH,0.6053905470821475
early,11,2,69,other,new,0.522411040904556
early,11,2,70,other,HA,0.5581807297493572
early,11,2,71,other,HA,0.4561000069161076
early,11,3,1,other,HA,0.5071413406419486
early,11,3,2,cross,HA,0.508062015503876
early,11,3,4,cross,HA,0.5605760927328285
early,11,3,6,other,HA,0.5577142259632979
early,11,3,7,cross,HA,0.43060134136637485
early,11,3,8,cross,HA,0.5480794173401178
early,11,3,9,cross,HA,0.5012634708286883
early,11,3,14,other,HA,0.5120800884159662
early,11,3,15,other,NH,0.48981149824523323
early,11,3,17,cross,HA,0.45462159281254766
early,11,3,18,cross,HA,0.5886234234234236
early,11,3,19,other,NH,0.6415542244640605
early,11,3,20,other,HA,0.5392788798575191
early,11,3,21,cross,NH,0.5495320197044335
early,11,3,22,within,HA,0.5300091761158813
early,11,3,23,cross,HA,0.49158312182741126
early,11,3,24,cross,HA,0.4626345138850035
early,11,3,25,cross,HA,0.5807346890330749
early,11,3,26,cross,HA,0.46342657342657345
early,11,3,27,cross,new,0.489134434800264
early,11,3,28,other,HA,0.5015835579514825
early,11,3,30,other,HA,0.5728949411847755
early,11,3,31,other,new,0.5845813799050461
early,11,3,34,within,NH,0.617581351689612
early,11,3,37,other,HA,0.4947195044542211
early,11,3,40,cross,HA,0.4959174193548387
early,11,3,41,cross,new,0.49300772880318333
early,11,3,44,within,NH,0.5359488272921109
early,11,3,46,other,HA,0.5159162440273315
early,11,3,47,cross,new,0.4531257822277847
early,11,3,48,other,new,0.5860619819439311
early,11,3,49,other,new,0.5641910899698225
early,11,3,51,cross,HA,0.532306526334443
early,11,3,52,other,HA,0.5387959035500018
early,11,3,53,cross,HA,0.5166063292537876
early,11,3,54,cross,HA,0.5097837614133105
early,11,3,55,other,HA,0.5171974243925179
early,11,3,56,cross,HA,0.5458699748743718
early,11,3,57,other,HA,0.5642825814536341
early,11,3,58,other,NH,0.5658351553700391
early,11,3,60,other,HA,0.50582895888014
early,11,3,61,cross,HA,0.5244998414482978
early,11,3,62,cross,HA,0.6096670980730515
early,11,3,64,within,HA,0.607890681653372
early,11,3,66,cross,HA,0.5920207039337474
early,11,3,68,cross,NH,0.600501106813593
early,11,3,69,other,new,0.5215962753574992
early,11,3,70,other,HA,0.5479842587685725
early,11,3,71,other,HA,0.4601078912787883
early,11,3,72,within,HA,0.5449750372041668
early,11,4,1,other,HA,0.5257506449724318
early,11,4,2,cross,HA,0.4750301464254953
early,11,4,4,cross,HA,0.5501411584960807
early,11,4,5,within,HA,0.5498647798742139
early,11,4,6,other,HA,0.5318398076018194
early,11,4,7,cross,HA,0.3691031033306809
early,11,4,8,cross,HA,0.5391798862615984
early,11,4,9,cross,HA,0.5097733184689707
early,11,4,14,other,HA,0.49614786542267464
early,11,4,15,other,NH,0.4659575237888491
early,11,4,17,cross,HA,0.4437221070386899
early,11,4,18,cross,HA,0.5767351351351352
early,11,4,19,other,NH,0.6235245901639344
early,11,4,20,other,HA,0.5546950491672825
early,11,4,21,cross,NH,0.5304844006568145
early,11,4,23,cross,HA,0.46299809644670054
early,11,4,24,cross,HA,0.45666181763926966
early,11,4,25,cross,HA,0.5608690061718626
early,11,4,26,cross,HA,0.46371295371295373
early,11,4,27,cross,new,0.4981092330338562
early,11,4,28,other,HA,0.45993935309973044
early,11,4,30,other,HA,0.5911331155704724
early,11,4,31,other,new,0.5748936971583194
early,11,4,32,within,HA,0.6865031249999999
early,11,4,33,within,HA,0.5275171544601596
early,11,4,37,other,HA,0.484262481668746
early,11,4,40,cross,HA,0.49805935483870967
early,11,4,41,cross,new,0.48720474951535553
early,11,4,46,other,HA,0.5169313938128863
early,11,4,47,cross,new,0.4397778473091364
early,11,4,48,other,new,0.5984002956549285
early,11,4,49,other,new,0.5545112781954886
early,11,4,51,cross,HA,0.5223179815956356
early,11,4,52,other,HA,0.5477537034914084
early,11,4,53,cross,HA,0.5507581715489057
early,11,4,54,cross,HA,0.47680155712475103
early,11,4,55,other,HA,0.5252971854787017
early,11,4,56,cross,HA,0.5450596733668341
early,11,4,57,other,HA,0.5400877192982456
early,11,4,58,other,NH,0.568048101769032
early,11,4,60,other,HA,0.49920166229221347
early,11,4,61,cross,HA,0.5039529822133817
early,11,4,62,cross,HA,0.5883987633016968
early,11,4,63,within,new,0.5181691026356501
early,11,4,65,within,HA,0.6229965987270993
early,11,4,66,cross,HA,0.5723561076604555
early,11,4,68,cross,NH,0.59930307231993
early,11,4,69,other,new,0.5190721649484537
early,11,4,70,other,HA,0.5248238434512944
early,11,4,71,other,HA,0.44903174493395115
early,22,0,0,within,HA,0.5808886464714274
early,22,0,1,other,HA,0.5170161741715079
early,22,0,2,cross,HA,0.4871834625322997
early,22,0,4,cross,HA,0.5684344692440547
early,22,0,6,other,HA,0.51707533852669
early,22,0,7,cross,HA,0.4138001591451631
early,22,0,8,cross,HA,0.5494562506235658
early,22,0,9,cross,HA,0.5332961724266072
early,22,0,10,within,HA,0.6905689938476824
early,22,0,12,within,HA,0.5748274145587445
early,22,0,14,other,HA,0.5181811756239236
early,22,0,15,other,NH,0.4937552009841166
early,22,0,17,cross,HA,0.4003115812161038
early,22,0,18,cross,HA,0.573336936936937
early,22,0,19,other,NH,0.6307786885245902
early,22,0,20,other,HA,0.5340002652570152
early,22,0,21,cross,NH,0.5490147783251231
early,22,0,22,within,HA,0.5251327259618537
early,22,0,23,cross,HA,0.5004631979695431
early,22,0,24,cross,HA,0.4493752214700013
early,22,0,25,cross,HA,0.5805991849976262
early,22,0,26,cross,HA,0.4792340992340992
early,22,0,27,cross,new,0.46631516166692044
early,22,0,28,other,HA,0.4852650494159928
early,22,0,30,other,HA,0.5920732607314523
early,22,0,31,other,new,0.5750235402563162
early,22,0,35,within,HA,0.5466838931955211
early,22,0,37,other,HA,0.49942543830849034
early,22,0,40,cross,HA,0.5055845161290322
early,22,0,41,cross,new,0.514325706560555
early,22,0,46,other,HA,0.5423712920532934
early,22,0,47,cross,new,0.44841989987484354
early,22,0,48,other,new,0.589298347500132
early,22,0,49,other,new,0.5690629635312772
early,22,0,50,within,new,0.6117369766698626
early,22,0,51,cross,HA,0.5178513790615547
early,22,0,52,other,HA,0.5206892379023527
early,22,0,53,cross,HA,0.5369303964070533
early,22,0,54,cross,HA,0.48240474897183205
early,22,0,55,other,HA,0.5323626245556786
early,22,0,56,cross,HA,0.5240954773869346
early,22,0,57,other,HA,0.5853790726817043
early,22,0,58,other,NH,0.5609852249387133
early,22,0,60,other,HA,0.5137576552930884
early,22,0,61,cross,HA,0.5114445501455793
early,22,0,62,cross,HA,0.6044974115616911
early,22,0,66,cross,HA,0.5789026915113872
early,22,0,68,cross,NH,0.6176019849667955
early,22,0,69,other,new,0.5212703691386765
early,22,0,70,other,HA,0.516889438458066
early,22,0,71,other,HA,0.47873296908499896
early,22,1,1,other,HA,0.5367891631764169
early,22,1,2,cross,HA,0.5013264427217915
early,22,1,4,cross,HA,0.539840740002657
early,22,1,6,other,HA,0.5018403304229623
early,22,1,7,cross,HA,0.46515857678754124
early,22,1,8,cross,HA,0.5432804549536067
early,22,1,9,cross,HA,0.5346711259754737
early,22,1,13,within,HA,0.5603972257250946
early,22,1,14,other,HA,0.4994313362633973
early,22,1,15,other,NH,0.5120879916060639
early,22,1,17,cross,HA,0.4425566058731888
early,22,1,18,cross,HA,0.5540936936936938
early,22,1,19,other,NH,0.5911790668348046
early,22,1,20,other,HA,0.5281210329866045
early,22,1,21,cross,NH,0.5362151067323482
early,22,1,23,cross,HA,0.5134708121827412
early,22,1,24,cross,HA,0.5032992036405006
early,22,1,25,cross,HA,0.537778920715303
early,22,1,26,cross,HA,0.46534132534132533
early,22,1,27,cross,new,0.46538564032282626
early,22,1,28,other,HA,0.51187106918239
early,22,1,29,within,new,0.5413976324993274
early,22,1,30,other,HA,0.5869008580027851
early,22,1,31,other,new,0.5514228226501868
early,22,1,37,other,HA,0.5079946155361481
early,22,1,40,cross,HA,0.5234322580645161
early,22,1,41,cross,new,0.5009788541985511
early,22,1,43,within,HA,0.5262539808917197
early,22,1,45,within,HA,0.5358852303808121
early,22,1,46,other,HA,0.515439245935324
early,22,1,47,cross,new,0.4643836045056321
early,22,1,48,other,new,0.5564964890977245
early,22,1,49,other,new,0.5706901181525241
early,22,1,51,cross,HA,0.5227269850512006
early,22,1,52,other,HA,0.5186766785127441
early,22,1,53,cross,HA,0.5392344839688802
early,22,1,54,cross,HA,0.5040383073381445
early,22,1,55,other,HA,0.5404915214731076
early,22,1,56,cross,HA,0.5350125628140704
early,22,1,57,other,HA,0.5669862155388471
early,22,1,58,other,NH,0.5685118929304976
early,22,1,60,other,HA,0.499387576552931
early,22,1,61,cross,HA,0.49681815561128884
early,22,1,62,cross,HA,0.5928350589588726
early,22,1,63,within,new,0.5140259538425674
early,22,1,64,within,HA,0.6191566093442453
early,22,1,66,cross,HA,0.5631966873706005
early,22,1,68,cross,NH,0.5487058794911089
early,22,1,69,other,new,0.5032657133355504
early,22,1,70,other,HA,0.5293725097646667
early,22,1,71,other,HA,0.47251193028563526
early,22,2,1,other,HA,0.5265468079494059
early,22,2,2,cross,HA,0.49385443583118
early,22,2,3,within,NH,0.6315293997913646
early,22,2,4,cross,HA,0.5718280855586555
early,22,2,5,within,HA,0.5590345911949686
early,22,2,6,other,HA,0.547163695299838
early,22,2,7,cross,HA,0.39884051381152663
early,22,2,8,cross,HA,0.5713259503142771
early,22,2,9,cross,HA,0.5411928651059086
early,22,2,11,within,new,0.5264007119640922
early,22,2,14,other,HA,0.5067404323129514
early,22,2,15,other,NH,0.47235428199283613
early,22,2,17,cross,HA,0.4366646753581427
early,22,2,18,cross,HA,0.6003171171171172
early,22,2,19,other,NH,0.6509773013871375
early,22,2,20,other,HA,0.5657079520263741
early,22,2,21,cross,NH,0.5406855500821018
early,22,2,23,cross,HA,0.49002538071065993
early,22,2,24,cross,HA,0.46022305526026225
early,22,2,25,cross,HA,0.5803796091153663
early,22,2,26,cross,HA,0.4498734598734599
early,22,2,27,cross,new,0.48752918633571896
early,22,2,28,other,HA,0.49106019766397124
early,22,2,30,other,HA,0.5891180604131505
early,22,2,31,other,new,0.5865171323507548
early,22,2,37,other,HA,0.5114857618140828
early,22,2,40,cross,HA,0.5160929032258065
early,22,2,41,cross,new,0.48028900112233447
early,22,2,44,within,NH,0.5505330490405118
early,22,2,46,other,HA,0.523001907992368
early,22,2,47,cross,new,0.46420212765957447
early,22,2,48,other,new,0.6115833377329603
early,22,2,49,other,new,0.5580532965065726
early,22,2,51,cross,HA,0.5425806614938673
early,22,2,52,other,HA,0.5553071700612684
early,22,2,53,cross,HA,0.5194531285544369
early,22,2,54,cross,HA,0.49542497607407987
early,22,2,55,other,HA,0.5367038634112231
early,22,2,56,cross,HA,0.5364164572864322
early,22,2,57,other,HA,0.5976973684210527
early,22,2,58,other,NH,0.5678095806002783
early,22,2,60,other,HA,0.48454724409448824
early,22,2,61,cross,HA,0.5197000490068898
early,22,2,62,cross,HA,0.6208944492378488
early,22,2,66,cross,HA,0.5887908902691511
early,22,2,67,within,HA,0.5086463567839197
early,22,2,68,cross,NH,0.6428640930209929
early,22,2,69,other,new,0.521193880944463
early,22,2,70,other,HA,0.5604280751339575
early,22,2,71,other,HA,0.4601908845701639
early,22,2,72,within,HA,0.5461931736354472
early,22,3,1,other,HA,0.5082511435795487
early,22,3,2,cross,HA,0.5128251507321274
early,22,3,4,cross,HA,0.5853701673973695
early,22,3,6,other,HA,0.5846029173419773
early,22,3,7,cross,HA,0.4266795498465386
early,22,3,8,cross,HA,0.5684093252186637
early,22,3,9,cross,HA,0.5498885172798216
early,22,3,14,other,HA,0.49625710026473385
early,22,3,15,other,NH,0.49501790947574087
early,22,3,17,cross,HA,0.4350130606412013
early,22,3,18,cross,HA,0.5852216216216216
early,22,3,19,other,NH,0.6437831021437579
early,22,3,20,other,HA,0.524342067867902
early,22,3,21,cross,NH,0.5466009852216749
early,22,3,23,cross,HA,0.5121414974619289
early,22,3,24,cross,HA,0.46685596523620365
early,22,3,25,cross,HA,0.579427124545023
early,22,3,26,cross,HA,0.44145521145521144
early,22,3,27,cross,new,0.4834875133241967
early,22,3,28,other,HA,0.47420260557053007
early,22,3,30,other,HA,0.5764597919487636
early,22,3,31,other,new,0.5816455382541554
early,22,3,32,within,HA,0.682328125
early,22,3,36,within,HA,0.527911149910277
early,22,3,37,other,HA,0.5093078994024558
early,22,3,38,within,HA,0.6548204041700284
early,22,3,39,within,new,0.5064964428790707
early,22,3,40,cross,HA,0.509181935483871
early,22,3,41,cross,new,0.5024678604224058
early,22,3,42,within,new,0.5395057842134257
early,22,3,46,other,HA,0.5285424242918413
early,22,3,47,cross,new,0.45144555694618266
early,22,3,48,other,new,0.6016577794203052
early,22,3,49,other,new,0.5573276303002404
early,22,3,51,cross,HA,0.5464262433072162
early,22,3,52,other,HA,0.5285770695606761
early,22,3,53,cross,HA,0.5473426623423049
early,22,3,54,cross,HA,0.49998706707017404
early,22,3,55,other,HA,0.5107656896451256
early,22,3,56,cross,HA,0.5355527638190956
early,22,3,57,other,HA,0.6197901002506265
early,22,3,58,other,NH,0.566209501093222
early,22,3,60,other,HA,0.488571741032371
early,22,3,61,cross,HA,0.5128967396004497
early,22,3,62,cross,HA,0.6011827725050332
early,22,3,66,cross,HA,0.6140165631469979
early,22,3,68,cross,NH,0.6212325768079981
early,22,3,69,other,new,0.5041270369138676
early,22,3,70,other,HA,0.5545545545545545
early,22,3,71,other,HA,0.4901272563801093
early,22,4,1,other,HA,0.5294877857340462
early,22,4,2,cross,HA,0.5086907838070629
early,22,4,4,cross,HA,0.5555500199282583
early,22,4,6,other,HA,0.5539603701573692
early,22,4,7,cross,HA,0.42798681368648406
early,22,4,8,cross,HA,0.5557384681898301
early,22,4,9,cross,HA,0.5414344109996284
early,22,4,14,other,HA,0.5105797157323875
early,22,4,15,other,NH,0.4729548825934369
early,22,4,16,within,NH,0.548337891857774
early,22,4,17,cross,HA,0.4307200337351091
early,22,4,18,cross,HA,0.5967603603603604
early,22,4,19,other,NH,0.6567402269861286
early,22,4,20,other,HA,0.537197559635461
early,22,4,21,cross,NH,0.579043513957307
early,22,4,23,cross,HA,0.49949873096446706
early,22,4,24,cross,HA,0.48032413883138436
early,22,4,25,cross,HA,0.5768406789048901
early,22,4,26,cross,HA,0.4389077589077589
early,22,4,27,cross,new,0.4732183645500228
early,22,4,28,other,HA,0.4791217430368373
early,22,4,30,other,HA,0.5964787873731767
early,22,4,31,other,new,0.5703719856082307
early,22,4,33,within,HA,0.5161141896893192
early,22,4,34,within,NH,0.6260513141426783
early,22,4,37,other,HA,0.5067415238470462
early,22,4,40,cross,HA,0.5070812903225806
early,22,4,41,cross,new,0.4762906846240179
early,22,4,46,other,HA,0.4924536455700331
early,22,4,47,cross,new,0.4706695869837297
early,22,4,48,other,new,0.5880418140541682
early,22,4,49,other,new,0.5476893765024806
early,22,4,51,cross,HA,0.5411962203966938
early,22,4,52,other,HA,0.5252811851172506
early,22,4,53,cross,HA,0.5501309657669134
early,22,4,54,cross,HA,0.5165897157342024
early,22,4,55,other,HA,0.5176490297768195
early,22,4,56,cross,HA,0.5581909547738694
early,22,4,57,other,HA,0.5961121553884712
early,22,4,58,other,NH,0.5470880540647982
early,22,4,59,within,HA,0.6086039854673566
early,22,4,60,other,HA,0.509919072615923
early,22,4,61,cross,HA,0.515923635734671
early,22,4,62,cross,HA,0.6084124245038827
early,22,4,65,within,HA,0.6420546780385993
early,22,4,66,cross,HA,0.600728778467909
early,22,4,68,cross,NH,0.6308959108710988
early,22,4,69,other,new,0.5068673096109079
early,22,4,70,other,HA,0.5243282498184458
early,22,4,71,other,HA,0.44213984369596787
early,33,0,0,within,HA,0.6082990685575229
early,33,0,1,other,HA,0.49861194212297266
early,33,0,2,cross,HA,0.5025538329026701
early,33,0,4,cross,HA,0.5489379899030158
early,33,0,6,other,HA,0.529121137658807
early,33,0,7,cross,HA,0.4450380811640332
early,33,0,8,cross,HA,0.5465030430010975
early,33,0,9,cross,HA,0.5261612783351914
early,33,0,11,within,new,0.5217458597740288
early,33,0,14,other,HA,0.512125067468579
early,33,0,15,other,NH,0.4770686348999602
early,33,0,17,cross,HA,0.4195218516826557
early,33,0,18,cross,HA,0.5609261261261261
early,33,0,19,other,NH,0.6348171500630517
early,33,0,20,other,HA,0.5367257810871748
early,33,0,21,cross,NH,0.5461617405582924
early,33,0,23,cross,HA,0.4543591370558375
early,33,0,24,cross,HA,0.45195266603256307
early,33,0,25,cross,HA,0.5610292372210792
early,33,0,26,cross,HA,0.48330336330336326
early,33,0,27,cross,new,0.4935726612862291
early,33,0,28,other,HA,0.4477201257861635
early,33,0,29,within,new,0.5803235135862255
early,33,0,30,other,HA,0.5785326034640981
early,33,0,31,other,new,0.5738440495187876
early,33,0,35,within,HA,0.5383919697873186
early,33,0,37,other,HA,0.48518178037516135
early,33,0,40,cross,HA,0.4862916129032258
early,33,0,41,cross,new,0.47801563615957554
early,33,0,46,other,HA,0.5182726961399847
early,33,0,47,cross,new,0.45475907384230285
early,33,0,48,other,new,0.5864526688136846
early,33,0,49,other,new,0.5430252928238966
early,33,0,51,cross,HA,0.5154907092135741
early,33,0,52,other,HA,0.5315799864980193
early,33,0,53,cross,HA,0.5354907479022729
early,33,0,54,cross,HA,0.4663679159876879
early,33,0,55,other,HA,0.5264261989394557
early,33,0,56,cross,HA,0.5376633165829146
early,33,0,57,other,HA,0.5872869674185464
early,33,0,58,other,NH,0.5552077121844564
early,33,0,60,other,HA,0.5071084864391951
early,33,0,61,cross,HA,0.5151885323877886
early,33,0,62,cross,HA,0.609217716422203
early,33,0,65,within,HA,0.602492334252364
early,33,0,66,cross,HA,0.5666542443064182
early,33,0,68,cross,NH,0.6106023011992507
early,33,0,69,other,new,0.5014333222480878
early,33,0,70,other,HA,0.5227973071110326
early,33,0,71,other,HA,0.46052285773566637
early,33,0,72,within,HA,0.528479189669243
early,33,1,1,other,HA,0.5269706239987648
early,33,1,2,cross,HA,0.48476313522825143
early,33,1,4,cross,HA,0.5470049488508038
early,33,1,5,within,HA,0.4936100628930818
early,33,1,6,other,HA,0.4922779317195587
early,33,1,7,cross,HA,0.3763555757644652
early,33,1,8,cross,HA,0.5137450530446639
early,33,1,9,cross,HA,0.5297658862876253
early,33,1,14,other,HA,0.5002409592104249
early,33,1,15,other,NH,0.4787944571077102
early,33,1,17,cross,HA,0.45127736585023015
early,33,1,18,cross,HA,0.5646378378378378
early,33,1,19,other,NH,0.5896752837326608
early,33,1,20,other,HA,0.5222181170541313
early,33,1,21,cross,NH,0.5054064039408868
early,33,1,22,within,HA,0.5107000065543684
early,33,1,23,cross,HA,0.4906884517766497
early,33,1,24,cross,HA,0.47855331132620893
early,33,1,25,cross,HA,0.5337395157461624
early,33,1,26,cross,HA,0.5116150516150516
early,33,1,27,cross,new,0.4746427846302218
early,33,1,28,other,HA,0.4510332434860737
early,33,1,30,other,HA,0.5863650073478921
early,33,1,31,other,new,0.545355879117067
early,33,1,32,within,HA,0.665071875
early,33,1,33,within,HA,0.5353458565893798
early,33,1,37,other,HA,0.49231728938209995
early,33,1,40,cross,HA,0.5009858064516128
early,33,1,41,cross,new,0.4642287776757474
early,33,1,45,within,HA,0.5409979552387966
early,33,1,46,other,HA,0.5131602550512875
early,33,1,47,cross,new,0.45504380475594497
early,33,1,48,other,new,0.577382397972652
early,33,1,49,other,new,0.5185508413891873
early,33,1,51,cross,HA,0.5045425490171259
early,33,1,52,other,HA,0.4848357471308291
early,33,1,53,cross,HA,0.5769058281391162
early,33,1,54,cross,HA,0.5006822120483174
early,33,1,55,other,HA,0.4980114795175106
early,33,1,56,cross,HA,0.5530810301507538
early,33,1,57,other,HA,0.565874060150376
early,33,1,58,other,NH,0.5606671967137083
early,33,1,60,other,HA,0.4906933508311461
early,33,1,61,cross,HA,0.49841087952953383
early,33,1,62,cross,HA,0.5782894736842106
early,33,1,64,within,HA,0.6073468092820885
early,33,1,66,cross,HA,0.5618592132505176
early,33,1,68,cross,NH,0.5914763190542217
early,33,1,69,other,new,0.5087595610242767
early,33,1,70,other,HA,0.5100296374806179
early,33,1,71,other,HA,0.4546614565322636
early,33,2,1,other,HA,0.5491425565999498
early,33,2,2,cross,HA,0.5086950904392764
early,33,2,4,cross,HA,0.5591753022452505
early,33,2,6,other,HA,0.5398964814137084
early,33,2,7,cross,HA,0.38838240309196315
early,33,2,8,cross,HA,0.5589144966576873
early,33,2,9,cross,HA,0.5379598662207358
early,33,2,10,within,HA,0.6747487485192404
early,33,2,14,other,HA,0.49557277610712724
early,33,2,15,other,NH,0.47674662614421653
early,33,2,16,within,NH,0.548255706921944
early,33,2,17,cross,HA,0.4250740883906713
early,33,2,18,cross,HA,0.5902486486486487
early,33,2,19,other,NH,0.6471563682219421
early,33,2,20,other,HA,0.5467089183197863
early,33,2,21,cross,NH,0.5673399014778325
early,33,2,23,cross,HA,0.5249777918781726
early,33,2,24,cross,HA,0.4884173520580391
early,33,2,25,cross,HA,0.584140093369204
early,33,2,26,cross,HA,0.4797702297702298
